SURVEY: DES   
SNID:   1153   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.88658 +- 0.02230  (Helio, z_best) 
REDSHIFT_FINAL:   0.88658 +- 0.02230  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11214 
HOST_GALAXY_PHOTO-Z:   0.8866  +- 0.0223  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.8566  
SIM_HOSTLIB_TRUEZ:  0.8600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11214  
SIM_DLMU:      43.685253  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0085   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.382  mag  (host extinction at 5510 A)
SIM_RV:         2.315   (CCM89 extinction parameter) 
SIM_PEAKMAG:   27.29  24.72  23.89  24.00  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56204.105469  days 
SIM_DELTA:     -0.317  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.317  
SIM_MAGDIM:    0.369  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -15.04   days 
SIM_TRESTMAX:    68.94   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56202.727  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 145 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   2.044e+00   4.764e+00   0.43   26.724  101.276   30.066
OBS:  56176.199  r NULL   4.564e+00   2.131e+00   2.14   25.852    0.682   26.939
OBS:  56176.215  i NULL   7.105e-01   3.146e+00   0.23   27.871  100.129   25.876
OBS:  56176.238  z NULL   7.394e+00   2.487e+00   2.97   25.328    0.444   26.098
OBS:  56179.188  g NULL   3.507e-01   2.584e+00   0.14   28.638   99.362   29.252
OBS:  56179.195  r NULL   3.061e+00   1.711e+00   1.79   26.285    0.889   26.271
OBS:  56179.234  i NULL   4.695e+00   1.988e+00   2.36   25.821    0.599   25.293
OBS:  56179.266  z NULL   7.319e+00   3.732e+00   1.96   25.339    0.774   25.463
OBS:  56180.266  g NULL   4.317e+00   2.552e+00   1.69   25.912    0.970   28.952
OBS:  56180.281  r NULL   5.100e+00   1.306e+00   3.90   25.731    0.321   26.058
OBS:  56180.297  i NULL   7.735e+00   3.687e+00   2.10   25.279    0.703   25.136
OBS:  56180.328  z NULL   9.824e+00   4.490e+00   2.19   25.019    0.663   25.300
OBS:  56188.160  g NULL   4.839e-01   5.685e+00   0.09   28.288   99.712   27.373
OBS:  56188.176  r NULL   7.077e+00   5.575e+00   1.27   25.375    1.684   24.962
OBS:  56188.211  i NULL   1.796e+01   4.536e+00   3.96   24.364    0.316   24.324
OBS:  56188.238  z NULL   1.394e+01   3.411e+00   4.09   24.639    0.305   24.475
OBS:  56189.254  g NULL  -1.683e+00   2.286e+00  -0.74  128.000    0.000   27.214
OBS:  56189.270  r NULL   1.188e+01   3.281e+00   3.62   24.813    0.351   24.843
OBS:  56189.281  i NULL   2.474e+01   9.062e+00   2.73   24.017    0.495   24.234
OBS:  56189.312  z NULL   1.674e+01   2.983e+00   5.61   24.440    0.213   24.394
OBS:  56194.258  g NULL   2.903e+00   2.639e+00   1.10   26.343    2.601   26.826
OBS:  56194.270  r NULL   1.744e+01   1.531e+00  11.39   24.396    0.099   24.551
OBS:  56194.285  i NULL   2.883e+01   2.363e+00  12.20   23.850    0.092   23.981
OBS:  56194.305  z NULL   1.849e+01   2.412e+00   7.67   24.333    0.153   24.132
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56202.160  g NULL   1.048e+00   4.791e+00   0.22   27.449  100.551   27.196
OBS:  56202.176  r NULL   8.450e+00   2.332e+00   3.62   25.183    0.352   24.663
OBS:  56202.191  i NULL   3.117e+01   4.207e+00   7.41   23.766    0.157   23.883
OBS:  56202.215  z NULL   2.147e+01   2.743e+00   7.83   24.171    0.149   24.010
OBS:  56210.172  g NULL  -3.773e+00   3.692e+00  -1.02  128.000    0.000   27.527
OBS:  56210.188  r NULL   1.149e+01   3.225e+00   3.56   24.849    0.358   24.942
OBS:  56210.203  i NULL   2.714e+01   3.253e+00   8.34   23.916    0.138   23.992
OBS:  56210.234  z NULL   1.926e+01   3.864e+00   4.99   24.288    0.244   24.028
OBS:  56218.172  g NULL   2.395e+00   1.252e+00   1.91   26.552    0.802   28.094
OBS:  56218.191  r NULL   7.332e+00   9.720e-01   7.54   25.337    0.154   25.346
OBS:  56218.211  i NULL   1.826e+01   1.547e+00  11.80   24.346    0.097   24.227
OBS:  56219.156  z NULL   2.197e+01   1.979e+00  11.11   24.145    0.102   24.185
OBS:  56221.273  g NULL  -8.027e-01   3.911e+00  -0.21  128.000    0.000   28.266
OBS:  56221.281  r NULL   2.551e+00   5.583e+00   0.46   26.483  101.517   25.524
OBS:  56221.297  i NULL   1.318e+01   4.494e+00   2.93   24.700    0.454   24.358
OBS:  56221.324  z NULL   2.911e+01   1.441e+01   2.02   23.840    0.741   24.243
OBS:  56222.074  g NULL  -3.047e+00   5.909e+00  -0.52  128.000    0.000   28.319
OBS:  56222.090  r NULL   6.778e+00   2.631e+00   2.58   25.422    0.533   25.578
OBS:  56222.113  i NULL   1.750e+01   3.343e+00   5.24   24.392    0.230   24.395
OBS:  56222.133  z NULL   2.366e+01   5.076e+00   4.66   24.065    0.262   24.268
OBS:  56228.059  g NULL   1.879e+00   7.693e+00   0.24   26.815  101.185   28.884
OBS:  56228.066  r NULL   7.100e+00   2.395e+00   2.96   25.372    0.446   26.035
OBS:  56228.086  i NULL   1.548e+01   5.119e+00   3.02   24.526    0.436   24.692
OBS:  56228.109  z NULL   1.587e+01   4.145e+00   3.83   24.498    0.329   24.456
OBS:  56229.047  g NULL   1.026e+01   2.392e+01   0.43   24.972  103.028   29.011
OBS:  56229.059  r NULL   5.402e+00   3.852e+00   1.40   25.669    1.355   26.113
OBS:  56229.074  i NULL   1.224e+01   5.430e+00   2.25   24.781    0.637   24.750
OBS:  56229.102  z NULL   1.691e+01   4.859e+00   3.48   24.430    0.368   24.483
OBS:  56230.059  g NULL  -7.821e+00   6.572e+00  -1.19  128.000    0.000   29.144
OBS:  56230.102  r NULL   1.504e+00   2.917e+00   0.52   27.057  100.943   26.196
OBS:  56230.113  i NULL   1.273e+01   5.182e+00   2.46   24.738    0.568   24.812
OBS:  56230.145  z NULL   1.930e+01   2.690e+00   7.17   24.286    0.163   24.511
OBS:  56231.043  g NULL   3.412e+00   6.045e+00   0.56   26.167  101.833   29.260
OBS:  56231.059  r NULL   4.176e+00   2.552e+00   1.64   25.948    1.026   26.274
OBS:  56231.070  i NULL   1.014e+01   4.246e+00   2.39   24.985    0.589   24.871
OBS:  56231.102  z NULL   1.070e+01   3.285e+00   3.26   24.927    0.399   24.545
OBS:  56235.039  g NULL   6.807e+00   5.185e+00   1.31   25.418    1.557   29.653
OBS:  56235.047  r NULL   3.021e+00   3.706e+00   0.82   26.299  101.701   26.588
OBS:  56235.062  i NULL   2.102e+00   4.194e+00   0.50   26.694  101.306   25.122
OBS:  56235.090  z NULL   1.495e+01   8.237e+00   1.82   24.563    0.869   24.697
OBS:  56236.047  g NULL  -9.958e-01   4.872e+00  -0.20  128.000    0.000   29.682
OBS:  56236.062  r NULL   1.314e+00   2.660e+00   0.49   27.203  100.797   26.650
OBS:  56236.074  i NULL   1.218e+01   5.228e+00   2.33   24.786    0.609   25.182
OBS:  56236.105  z NULL   7.481e+00   5.322e+00   1.41   25.315    1.351   24.736
OBS:  56237.039  g NULL  -8.457e+00   3.168e+00  -2.67  128.000    0.000   29.653
OBS:  56237.051  r NULL   3.037e+00   2.213e+00   1.37   26.294    1.416   26.697
OBS:  56237.094  i NULL   7.400e+00   2.497e+00   2.96   25.327    0.447   25.240
OBS:  56237.125  z NULL   1.569e+01   3.708e+00   4.23   24.511    0.292   24.775
OBS:  56238.074  g NULL  -2.777e-01   2.522e+00  -0.11  128.000    0.000   29.611
OBS:  56238.094  r NULL   1.068e+00   1.589e+00   0.67   27.429  100.571   26.743
OBS:  56238.109  i NULL   1.186e+01   2.733e+00   4.34   24.815    0.284   25.296
OBS:  56238.129  z NULL   1.068e+01   3.113e+00   3.43   24.928    0.374   24.813
OBS:  56243.098  g NULL  -2.139e-01   2.168e+00  -0.10  128.000    0.000   29.718
OBS:  56243.109  r NULL   3.298e+00   1.655e+00   1.99   26.204    0.756   27.062
OBS:  56243.125  i NULL   5.386e+00   2.567e+00   2.10   25.672    0.703   25.585
OBS:  56243.152  z NULL   9.406e+00   2.557e+00   3.68   25.067    0.345   25.017
OBS:  56244.082  g NULL   8.259e-01   2.191e+00   0.38   27.708  100.292   29.890
OBS:  56244.098  r NULL   5.353e+00   1.638e+00   3.27   25.679    0.396   27.168
OBS:  56244.109  i NULL   5.305e-01   2.590e+00   0.20   28.188   99.812   25.643
OBS:  56244.133  z NULL   8.184e+00   2.987e+00   2.74   25.218    0.493   25.059
OBS:  56245.070  g NULL  -3.384e+00   1.719e+00  -1.97  128.000    0.000   30.031
OBS:  56245.082  r NULL  -7.484e-02   1.353e+00  -0.06  128.000    0.000   27.271
OBS:  56245.109  i NULL   4.504e+00   3.214e+00   1.40   25.866    1.358   25.702
OBS:  56245.137  z NULL   8.213e+00   2.841e+00   2.89   25.214    0.461   25.102
OBS:  56246.117  g NULL   5.002e+00   6.562e+00   0.76   25.752  102.248   30.135
OBS:  56246.125  r NULL   2.268e+00   2.811e+00   0.81   26.611  101.389   27.354
OBS:  56246.152  i NULL   4.392e+00   1.962e+00   2.24   25.893    0.643   25.756
OBS:  56246.180  z NULL   1.012e+01   1.944e+00   5.21   24.987    0.231   25.145
OBS:  56247.281  g NULL   1.616e+00   1.489e+00   1.09   26.979    2.758   30.242
OBS:  56247.297  r NULL   1.921e+00   1.133e+00   1.70   26.791    0.967   27.439
OBS:  56247.316  i NULL   1.060e+01   1.985e+00   5.34   24.937    0.224   25.817
OBS:  56247.340  z NULL   8.898e+00   2.496e+00   3.57   25.127    0.357   25.188
OBS:  56248.324  g NULL   3.294e-01   1.702e+00   0.19   28.706   99.294   30.321
OBS:  56248.340  r NULL   2.792e+00   1.337e+00   2.09   26.385    0.707   27.504
OBS:  56258.035  i NULL   1.270e+01   9.888e+00   1.28   24.741    1.636   26.301
OBS:  56258.066  z NULL   5.786e+00   3.969e+00   1.46   25.594    1.258   25.563
OBS:  56258.215  g NULL  -3.633e+00   4.948e+00  -0.73  128.000    0.000   29.622
OBS:  56258.227  r NULL   6.250e+00   2.384e+00   2.62   25.510    0.521   27.648
OBS:  56261.098  g NULL  -6.572e-02   8.828e+00  -0.01  128.000    0.000   29.322
OBS:  56261.102  r NULL  -1.269e+00   3.394e+00  -0.37  128.000    0.000   27.653
OBS:  56261.125  i NULL   4.610e+00   3.855e+00   1.20   25.841    1.964   26.406
OBS:  56261.156  z NULL   3.832e+00   3.087e+00   1.24   26.041    1.779   25.678
OBS:  56273.160  g NULL  -1.653e+00   1.753e+00  -0.94  128.000    0.000   29.648
OBS:  56273.176  r NULL   4.496e-01   1.213e+00   0.37   28.368   99.632   27.989
OBS:  56273.188  i NULL   4.002e+00   2.026e+00   1.98   25.994    0.765   26.725
OBS:  56273.219  z NULL   3.734e+00   2.252e+00   1.66   26.070    1.003   26.074
OBS:  56281.160  g NULL   1.345e+00   2.074e+00   0.65   27.178  100.822   30.130
OBS:  56281.184  r NULL   1.014e+00   1.274e+00   0.80   27.485  100.515   28.193
