SURVEY: DES   
SNID:   1186   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.36827 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.36827 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.36827 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10811 
HOST_GALAXY_PHOTO-Z:   0.3071  +- 0.0374  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.3698  
SIM_HOSTLIB_TRUEZ:  0.3700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10811  
SIM_DLMU:      41.483662  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0941   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.231  mag  (host extinction at 5510 A)
SIM_RV:         2.055   (CCM89 extinction parameter) 
SIM_PEAKMAG:   23.07  22.27  22.21  22.43  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56335.335938  days 
SIM_DELTA:      0.192  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.808  
SIM_MAGDIM:    0.541  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.06   days 
SIM_TRESTMAX:    11.45   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56336.086  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 40 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56283.203  g NULL   3.182e+00   6.285e+00   0.51   99.000    5.000   99.000
OBS:  56283.211  r NULL  -4.973e+00   3.326e+00  -1.50   99.000    5.000   99.000
OBS:  56283.215  i NULL  -6.150e-01   5.816e+00  -0.11   99.000    5.000   99.000
OBS:  56283.223  z NULL   1.106e+01   5.047e+00   2.19   99.000    5.000   99.000
OBS:  56288.199  g NULL  -1.307e+01   1.179e+01  -1.11   99.000    5.000   99.000
OBS:  56288.215  r NULL  -6.427e+00   6.181e+00  -1.04   99.000    5.000   99.000
OBS:  56289.109  i NULL  -9.294e+00   7.082e+00  -1.31   99.000    5.000   99.000
OBS:  56289.125  z NULL   9.393e+00   5.425e+00   1.73   99.000    5.000   99.000
OBS:  56292.098  g NULL  -7.177e+00   1.165e+01  -0.62   99.000    5.000   99.000
OBS:  56292.102  r NULL   9.861e+00   4.830e+00   2.04   99.000    5.000   99.000
OBS:  56292.191  i NULL   8.371e-01   5.599e+00   0.15   99.000    5.000   99.000
OBS:  56292.199  z NULL   3.887e+00   5.158e+00   0.75   99.000    5.000   99.000
OBS:  56304.051  g NULL  -4.645e-01   2.479e+00  -0.19   99.000    5.000   99.000
OBS:  56304.055  r NULL  -1.663e+00   1.657e+00  -1.00   99.000    5.000   99.000
OBS:  56304.070  i NULL   6.895e-01   2.506e+00   0.28   99.000    5.000   99.000
OBS:  56304.086  z NULL  -5.190e-01   3.934e+00  -0.13   99.000    5.000   99.000
OBS:  56312.055  g NULL   2.906e-01   7.569e+00   0.04   28.842   99.158   27.530
OBS:  56312.066  r NULL   6.724e+00   2.966e+00   2.27   25.431    0.631   26.614
OBS:  56312.090  i NULL  -1.593e+00   5.021e+00  -0.32  128.000    0.000   26.377
OBS:  56312.113  z NULL   7.005e+00   5.430e+00   1.29   25.387    1.620   26.390
OBS:  56320.043  g NULL   1.663e+01   6.195e+00   2.68   24.448    0.506   24.825
OBS:  56320.051  r NULL   2.382e+01   2.553e+00   9.33   24.058    0.123   23.984
OBS:  56320.059  i NULL   2.451e+01   3.699e+00   6.63   24.027    0.178   23.863
OBS:  56320.070  z NULL   3.313e+01   4.443e+00   7.46   23.699    0.156   23.834
OBS:  56328.047  g NULL   5.301e+01   3.644e+00  14.55   23.189    0.077   23.223
