SURVEY: DES   
SNID:   1537   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.34265 +- 0.03740  (Helio, z_best) 
REDSHIFT_FINAL:   0.34265 +- 0.03740  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10021 
HOST_GALAXY_PHOTO-Z:   0.3426  +- 0.0374  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      13   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = SDSS-000020  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.3367  
SIM_HOSTLIB_TRUEZ:  0.3400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10021  
SIM_DLMU:      41.246262  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0188   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.48  23.97  23.67  23.85  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56306.468750  days 
SIM_SALT2x0:   3.173e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -36.08   days 
SIM_TRESTMAX:    33.31   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56305.180  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 47 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.242  g NULL  -6.491e+00   8.081e+00  -0.80   99.000    5.000   99.006
OBS:  56258.258  r NULL   2.238e+00   4.418e+00   0.51   99.000    5.000   99.010
OBS:  56259.160  i NULL   8.481e+00   4.543e+00   1.87   99.000    5.000   98.996
OBS:  56259.180  z NULL   3.738e+00   3.060e+00   1.22   99.000    5.000   98.997
OBS:  56261.215  g NULL   1.398e+00   3.958e+00   0.35   99.000    5.000   99.006
OBS:  56261.230  r NULL   7.727e-02   1.853e+00   0.04   99.000    5.000   99.010
OBS:  56267.156  i NULL  -2.289e+00   2.211e+00  -1.04   99.000    5.000   98.996
OBS:  56267.180  z NULL   4.007e+00   3.050e+00   1.31   25.993    1.554   64.567
OBS:  56274.160  g NULL   2.735e+00   2.033e+00   1.34   26.408    1.476   39.906
OBS:  56274.176  r NULL   4.685e-01   1.444e+00   0.32   28.323   99.677   37.292
OBS:  56275.223  i NULL   2.283e+00   3.008e+00   0.76   26.604  101.396   35.533
OBS:  56276.191  z NULL  -2.540e+00   3.402e+00  -0.75  128.000    0.000   35.728
OBS:  56282.160  g NULL   2.492e+00   3.403e+00   0.73   26.509  101.491   31.962
OBS:  56282.184  r NULL   1.285e+00   2.178e+00   0.59   27.228  100.772   28.756
OBS:  56287.160  i NULL  -4.565e+00   4.986e+00  -0.92  128.000    0.000   26.754
OBS:  56287.191  z NULL   3.754e+00   3.894e+00   0.96   26.064  101.936   27.863
OBS:  56289.035  g NULL   1.017e+01   1.189e+01   0.86   24.981  103.019   29.638
OBS:  56289.043  r NULL   4.876e+00   4.184e+00   1.17   25.780    2.119   26.415
OBS:  56289.152  i NULL   5.445e+00   4.329e+00   1.26   25.660    1.720   26.289
OBS:  56289.176  z NULL   6.195e+00   4.465e+00   1.39   25.520    1.384   27.296
OBS:  56297.039  g NULL   4.578e+00   1.590e+00   2.88   25.848    0.463   26.103
OBS:  56297.047  r NULL   1.313e+01   1.251e+00  10.49   24.704    0.108   24.795
OBS:  56297.062  i NULL   1.558e+01   1.890e+00   8.24   24.519    0.140   24.649
