SURVEY: DES   
SNID:   2166   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.76291 +- 0.02270  (Helio, z_best) 
REDSHIFT_FINAL:   0.76291 +- 0.02270  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15762 
HOST_GALAXY_PHOTO-Z:   0.7629  +- 0.0227  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.7346  
SIM_HOSTLIB_TRUEZ:  0.7300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15762  
SIM_DLMU:      43.275223  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0096   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.90  24.07  23.59  23.55  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56307.957031  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   3.875e-06   
SIM_SALT2x1:    1.3575   
SIM_SALT2c:     0.1261   
SIM_SALT2mB:   24.1644   
SIM_STRETCH:    2.357  
SIM_MAGDIM:    1.372  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.39   days 
SIM_TRESTMAX:    24.87   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56308.715  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 85 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56243.098  g NULL   8.228e-01   2.167e+00   0.38   99.000    5.000   99.029
OBS:  56243.109  r NULL  -2.579e-01   1.654e+00  -0.16   99.000    5.000   99.143
OBS:  56243.125  i NULL  -2.393e+00   2.564e+00  -0.93   99.000    5.000   99.126
OBS:  56243.152  z NULL   9.981e-01   2.550e+00   0.39   99.000    5.000   99.097
OBS:  56244.082  g NULL   3.288e-01   2.190e+00   0.15   99.000    5.000   99.029
OBS:  56244.098  r NULL  -4.744e-01   1.634e+00  -0.29   99.000    5.000   99.143
OBS:  56244.109  i NULL  -4.423e+00   2.589e+00  -1.71   99.000    5.000   99.126
OBS:  56244.133  z NULL   2.321e+00   2.982e+00   0.78   99.000    5.000   99.097
OBS:  56245.070  g NULL  -1.177e+00   1.718e+00  -0.69   99.000    5.000   99.029
OBS:  56245.082  r NULL  -8.709e-01   1.352e+00  -0.64   99.000    5.000   99.143
OBS:  56245.109  i NULL   3.678e+00   3.212e+00   1.15   99.000    5.000   99.126
OBS:  56245.137  z NULL   1.576e-02   2.836e+00   0.01   99.000    5.000   99.097
OBS:  56246.117  g NULL   3.719e+00   6.562e+00   0.57   99.000    5.000   99.029
OBS:  56246.125  r NULL  -4.000e+00   2.811e+00  -1.42   99.000    5.000   99.143
OBS:  56246.152  i NULL  -4.084e-01   1.959e+00  -0.21   99.000    5.000   99.126
OBS:  56246.180  z NULL  -3.268e+00   1.934e+00  -1.69   99.000    5.000   99.097
OBS:  56247.281  g NULL   3.026e+00   1.490e+00   2.03   99.000    5.000   99.029
OBS:  56247.297  r NULL   2.360e-01   1.132e+00   0.21   99.000    5.000   99.143
OBS:  56247.316  i NULL   6.412e-01   1.974e+00   0.32   99.000    5.000   99.126
OBS:  56247.340  z NULL  -3.292e+00   2.490e+00  -1.32   99.000    5.000   99.097
OBS:  56248.324  g NULL   1.790e+00   1.702e+00   1.05   99.000    5.000   99.029
OBS:  56248.340  r NULL   2.189e-01   1.335e+00   0.16   99.000    5.000   99.143
OBS:  56258.035  i NULL  -3.574e+00   9.885e+00  -0.36   99.000    5.000   99.126
OBS:  56258.066  z NULL  -3.322e+00   3.968e+00  -0.84   99.000    5.000   99.097
OBS:  56258.215  g NULL  -1.838e-02   4.947e+00  -0.00   99.000    5.000   99.029
OBS:  56258.227  r NULL  -2.726e-01   2.381e+00  -0.11   99.000    5.000   99.143
OBS:  56261.098  g NULL   4.494e+00   8.828e+00   0.51   99.000    5.000   99.029
OBS:  56261.102  r NULL  -5.722e+00   3.396e+00  -1.69   99.000    5.000   99.143
OBS:  56261.125  i NULL  -3.112e+00   3.854e+00  -0.81   99.000    5.000   99.126
OBS:  56261.156  z NULL   1.379e-01   3.086e+00   0.04   99.000    5.000   99.097
OBS:  56273.160  g NULL   3.472e-01   1.752e+00   0.20   99.000    5.000   99.029
OBS:  56273.176  r NULL   3.676e-01   1.213e+00   0.30   99.000    5.000   99.143
OBS:  56273.188  i NULL   2.043e+00   2.024e+00   1.01   99.000    5.000   99.126
OBS:  56273.219  z NULL  -6.261e+00   2.254e+00  -2.78   99.000    5.000   99.097
OBS:  56281.160  g NULL   1.668e+00   2.075e+00   0.80   26.944  101.056   27.629
OBS:  56281.184  r NULL   2.814e+00   1.276e+00   2.21   26.377    0.656   26.339
OBS:  56281.203  i NULL   5.707e+00   1.803e+00   3.16   25.609    0.412   25.769
OBS:  56281.227  z NULL   5.751e+00   2.294e+00   2.51   25.601    0.552   25.738
OBS:  56288.086  g NULL   5.482e+00   4.852e+00   1.13   25.653    2.348   26.353
OBS:  56288.094  r NULL   1.037e+01   2.126e+00   4.88   24.960    0.249   24.926
OBS:  56288.109  i NULL   1.875e+01   3.082e+00   6.08   24.318    0.195   24.499
OBS:  56288.141  z NULL   1.722e+01   2.605e+00   6.61   24.410    0.178   24.474
OBS:  56289.227  g NULL   6.646e+00   6.494e+00   1.02   25.444    4.094   26.221
OBS:  56289.242  r NULL   1.109e+01   2.712e+00   4.09   24.888    0.305   24.754
OBS:  56289.258  i NULL   2.658e+01   5.111e+00   5.20   23.939    0.231   24.365
OBS:  56292.035  z NULL   2.352e+01   2.111e+00  11.14   24.071    0.102   24.069
OBS:  56292.141  g NULL   6.429e+00   3.061e+00   2.10   25.480    0.702   25.935
OBS:  56292.156  r NULL   1.743e+01   1.776e+00   9.81   24.396    0.117   24.378
OBS:  56292.172  i NULL   2.229e+01   2.693e+00   8.28   24.130    0.140   24.075
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56303.039  g NULL   5.468e+00   1.389e+00   3.94   25.655    0.318   25.688
OBS:  56303.051  r NULL   2.403e+01   1.025e+00  23.43   24.048    0.048   24.007
OBS:  56303.070  i NULL   3.502e+01   1.574e+00  22.25   23.639    0.050   23.622
OBS:  56303.094  z NULL   3.578e+01   2.312e+00  15.48   23.616    0.073   23.591
OBS:  56311.043  g NULL   5.292e+00   2.676e+00   1.98   25.691    0.765   26.067
OBS:  56311.055  r NULL   2.306e+01   1.568e+00  14.71   24.093    0.076   24.162
OBS:  56311.074  i NULL   3.164e+01   2.470e+00  12.81   23.749    0.089   23.616
OBS:  56311.098  z NULL   4.254e+01   2.564e+00  16.59   23.428    0.067   23.540
OBS:  56317.125  g NULL   3.644e+00   4.219e+00   0.86   26.096  101.904   26.557
OBS:  56317.141  r NULL   1.473e+01   1.887e+00   7.80   24.579    0.150   24.398
OBS:  56318.109  i NULL   3.084e+01   2.848e+00  10.83   23.777    0.105   23.750
OBS:  56318.141  z NULL   3.377e+01   3.044e+00  11.09   23.679    0.103   23.598
OBS:  56321.090  g NULL  -5.657e+00   6.630e+00  -0.85  128.000    0.000   26.932
OBS:  56321.098  r NULL   1.422e+01   2.909e+00   4.89   24.618    0.249   24.577
OBS:  56321.109  i NULL   2.397e+01   3.442e+00   6.96   24.051    0.169   23.837
OBS:  56321.141  z NULL   4.073e+01   3.057e+00  13.32   23.475    0.084   23.657
OBS:  56332.039  g NULL   2.703e+00   1.462e+00   1.85   26.420    0.844   27.670
OBS:  56332.051  r NULL   6.648e+00   9.888e-01   6.72   25.443    0.176   25.205
OBS:  56332.070  i NULL   1.511e+01   1.615e+00   9.35   24.552    0.124   24.326
OBS:  56332.094  z NULL   2.137e+01   2.610e+00   8.19   24.175    0.142   24.000
OBS:  56340.043  g NULL  -9.283e-01   2.749e+00  -0.34  128.000    0.000   28.837
OBS:  56340.055  r NULL   4.435e+00   1.651e+00   2.69   25.883    0.506   25.776
OBS:  56340.074  i NULL   1.366e+01   2.735e+00   5.00   24.661    0.242   24.769
OBS:  56340.098  z NULL   1.483e+01   2.995e+00   4.95   24.572    0.246   24.249
OBS:  56348.055  g NULL   5.870e-01   3.249e+00   0.18   28.078   99.922   29.982
OBS:  56348.070  r NULL   4.672e+00   2.101e+00   2.22   25.826    0.648   26.299
OBS:  56349.004  i NULL   8.823e+00   2.361e+00   3.74   25.136    0.338   25.234
OBS:  56349.027  z NULL   1.734e+01   2.450e+00   7.08   24.402    0.165   24.487
OBS:  56350.043  g NULL  -2.580e+00   3.836e+00  -0.67  128.000    0.000   29.700
OBS:  56350.055  r NULL   3.649e+00   1.816e+00   2.01   26.095    0.747   26.396
OBS:  56350.070  i NULL   8.244e+00   3.164e+00   2.61   25.210    0.526   25.287
OBS:  56350.098  z NULL   1.568e+01   4.869e+00   3.22   24.511    0.404   24.514
OBS:  56351.043  g NULL   7.561e+00   3.353e+00   2.25   25.303    0.636   29.434
OBS:  56351.055  r NULL   6.914e+00   1.766e+00   3.91   25.401    0.319   26.441
OBS:  56351.070  i NULL   9.266e+00   3.064e+00   3.02   25.083    0.436   25.337
OBS:  56351.098  z NULL   2.522e+01   4.804e+00   5.25   23.996    0.229   24.539
END: 
