SURVEY: DES   
SNID:   2879   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.83625 +- 0.02980  (Helio, z_best) 
REDSHIFT_FINAL:   0.83625 +- 0.02980  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16870 
HOST_GALAXY_PHOTO-Z:   0.8362  +- 0.0298  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.8402  
SIM_HOSTLIB_TRUEZ:  0.8400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16870  
SIM_DLMU:      43.633739  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0781   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.158  mag  (host extinction at 5510 A)
SIM_RV:         2.255   (CCM89 extinction parameter) 
SIM_PEAKMAG:   27.24  24.73  23.83  24.02  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56344.671875  days 
SIM_DELTA:      0.251  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.749  
SIM_MAGDIM:    0.495  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.78   days 
SIM_TRESTMAX:     3.45   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56345.195  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 44 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56275.152  g NULL  -3.625e-01   3.310e+00  -0.11   99.000    5.000   99.000
OBS:  56275.172  r NULL   1.135e-01   2.239e+00   0.05   99.000    5.000   99.000
OBS:  56275.191  i NULL  -3.017e+00   4.492e+00  -0.67   99.000    5.000   99.000
OBS:  56275.203  z NULL   5.441e+00   5.326e+00   1.02   99.000    5.000   99.000
OBS:  56283.203  g NULL   4.702e+00   6.285e+00   0.75   99.000    5.000   99.000
OBS:  56283.211  r NULL  -3.578e+00   3.326e+00  -1.08   99.000    5.000   99.000
OBS:  56283.215  i NULL   9.059e+00   5.819e+00   1.56   99.000    5.000   99.000
OBS:  56283.223  z NULL  -8.791e+00   5.045e+00  -1.74   99.000    5.000   99.000
OBS:  56288.199  g NULL   1.736e+01   1.179e+01   1.47   99.000    5.000   99.000
OBS:  56288.215  r NULL  -9.757e+00   6.183e+00  -1.58   99.000    5.000   99.000
OBS:  56289.109  i NULL  -1.130e+01   7.083e+00  -1.59   99.000    5.000   99.000
OBS:  56289.125  z NULL  -1.956e+00   5.422e+00  -0.36   99.000    5.000   99.000
OBS:  56292.098  g NULL   1.206e+01   1.165e+01   1.04   99.000    5.000   99.000
OBS:  56292.102  r NULL  -6.320e-01   4.826e+00  -0.13   99.000    5.000   99.000
OBS:  56292.191  i NULL   6.057e-01   5.599e+00   0.11   99.000    5.000   99.000
OBS:  56292.199  z NULL   4.406e+00   5.158e+00   0.85   99.000    5.000   99.000
OBS:  56304.051  g NULL  -2.806e+00   2.480e+00  -1.13   99.000    5.000   99.000
OBS:  56304.055  r NULL   5.100e-01   1.657e+00   0.31   99.000    5.000   99.000
OBS:  56304.070  i NULL   2.743e+00   2.506e+00   1.09   99.000    5.000   99.000
OBS:  56304.086  z NULL   6.365e-01   3.934e+00   0.16   99.000    5.000   99.000
OBS:  56312.055  g NULL   3.743e+00   7.568e+00   0.49   26.067  101.933   32.795
OBS:  56312.066  r NULL  -1.135e+00   2.962e+00  -0.38  128.000    0.000   30.028
OBS:  56312.090  i NULL   8.951e-01   5.020e+00   0.18   27.620  100.380   29.002
OBS:  56312.113  z NULL   1.508e+00   5.428e+00   0.28   27.054  100.946   29.059
OBS:  56320.043  g NULL   2.883e+00   6.168e+00   0.47   26.350  101.650   30.211
