SURVEY: DES   
SNID:   8029   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.96613 +- 0.01470  (Helio, z_best) 
REDSHIFT_FINAL:   0.96613 +- 0.01470  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16522 
HOST_GALAXY_PHOTO-Z:   0.9661  +- 0.0147  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.9747  
SIM_HOSTLIB_TRUEZ:  0.9700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16522  
SIM_DLMU:      44.031532  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0078   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   29.36  25.77  24.22  24.23  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56331.750000  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.826e-06   
SIM_SALT2x1:   -2.1601   
SIM_SALT2c:     0.0241   
SIM_SALT2mB:   24.9814   
SIM_MAGDIM:    1.433  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.33   days 
SIM_TRESTMAX:     9.80   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56331.492  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 63 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.035  i NULL   1.392e+01   9.888e+00   1.41   99.000    5.000   99.006
OBS:  56258.066  z NULL  -8.663e+00   3.971e+00  -2.18   99.000    5.000   99.027
OBS:  56258.215  g NULL   1.806e-02   4.947e+00   0.00   99.000    5.000   99.026
OBS:  56258.227  r NULL  -6.228e-01   2.381e+00  -0.26   99.000    5.000   99.098
OBS:  56261.098  g NULL   1.092e+01   8.830e+00   1.24   99.000    5.000   99.026
OBS:  56261.102  r NULL  -2.814e+00   3.394e+00  -0.83   99.000    5.000   99.098
OBS:  56261.125  i NULL   1.464e+00   3.853e+00   0.38   99.000    5.000   99.006
OBS:  56261.156  z NULL  -2.480e+00   3.086e+00  -0.80   99.000    5.000   99.027
OBS:  56273.160  g NULL   2.271e+00   1.753e+00   1.30   99.000    5.000   99.026
OBS:  56273.176  r NULL   2.521e+00   1.214e+00   2.08   99.000    5.000   99.098
OBS:  56273.188  i NULL  -4.143e-02   2.023e+00  -0.02   99.000    5.000   99.006
OBS:  56273.219  z NULL   3.852e-01   2.251e+00   0.17   99.000    5.000   99.027
OBS:  56281.160  g NULL   2.540e+00   2.074e+00   1.22   99.000    5.000   99.026
OBS:  56281.184  r NULL   1.678e+00   1.273e+00   1.32   99.000    5.000   99.098
OBS:  56281.203  i NULL  -1.800e+00   1.799e+00  -1.00   99.000    5.000   99.006
OBS:  56281.227  z NULL  -1.142e+00   2.290e+00  -0.50   99.000    5.000   99.027
OBS:  56288.086  g NULL   3.429e+00   4.850e+00   0.71   99.000    5.000   99.026
OBS:  56288.094  r NULL   5.389e-02   2.113e+00   0.03   99.000    5.000   99.098
OBS:  56288.109  i NULL   1.482e+00   3.059e+00   0.48   99.000    5.000   99.006
OBS:  56288.141  z NULL  -7.967e-01   2.584e+00  -0.31   99.000    5.000   99.027
OBS:  56289.227  g NULL   7.862e+00   6.492e+00   1.21   99.000    5.000   99.026
OBS:  56289.242  r NULL   1.647e+00   2.701e+00   0.61   99.000    5.000   99.098
OBS:  56289.258  i NULL   1.263e+00   5.084e+00   0.25   99.000    5.000   99.006
OBS:  56292.035  z NULL   2.381e+00   2.062e+00   1.16   99.000    5.000   99.027
OBS:  56292.141  g NULL  -9.774e-01   3.053e+00  -0.32   99.000    5.000   99.026
