SURVEY: DES   
SNID:   24455   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.90938 +- 0.02860  (Helio, z_best) 
REDSHIFT_FINAL:   0.90938 +- 0.02860  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11496 
HOST_GALAXY_PHOTO-Z:   0.9094  +- 0.0286  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.9152  
SIM_HOSTLIB_TRUEZ:  0.9200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11496  
SIM_DLMU:      43.862461  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0724   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.045  mag  (host extinction at 5510 A)
SIM_RV:         3.089   (CCM89 extinction parameter) 
SIM_PEAKMAG:   31.13  24.46  23.62  23.62  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56173.195312  days 
SIM_DELTA:     -0.226  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.226  
SIM_MAGDIM:    0.102  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     2.63   days 
SIM_TRESTMAX:    68.34   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56173.273  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 99 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   1.409e+00   1.048e+01   0.13   27.128  100.872   31.299
OBS:  56178.250  r NULL   1.338e+01   7.850e+00   1.70   24.684    0.959   24.672
OBS:  56178.266  i NULL   3.508e+01   9.342e+00   3.75   23.637    0.336   23.708
OBS:  56179.211  z NULL   3.096e+01   5.365e+00   5.77   23.773    0.207   23.653
OBS:  56180.219  g NULL   2.495e+00   3.205e+00   0.78   26.507  101.493   31.479
OBS:  56180.234  r NULL   9.344e+00   2.443e+00   3.83   25.074    0.330   24.789
OBS:  56180.250  i NULL   3.427e+01   4.372e+00   7.84   23.663    0.148   23.760
OBS:  56188.191  z NULL   1.455e+01   2.733e+01   0.53   24.593  103.407   23.855
OBS:  56188.340  g NULL  -1.567e+01   2.557e+01  -0.61  128.000    0.000   32.094
OBS:  56188.355  r NULL   1.386e+01   4.167e+00   3.33   24.645    0.387   25.309
OBS:  56189.195  i NULL  -2.883e+01   3.097e+01  -0.93  128.000    0.000   24.082
OBS:  56194.215  g NULL  -5.917e+00   4.765e+00  -1.24  128.000    0.000   32.433
OBS:  56194.223  r NULL   2.694e+00   5.405e+00   0.50   26.424  101.576   25.723
OBS:  56194.227  z NULL   3.792e+01   6.584e+00   5.76   23.553    0.206   24.078
OBS:  56200.234  i NULL   3.552e+01   1.200e+01   2.96   23.624    0.447   24.706
OBS:  56208.160  g NULL   2.921e+00   2.972e+00   0.98   26.336  101.664   33.462
OBS:  56208.176  r NULL   5.097e+00   2.432e+00   2.10   25.732    0.703   26.770
OBS:  56208.191  z NULL   1.805e+01   4.952e+00   3.65   24.359    0.348   24.622
OBS:  56210.156  i NULL   1.123e+01   7.030e+00   1.60   24.874    1.067   25.329
OBS:  56216.164  g NULL   3.506e-02   2.686e+00   0.01   31.138   96.862   33.927
OBS:  56216.176  r NULL  -2.762e+00   2.038e+00  -1.36  128.000    0.000   27.337
OBS:  56216.191  z NULL   5.198e+00   4.048e+00   1.28   25.710    1.641   24.999
OBS:  56219.211  i NULL   1.951e+00   2.991e+00   0.65   26.775  101.225   25.841
OBS:  56221.148  g NULL   2.754e+01   1.592e+01   1.73   23.900    0.936   34.145
OBS:  56221.160  r NULL   1.285e-01   6.048e+00   0.02   29.728   98.272   27.588
OBS:  56221.176  z NULL   3.092e+01   1.541e+01   2.01   23.774    0.748   25.183
