SURVEY: DES   
SNID:   26453   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.86921 +- 0.02930  (Helio, z_best) 
REDSHIFT_FINAL:   0.86921 +- 0.02930  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17660 
HOST_GALAXY_PHOTO-Z:   0.8692  +- 0.0293  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      2   (non1a index) 
SIM_COMMENT:  SN Type = IIn , MODEL = NUGENT2n  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.8602  
SIM_HOSTLIB_TRUEZ:  0.8600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17660  
SIM_DLMU:      43.696552  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0581   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.36  24.17  24.12  24.12  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56345.199219  days 
SIM_SALT2x0:   3.322e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.66   days 
SIM_TRESTMAX:     3.13   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56347.781  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 44 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56275.152  g NULL   8.295e-01   3.310e+00   0.25   99.000    5.000   97.023
OBS:  56275.172  r NULL  -2.407e+00   2.240e+00  -1.07   99.000    5.000   97.115
OBS:  56275.191  i NULL   2.158e+00   4.492e+00   0.48   99.000    5.000   97.116
OBS:  56275.203  z NULL  -1.589e+00   5.325e+00  -0.30   99.000    5.000   97.063
OBS:  56283.203  g NULL   2.494e+00   6.285e+00   0.40   99.000    5.000   97.023
OBS:  56283.211  r NULL   6.074e-01   3.325e+00   0.18   99.000    5.000   97.115
OBS:  56283.215  i NULL   5.012e-01   5.816e+00   0.09   99.000    5.000   97.116
OBS:  56283.223  z NULL   1.656e+00   5.043e+00   0.33   99.000    5.000   97.063
OBS:  56288.199  g NULL   7.224e-01   1.179e+01   0.06   99.000    5.000   97.023
OBS:  56288.215  r NULL  -6.750e+00   6.182e+00  -1.09   99.000    5.000   97.115
OBS:  56289.109  i NULL  -2.228e+00   7.080e+00  -0.31   99.000    5.000   97.116
OBS:  56289.125  z NULL  -1.893e+00   5.422e+00  -0.35   99.000    5.000   97.063
OBS:  56292.098  g NULL   3.731e+00   1.165e+01   0.32   99.000    5.000   97.023
OBS:  56292.102  r NULL   6.626e+00   4.828e+00   1.37   99.000    5.000   97.115
OBS:  56292.191  i NULL  -6.377e+00   5.600e+00  -1.14   99.000    5.000   97.116
OBS:  56292.199  z NULL  -6.960e-02   5.157e+00  -0.01   99.000    5.000   97.063
OBS:  56304.051  g NULL   2.113e+00   2.480e+00   0.85   99.000    5.000   97.023
OBS:  56304.055  r NULL   2.150e+00   1.657e+00   1.30   99.000    5.000   97.115
OBS:  56304.070  i NULL   2.068e+00   2.506e+00   0.83   99.000    5.000   97.116
OBS:  56304.086  z NULL   3.621e+00   3.934e+00   0.92   99.000    5.000   97.063
OBS:  56312.055  g NULL  -9.013e+00   7.570e+00  -1.19  128.000    0.000   27.890
OBS:  56312.066  r NULL   2.201e-01   2.962e+00   0.07   29.143   98.857   28.220
OBS:  56312.090  i NULL   7.335e-01   5.020e+00   0.15   27.836  100.164   28.428
