SURVEY: DES   
SNID:   29249   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.90822 +- 0.01580  (Helio, z_best) 
REDSHIFT_FINAL:   0.90822 +- 0.01580  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19120 
HOST_GALAXY_PHOTO-Z:   0.9082  +- 0.0158  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      30   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-017564  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.9061  
SIM_HOSTLIB_TRUEZ:  0.9100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19120  
SIM_DLMU:      43.835812  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0230   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.33  23.74  24.23  23.88  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56305.894531  days 
SIM_SALT2x0:   2.922e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.67   days 
SIM_TRESTMAX:    22.61   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56305.672  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 80 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56230.273  g NULL   2.307e+00   1.383e+01   0.17   99.000    5.000   99.026
OBS:  56230.277  r NULL   2.344e+00   6.405e+00   0.37   99.000    5.000   99.015
OBS:  56230.285  i NULL   1.117e+01   1.120e+01   1.00   99.000    5.000   99.013
OBS:  56230.293  z NULL  -1.091e+00   6.156e+00  -0.18   99.000    5.000   98.918
OBS:  56231.242  g NULL  -1.036e+00   9.776e+00  -0.11   99.000    5.000   99.026
OBS:  56231.258  r NULL   1.557e+00   4.944e+00   0.31   99.000    5.000   99.015
OBS:  56231.273  i NULL   1.229e+01   9.659e+00   1.27   99.000    5.000   99.013
OBS:  56231.277  z NULL   1.305e-01   5.304e+00   0.02   99.000    5.000   98.918
OBS:  56235.242  g NULL  -9.588e+00   6.868e+00  -1.40   99.000    5.000   99.026
OBS:  56235.258  r NULL   2.266e+00   3.909e+00   0.58   99.000    5.000   99.015
OBS:  56235.270  i NULL  -1.072e-02   7.247e+00  -0.00   99.000    5.000   99.013
OBS:  56235.277  z NULL   2.183e+00   6.980e+00   0.31   99.000    5.000   98.918
OBS:  56236.258  g NULL  -1.079e+01   6.537e+00  -1.65   99.000    5.000   99.026
OBS:  56236.270  r NULL   5.951e+00   4.254e+00   1.40   99.000    5.000   99.015
OBS:  56236.277  i NULL   6.400e+00   5.995e+00   1.07   99.000    5.000   99.013
OBS:  56236.285  z NULL   2.170e+00   7.804e+00   0.28   99.000    5.000   98.918
OBS:  56237.289  g NULL   1.582e+01   2.675e+01   0.59   99.000    5.000   99.026
OBS:  56237.297  r NULL  -5.093e+01   4.069e+01  -1.25   99.000    5.000   99.015
OBS:  56237.301  i NULL   5.394e+00   4.383e+01   0.12   99.000    5.000   99.013
OBS:  56237.316  z NULL   3.691e+01   2.568e+01   1.44   99.000    5.000   98.918
OBS:  56238.301  g NULL  -1.472e+01   4.135e+01  -0.36   99.000    5.000   99.026
OBS:  56238.316  r NULL  -4.632e+00   1.368e+01  -0.34   99.000    5.000   99.015
OBS:  56238.328  i NULL   5.228e+00   7.933e+00   0.66   99.000    5.000   99.013
