SURVEY: DES   
SNID:   33107   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.96450 +- 0.02160  (Helio, z_best) 
REDSHIFT_FINAL:   0.96450 +- 0.02160  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18054 
HOST_GALAXY_PHOTO-Z:   0.9645  +- 0.0216  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      2   (non1a index) 
SIM_COMMENT:  SN Type = IIn , MODEL = NUGENT2n  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.9818  
SIM_HOSTLIB_TRUEZ:  0.9800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18054  
SIM_DLMU:      44.050922  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0087   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.05  24.84  24.72  24.75  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56323.308594  days 
SIM_SALT2x0:   2.397e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.98   days 
SIM_TRESTMAX:    14.02   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56325.066  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 81 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56244.082  g NULL  -2.912e+00   2.191e+00  -1.33   99.000    5.000   97.532
OBS:  56244.098  r NULL  -2.392e+00   1.634e+00  -1.46   99.000    5.000   97.613
OBS:  56244.109  i NULL   1.014e+00   2.588e+00   0.39   99.000    5.000   97.530
OBS:  56244.133  z NULL  -1.603e+00   2.982e+00  -0.54   99.000    5.000   97.513
OBS:  56245.070  g NULL   1.435e+00   1.718e+00   0.84   99.000    5.000   97.532
OBS:  56245.082  r NULL   7.975e-01   1.352e+00   0.59   99.000    5.000   97.613
OBS:  56245.109  i NULL   3.333e+00   3.212e+00   1.04   99.000    5.000   97.530
OBS:  56245.137  z NULL   7.649e-01   2.836e+00   0.27   99.000    5.000   97.513
OBS:  56246.117  g NULL   3.740e+00   6.562e+00   0.57   99.000    5.000   97.532
OBS:  56246.125  r NULL   3.483e+00   2.810e+00   1.24   99.000    5.000   97.613
OBS:  56246.152  i NULL  -1.800e-01   1.959e+00  -0.09   99.000    5.000   97.530
OBS:  56246.180  z NULL  -8.749e-01   1.933e+00  -0.45   99.000    5.000   97.513
OBS:  56247.281  g NULL  -4.596e-01   1.489e+00  -0.31   99.000    5.000   97.532
OBS:  56247.297  r NULL   1.200e+00   1.132e+00   1.06   99.000    5.000   97.613
OBS:  56247.316  i NULL  -5.995e-01   1.974e+00  -0.30   99.000    5.000   97.530
OBS:  56247.340  z NULL  -1.214e+00   2.489e+00  -0.49   99.000    5.000   97.513
OBS:  56248.324  g NULL  -2.896e-01   1.701e+00  -0.17   99.000    5.000   97.532
OBS:  56248.340  r NULL  -7.126e-01   1.335e+00  -0.53   99.000    5.000   97.613
OBS:  56258.035  i NULL   4.269e+00   9.885e+00   0.43   99.000    5.000   97.530
OBS:  56258.066  z NULL  -1.789e+00   3.968e+00  -0.45   99.000    5.000   97.513
OBS:  56258.215  g NULL  -5.634e+00   4.948e+00  -1.14   99.000    5.000   97.532
OBS:  56258.227  r NULL   2.697e+00   2.382e+00   1.13   99.000    5.000   97.613
