SURVEY: DES   
SNID:   35055   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.71039 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.71039 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.71039 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15958 
HOST_GALAXY_PHOTO-Z:   0.7221  +- 0.0166  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.7119  
SIM_HOSTLIB_TRUEZ:  0.7100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15958  
SIM_DLMU:      43.191536  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0282   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.39  23.50  23.25  23.34  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56223.894531  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   5.545e-06   
SIM_SALT2x1:    0.3398   
SIM_SALT2c:    -0.0044   
SIM_SALT2mB:   23.7752   
SIM_STRETCH:    1.340  
SIM_MAGDIM:    1.067  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -26.70   days 
SIM_TRESTMAX:    66.68   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56222.660  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 116 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL   2.880e+00   9.404e+00   0.31   99.000    5.000   99.071
OBS:  56178.195  r NULL  -1.189e+01   7.176e+00  -1.66   99.000    5.000   99.062
OBS:  56178.203  i NULL  -3.478e-01   6.833e+00  -0.05   99.000    5.000   99.072
OBS:  56178.211  z NULL   4.635e-01   7.919e+00   0.06   99.000    5.000   99.140
OBS:  56180.172  g NULL   1.062e+00   4.012e+00   0.26   99.000    5.000   99.071
OBS:  56180.188  r NULL   2.261e-01   3.174e+00   0.07   99.000    5.000   99.062
OBS:  56180.195  i NULL  -3.026e+00   4.395e+00  -0.69   99.000    5.000   99.072
OBS:  56180.203  z NULL   2.584e+00   4.963e+00   0.52   99.000    5.000   99.140
OBS:  56188.148  g NULL  -2.170e+00   1.795e+01  -0.12   99.000    5.000   99.071
OBS:  56188.289  r NULL   2.951e+00   3.995e+00   0.74   99.000    5.000   99.062
OBS:  56188.297  i NULL   5.590e+00   8.133e+00   0.69   99.000    5.000   99.072
OBS:  56188.312  z NULL   3.760e+00   5.393e+00   0.70   99.000    5.000   99.140
OBS:  56194.145  g NULL   5.713e+00   4.680e+00   1.22   25.608    1.856   28.939
OBS:  56194.156  r NULL  -7.029e-01   2.752e+00  -0.26  128.000    0.000   27.323
OBS:  56194.172  i NULL   5.300e+00   4.629e+00   1.14   25.689    2.243   27.050
OBS:  56194.188  z NULL   1.228e+01   4.469e+00   2.75   24.777    0.490   27.063
OBS:  56207.188  g NULL   1.891e+00   4.377e+00   0.43   26.808  101.192   25.675
OBS:  56207.195  r NULL   1.767e+01   3.487e+00   5.07   24.382    0.239   24.145
OBS:  56207.203  i NULL   2.510e+01   6.272e+00   4.00   24.001    0.312   24.020
OBS:  56207.219  z NULL   1.617e+01   5.963e+00   2.71   24.478    0.500   24.121
OBS:  56215.195  g NULL   7.000e+00   2.714e+00   2.58   25.387    0.533   25.159
OBS:  56215.203  r NULL   4.243e+01   2.349e+00  18.06   23.431    0.061   23.527
OBS:  56215.211  i NULL   4.428e+01   2.791e+00  15.87   23.385    0.071   23.415
OBS:  56215.227  z NULL   3.971e+01   3.515e+00  11.30   23.503    0.101   23.519
OBS:  56221.090  g NULL  -5.798e+00   6.283e+00  -0.92  128.000    0.000   25.266
OBS:  56221.105  r NULL   4.927e+01   5.189e+00   9.50   23.268    0.120   23.458
OBS:  56221.113  i NULL   5.050e+01   5.677e+00   8.90   23.242    0.129   23.267
OBS:  56221.117  z NULL   2.888e+01   7.730e+00   3.74   23.848    0.340   23.370
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56222.270  g NULL   1.071e+01   7.751e+00   1.38   24.925    1.396   25.314
OBS:  56222.273  r NULL   2.433e+01   5.744e+00   4.24   24.035    0.294   23.467
OBS:  56222.281  i NULL   7.592e+01   1.706e+01   4.45   22.799    0.276   23.256
OBS:  56222.289  z NULL   5.975e+01   8.149e+00   7.33   23.059    0.159   23.357
OBS:  56228.234  g NULL   2.438e+01   1.236e+01   1.97   24.032    0.767   25.654
OBS:  56228.242  r NULL   3.278e+01   5.620e+00   5.83   23.711    0.204   23.636
OBS:  56228.258  i NULL   5.671e+01   1.208e+01   4.69   23.116    0.260   23.300
OBS:  56228.270  z NULL   5.002e+01   6.721e+00   7.44   23.252    0.156   23.337
OBS:  56229.258  g NULL   1.425e+01   1.721e+01   0.83   24.616  103.384   25.729
OBS:  56229.270  r NULL   2.149e+01   8.086e+00   2.66   24.170    0.514   23.677
OBS:  56229.285  i NULL   5.712e+01   1.511e+01   3.78   23.108    0.333   23.319
OBS:  56229.297  z NULL   3.649e+01   8.932e+00   4.08   23.595    0.305   23.342
OBS:  56230.273  g NULL  -3.186e+00   1.383e+01  -0.23  128.000    0.000   25.810
OBS:  56230.277  r NULL   3.449e+01   6.450e+00   5.35   23.656    0.225   23.719
OBS:  56230.285  i NULL   5.201e+01   1.125e+01   4.62   23.210    0.264   23.339
OBS:  56230.293  z NULL   5.766e+01   6.256e+00   9.22   23.098    0.124   23.351
OBS:  56231.242  g NULL   7.853e+00   9.782e+00   0.80   25.262  102.738   25.893
OBS:  56231.258  r NULL   3.299e+01   4.997e+00   6.60   23.704    0.178   23.763
OBS:  56231.273  i NULL   4.516e+01   9.703e+00   4.65   23.363    0.263   23.362
OBS:  56231.277  z NULL   5.078e+01   5.396e+00   9.41   23.236    0.122   23.363
OBS:  56235.242  g NULL   1.972e+00   6.870e+00   0.29   26.763  101.237   26.281
OBS:  56235.258  r NULL   2.128e+01   3.946e+00   5.39   24.180    0.223   23.963
OBS:  56235.270  i NULL   4.047e+01   7.299e+00   5.54   23.482    0.216   23.474
OBS:  56235.277  z NULL   3.912e+01   7.024e+00   5.57   23.519    0.215   23.435
OBS:  56236.258  g NULL   9.284e+00   6.541e+00   1.42   25.081    1.323   26.373
OBS:  56236.270  r NULL   1.955e+01   4.283e+00   4.56   24.272    0.269   24.019
OBS:  56236.277  i NULL   3.367e+01   6.042e+00   5.57   23.682    0.215   23.509
OBS:  56236.285  z NULL   3.678e+01   7.839e+00   4.69   23.586    0.261   23.459
OBS:  56237.289  g NULL   1.270e+01   2.675e+01   0.47   24.741  103.259   26.457
OBS:  56237.297  r NULL   4.696e+01   4.070e+01   1.15   23.321    2.187   24.076
OBS:  56237.301  i NULL   3.374e+01   4.385e+01   0.77   23.680  104.320   23.546
OBS:  56237.316  z NULL   8.449e+00   2.567e+01   0.33   25.183  102.817   23.487
OBS:  56238.301  g NULL   2.927e+01   4.135e+01   0.71   23.834  104.166   26.526
OBS:  56238.316  r NULL   2.695e+01   1.371e+01   1.97   23.923    0.771   24.136
OBS:  56238.328  i NULL   3.864e+01   7.979e+00   4.84   23.533    0.251   23.588
OBS:  56243.027  z NULL   3.624e+01   7.854e+00   4.61   23.602    0.265   23.688
OBS:  56243.309  g NULL   9.867e-01   4.500e+00   0.22   27.514  100.486   26.774
