SURVEY: DES   
SNID:   42367   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.93632 +- 0.02340  (Helio, z_best) 
REDSHIFT_FINAL:   0.93632 +- 0.02340  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12655 
HOST_GALAXY_PHOTO-Z:   0.9363  +- 0.0234  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.9633  
SIM_HOSTLIB_TRUEZ:  0.9600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12655  
SIM_DLMU:      43.999954  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0204   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   30.04  25.51  24.27  24.16  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56291.406250  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.781e-06   
SIM_SALT2x1:   -1.4214   
SIM_SALT2c:     0.0678   
SIM_SALT2mB:   25.0083   
SIM_MAGDIM:    1.491  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.83   days 
SIM_TRESTMAX:    30.35   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56290.254  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56215.164  g NULL   7.771e-01   1.595e+00   0.49   99.000    5.000   99.723
OBS:  56215.180  r NULL   1.347e+00   1.096e+00   1.23   99.000    5.000   98.952
OBS:  56217.152  i NULL   1.446e+00   1.396e+00   1.04   99.000    5.000   98.959
OBS:  56217.191  z NULL  -4.161e-01   1.816e+00  -0.23   99.000    5.000   98.931
OBS:  56221.062  g NULL   4.069e+00   4.489e+00   0.91   99.000    5.000   99.723
OBS:  56221.074  r NULL  -3.349e-01   3.581e+00  -0.09   99.000    5.000   98.952
OBS:  56221.195  i NULL  -9.499e+00   1.346e+01  -0.71   99.000    5.000   98.959
OBS:  56221.227  z NULL   7.718e-01   4.013e+00   0.19   99.000    5.000   98.931
OBS:  56222.047  g NULL  -9.119e+00   6.421e+00  -1.42   99.000    5.000   99.723
OBS:  56222.062  r NULL   5.235e+00   3.127e+00   1.67   99.000    5.000   98.952
OBS:  56222.191  i NULL   1.991e+01   9.797e+00   2.03   99.000    5.000   98.959
OBS:  56222.211  z NULL  -5.456e-01   4.835e+00  -0.11   99.000    5.000   98.931
OBS:  56228.031  g NULL   1.043e+01   2.612e+01   0.40   99.000    5.000   99.723
OBS:  56228.047  r NULL   1.167e+01   1.164e+01   1.00   99.000    5.000   98.952
OBS:  56228.156  i NULL  -5.398e+00   5.179e+00  -1.04   99.000    5.000   98.959
OBS:  56228.188  z NULL  -2.876e+00   2.843e+00  -1.01   99.000    5.000   98.931
OBS:  56229.031  g NULL  -2.682e+01   3.075e+01  -0.87   99.000    5.000   99.723
OBS:  56229.156  r NULL   3.746e+00   3.595e+00   1.04   99.000    5.000   98.952
OBS:  56229.172  i NULL  -5.614e+00   7.053e+00  -0.80   99.000    5.000   98.959
OBS:  56229.199  z NULL  -2.866e+00   2.926e+00  -0.98   99.000    5.000   98.931
OBS:  56230.035  g NULL   1.440e+01   9.318e+00   1.54   99.000    5.000   99.723
OBS:  56230.043  r NULL  -1.552e-01   3.863e+00  -0.04   99.000    5.000   98.952
OBS:  56230.191  i NULL  -6.155e+00   6.318e+00  -0.97   99.000    5.000   98.959
OBS:  56230.215  z NULL  -4.224e+00   2.922e+00  -1.45   99.000    5.000   98.931
OBS:  56231.035  g NULL  -8.404e+00   7.696e+00  -1.09   99.000    5.000   99.723
