SURVEY: DES   
SNID:   44693   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.76641 +- 0.03060  (Helio, z_best) 
REDSHIFT_FINAL:   0.76641 +- 0.03060  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14168 
HOST_GALAXY_PHOTO-Z:   0.7664  +- 0.0306  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.7728  
SIM_HOSTLIB_TRUEZ:  0.7700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14168  
SIM_DLMU:      43.410301  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0341   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.54  23.67  23.23  23.46  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56235.464844  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   5.554e-06   
SIM_SALT2x1:   -0.0709   
SIM_SALT2c:    -0.0874   
SIM_SALT2mB:   23.7735   
SIM_STRETCH:    0.929  
SIM_MAGDIM:    0.846  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -32.31   days 
SIM_TRESTMAX:    64.04   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56236.387  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 120 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL   3.518e+00   9.404e+00   0.37   99.000    5.000   98.908
OBS:  56178.195  r NULL   1.190e+01   7.176e+00   1.66   99.000    5.000   99.102
OBS:  56178.203  i NULL   4.360e+00   6.833e+00   0.64   99.000    5.000   99.166
OBS:  56178.211  z NULL  -5.163e+00   7.920e+00  -0.65   99.000    5.000   99.154
OBS:  56180.172  g NULL  -2.218e+00   4.013e+00  -0.55   99.000    5.000   98.908
OBS:  56180.188  r NULL   3.501e+00   3.175e+00   1.10   99.000    5.000   99.102
OBS:  56180.195  i NULL   1.691e+00   4.395e+00   0.38   99.000    5.000   99.166
OBS:  56180.203  z NULL  -5.686e+00   4.964e+00  -1.15   99.000    5.000   99.154
OBS:  56188.148  g NULL   3.291e+00   1.795e+01   0.18   99.000    5.000   98.908
OBS:  56188.289  r NULL   6.276e+00   3.996e+00   1.57   99.000    5.000   99.102
OBS:  56188.297  i NULL   8.342e+00   8.133e+00   1.03   99.000    5.000   99.166
OBS:  56188.312  z NULL   9.934e+00   5.396e+00   1.84   99.000    5.000   99.154
OBS:  56194.145  g NULL  -1.378e+01   4.685e+00  -2.94   99.000    5.000   98.908
OBS:  56194.156  r NULL  -4.636e+00   2.752e+00  -1.68   99.000    5.000   99.102
OBS:  56194.172  i NULL   6.215e+00   4.629e+00   1.34   99.000    5.000   99.166
OBS:  56194.188  z NULL   5.849e+00   4.464e+00   1.31   99.000    5.000   99.154
OBS:  56207.188  g NULL   9.381e+00   4.369e+00   2.15   25.069    0.680   28.774
OBS:  56207.195  r NULL  -1.555e+00   3.460e+00  -0.45  128.000    0.000   26.771
OBS:  56207.203  i NULL   1.256e+01   6.252e+00   2.01   24.752    0.747   26.280
OBS:  56207.219  z NULL  -4.374e+00   5.953e+00  -0.73  128.000    0.000   26.419
OBS:  56215.195  g NULL   3.648e+00   2.690e+00   1.36   26.095    1.450   26.598
OBS:  56215.203  r NULL   1.130e+01   2.193e+00   5.15   24.867    0.234   24.894
OBS:  56215.211  i NULL   1.980e+01   2.670e+00   7.42   24.258    0.157   24.530
OBS:  56215.227  z NULL   1.527e+01   3.441e+00   4.44   24.540    0.277   24.703
OBS:  56221.090  g NULL   2.061e+01   6.290e+00   3.28   24.215    0.394   25.581
