SURVEY: DES   
SNID:   52229   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  32 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.49131 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.49131 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.49131 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14236 
HOST_GALAXY_PHOTO-Z:   0.4455  +- 0.0600  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      8   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2006ep  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.4914  
SIM_HOSTLIB_TRUEZ:  0.4900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14236  
SIM_DLMU:      42.215870  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0831   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.99  22.98  22.74  22.33  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56252.566406  days 
SIM_SALT2x0:   1.299e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.13   days 
SIM_TRESTMAX:    66.02   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56251.605  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 112 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56194.215  g NULL  -4.889e+00   4.764e+00  -1.03   99.000    5.000   98.991
OBS:  56194.223  r NULL   1.304e+01   5.405e+00   2.41   99.000    5.000   98.931
OBS:  56194.227  z NULL   2.213e-01   6.541e+00   0.03   99.000    5.000   99.027
OBS:  56200.234  i NULL  -6.676e+00   1.198e+01  -0.56   99.000    5.000   99.047
OBS:  56208.160  g NULL  -2.839e-01   2.972e+00  -0.10   99.000    5.000   98.991
OBS:  56208.176  r NULL   1.371e-01   2.428e+00   0.06   99.000    5.000   98.931
OBS:  56208.191  z NULL   2.301e+00   4.938e+00   0.47   99.000    5.000   99.027
OBS:  56210.156  i NULL   2.345e+00   7.024e+00   0.33   26.575  101.425   41.090
OBS:  56216.164  g NULL   5.903e-01   2.686e+00   0.22   28.072   99.928   31.383
OBS:  56216.176  r NULL  -1.151e+00   2.036e+00  -0.57  128.000    0.000   31.375
OBS:  56216.191  z NULL  -1.302e+00   4.045e+00  -0.32  128.000    0.000   31.444
OBS:  56219.211  i NULL   7.710e-01   2.987e+00   0.26   27.782  100.218   28.460
OBS:  56221.148  g NULL  -1.776e+01   1.592e+01  -1.12  128.000    0.000   27.412
OBS:  56221.160  r NULL   1.399e+00   6.049e+00   0.23   27.135  100.865   27.199
OBS:  56221.176  z NULL  -2.128e+00   1.539e+01  -0.14  128.000    0.000   27.005
OBS:  56222.105  i NULL   1.631e+01   9.196e+00   1.77   24.469    0.900   26.563
OBS:  56222.312  g NULL   3.004e+00   4.106e+00   0.73   26.306  101.694   26.905
OBS:  56222.324  r NULL   2.078e+01   1.517e+01   1.37   24.206    1.421   26.631
OBS:  56222.340  z NULL  -6.718e+01   4.088e+01  -1.64  128.000    0.000   26.380
OBS:  56228.297  g NULL  -2.371e+01   1.504e+01  -1.58  128.000    0.000   26.557
OBS:  56228.305  r NULL   6.586e+00   5.499e+00   1.20   25.453    1.958   24.869
OBS:  56228.312  i NULL   1.223e+01   9.419e+00   1.30   24.781    1.597   24.335
