SURVEY: DES   
SNID:   58427   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.79657 +- 0.02800  (Helio, z_best) 
REDSHIFT_FINAL:   0.79657 +- 0.02800  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15474 
HOST_GALAXY_PHOTO-Z:   0.7966  +- 0.0280  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.7839  
SIM_HOSTLIB_TRUEZ:  0.7800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15474  
SIM_DLMU:      43.448204  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0797   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.79  24.47  23.83  23.98  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56224.867188  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.941e-06   
SIM_SALT2x1:   -2.8296   
SIM_SALT2c:     0.0216   
SIM_SALT2mB:   24.4636   
SIM_MAGDIM:    1.498  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -26.14   days 
SIM_TRESTMAX:    69.04   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56224.973  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 119 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   1.619e+01   1.048e+01   1.54   99.000    5.000   99.177
OBS:  56178.250  r NULL   3.872e+00   7.841e+00   0.49   99.000    5.000   98.904
OBS:  56178.266  i NULL  -1.279e+01   9.314e+00  -1.37   99.000    5.000   99.017
OBS:  56179.211  z NULL   6.749e+00   5.329e+00   1.27   99.000    5.000   98.984
OBS:  56180.219  g NULL  -2.624e-02   3.205e+00  -0.01   99.000    5.000   99.177
OBS:  56180.234  r NULL  -3.432e+00   2.426e+00  -1.41   99.000    5.000   98.904
OBS:  56180.250  i NULL   1.814e+00   4.310e+00   0.42   99.000    5.000   99.017
OBS:  56188.191  z NULL   2.796e+00   2.732e+01   0.10   99.000    5.000   98.984
OBS:  56188.340  g NULL   1.030e+01   2.557e+01   0.40   99.000    5.000   99.177
OBS:  56188.355  r NULL   1.476e+01   4.161e+00   3.55   99.000    5.000   98.904
OBS:  56189.195  i NULL  -2.822e+01   3.096e+01  -0.91   99.000    5.000   99.017
OBS:  56194.215  g NULL   7.863e-01   4.763e+00   0.17   99.000    5.000   99.177
OBS:  56194.223  r NULL   2.198e-01   5.400e+00   0.04   99.000    5.000   98.904
OBS:  56194.227  z NULL   7.332e+00   6.542e+00   1.12   99.000    5.000   98.984
OBS:  56200.234  i NULL   9.659e-01   1.198e+01   0.08   99.000    5.000   99.017
OBS:  56208.160  g NULL   1.714e-01   2.972e+00   0.06   99.000    5.000   99.177
OBS:  56208.176  r NULL   6.767e+00   2.435e+00   2.78   25.424    0.484   26.112
OBS:  56208.191  z NULL  -3.977e+00   4.940e+00  -0.81  128.000    0.000   25.296
OBS:  56210.156  i NULL   7.858e+00   7.030e+00   1.12   25.262    2.445   24.796
OBS:  56216.164  g NULL   1.465e+00   2.689e+00   0.54   27.086  100.914   27.673
OBS:  56216.176  r NULL   1.205e+01   2.062e+00   5.84   24.798    0.204   24.695
OBS:  56216.191  z NULL   1.711e+01   4.062e+00   4.21   24.417    0.294   24.275
OBS:  56219.211  i NULL   2.966e+01   3.056e+00   9.70   23.820    0.118   23.925
OBS:  56221.148  g NULL   1.642e+01   1.592e+01   1.03   24.462    3.780   27.679
OBS:  56221.160  r NULL   1.667e+01   6.069e+00   2.75   24.445    0.491   24.448
