SURVEY: DES   
SNID:   59573   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.48545 +- 0.03360  (Helio, z_best) 
REDSHIFT_FINAL:   0.48545 +- 0.03360  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   13116 
HOST_GALAXY_PHOTO-Z:   0.4855  +- 0.0336  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.4719  
SIM_HOSTLIB_TRUEZ:  0.4700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  13116  
SIM_DLMU:      42.110523  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0302   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.82  21.90  22.13  22.24  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56214.261719  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.131e-05   
SIM_SALT2x1:    0.2372   
SIM_SALT2c:    -0.1269   
SIM_SALT2mB:   22.3134   
SIM_STRETCH:    1.237  
SIM_MAGDIM:    0.686  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -24.51   days 
SIM_TRESTMAX:    66.44   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56214.574  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 104 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL  -2.581e+00   9.404e+00  -0.27   99.000    5.000   99.135
OBS:  56178.195  r NULL   7.359e-01   7.172e+00   0.10   99.000    5.000   99.100
OBS:  56178.203  i NULL   5.122e+00   6.834e+00   0.75   99.000    5.000   99.065
OBS:  56178.211  z NULL  -2.191e+01   7.930e+00  -2.76   99.000    5.000   99.056
OBS:  56180.172  g NULL   5.314e+00   4.014e+00   1.32   99.000    5.000   99.135
OBS:  56180.188  r NULL  -5.338e+00   3.176e+00  -1.68   99.000    5.000   99.100
OBS:  56180.195  i NULL   6.899e+00   4.397e+00   1.57   99.000    5.000   99.065
OBS:  56180.203  z NULL   1.608e+00   4.963e+00   0.32   99.000    5.000   99.056
OBS:  56188.148  g NULL  -1.209e+01   1.796e+01  -0.67  128.000    0.000   27.123
OBS:  56188.289  r NULL   5.034e+00   3.999e+00   1.26   25.745    1.718   25.962
OBS:  56188.297  i NULL   1.001e+01   8.136e+00   1.23   24.999    1.817   26.162
OBS:  56188.312  z NULL  -9.728e-01   5.393e+00  -0.18  128.000    0.000   26.223
OBS:  56194.145  g NULL   8.318e+00   4.708e+00   1.77   25.200    0.907   24.796
OBS:  56194.156  r NULL   3.453e+01   2.858e+00  12.08   23.654    0.093   23.784
OBS:  56194.172  i NULL   2.018e+01   4.659e+00   4.33   24.238    0.286   23.989
OBS:  56194.188  z NULL   3.391e+01   4.513e+00   7.52   23.674    0.154   24.059
OBS:  56207.188  g NULL   7.194e+01   4.731e+00  15.21   22.858    0.075   22.729
OBS:  56207.195  r NULL   1.516e+02   4.532e+00  33.45   22.048    0.033   22.033
OBS:  56207.203  i NULL   1.168e+02   6.652e+00  17.55   22.332    0.064   22.305
OBS:  56207.219  z NULL   1.204e+02   6.375e+00  18.88   22.299    0.058   22.418
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56215.195  g NULL   7.145e+01   3.206e+00  22.28   22.865    0.050   22.871
OBS:  56215.203  r NULL   1.746e+02   4.007e+00  43.57   21.895    0.025   21.914
OBS:  56215.211  i NULL   1.430e+02   3.819e+00  37.44   22.112    0.029   22.130
OBS:  56215.227  z NULL   1.271e+02   4.191e+00  30.34   22.239    0.036   22.240
OBS:  56221.090  g NULL   5.223e+01   6.429e+00   8.12   23.205    0.142   23.270
OBS:  56221.105  r NULL   1.441e+02   5.834e+00  24.70   22.103    0.045   22.067
OBS:  56221.113  i NULL   1.360e+02   6.178e+00  22.01   22.166    0.050   22.176
OBS:  56221.117  z NULL   1.200e+02   8.039e+00  14.93   22.302    0.075   22.292
