SURVEY: DES   
SNID:   64531   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.68168 +- 0.01760  (Helio, z_best) 
REDSHIFT_FINAL:   0.68168 +- 0.01760  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18668 
HOST_GALAXY_PHOTO-Z:   0.6817  +- 0.0176  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      8   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2006ep  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.6594  
SIM_HOSTLIB_TRUEZ:  0.6600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18668  
SIM_DLMU:      42.988312  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0813   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.74  24.01  23.72  23.02  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56186.503906  days 
SIM_SALT2x0:   6.378e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -4.98   days 
SIM_TRESTMAX:    63.70   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56186.395  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 95 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   1.450e+01   1.049e+01   1.38   24.596    1.393   25.849
OBS:  56178.250  r NULL   5.106e+01   7.910e+00   6.45   23.230    0.182   23.618
OBS:  56178.266  i NULL   4.269e+01   9.353e+00   4.56   23.424    0.268   23.591
OBS:  56179.211  z NULL   6.455e+01   5.471e+00  11.80   22.975    0.096   23.028
OBS:  56180.219  g NULL   5.968e+00   3.218e+00   1.85   25.561    0.841   25.986
OBS:  56180.234  r NULL   3.534e+01   2.544e+00  13.89   23.629    0.081   23.655
OBS:  56180.250  i NULL   4.029e+01   4.392e+00   9.17   23.487    0.125   23.605
OBS:  56188.191  z NULL   4.214e+01   2.734e+01   1.54   23.438    1.137   23.039
OBS:  56188.340  g NULL  -2.925e+01   2.558e+01  -1.14  128.000    0.000   27.029
OBS:  56188.355  r NULL   2.480e+01   4.197e+00   5.91   24.014    0.201   24.159
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56189.195  i NULL   2.737e+01   3.097e+01   0.88   23.907  104.093   23.790
OBS:  56194.215  g NULL  -1.057e+00   4.765e+00  -0.22  128.000    0.000   27.873
OBS:  56194.223  r NULL   1.237e+01   5.418e+00   2.28   24.769    0.626   24.725
OBS:  56194.227  z NULL   5.968e+01   6.646e+00   8.98   23.060    0.128   23.222
OBS:  56200.234  i NULL   1.284e+01   1.199e+01   1.07   24.728    2.946   24.375
OBS:  56208.160  g NULL   2.237e+00   2.973e+00   0.75   26.626  101.374   28.730
OBS:  56208.176  r NULL   3.072e+00   2.432e+00   1.26   26.281    1.703   26.175
OBS:  56208.191  z NULL   2.212e+01   4.960e+00   4.46   24.138    0.276   23.912
OBS:  56210.156  i NULL  -3.469e+00   7.028e+00  -0.49  128.000    0.000   24.994
OBS:  56216.164  g NULL   6.361e+00   2.689e+00   2.37   25.491    0.596   29.189
OBS:  56216.176  r NULL   1.995e+00   2.038e+00   0.98   26.750  101.250   26.714
OBS:  56216.191  z NULL   2.262e+01   4.071e+00   5.56   24.114    0.215   24.334
