SURVEY: DES   
SNID:   67538   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.42572 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.42572 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.42572 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12215 
HOST_GALAXY_PHOTO-Z:   0.3969  +- 0.0542  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.4275  
SIM_HOSTLIB_TRUEZ:  0.4300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12215  
SIM_DLMU:      41.855309  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0083   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.106  mag  (host extinction at 5510 A)
SIM_RV:         2.378   (CCM89 extinction parameter) 
SIM_PEAKMAG:   23.30  22.36  22.38  22.47  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56317.625000  days 
SIM_DELTA:      0.464  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.536  
SIM_MAGDIM:    0.520  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.62   days 
SIM_TRESTMAX:     0.29   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56315.250  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 24 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56261.066  g NULL  -5.149e+00   6.914e+00  -0.74   99.000    5.000   99.000
OBS:  56261.082  r NULL   1.290e+00   4.054e+00   0.32   99.000    5.000   99.000
OBS:  56261.090  i NULL   3.398e+00   8.210e+00   0.41   99.000    5.000   99.000
OBS:  56266.156  z NULL  -1.454e+00   5.281e+00  -0.28   99.000    5.000   99.000
OBS:  56276.152  g NULL  -2.303e+00   4.036e+00  -0.57   99.000    5.000   99.000
OBS:  56276.172  r NULL  -1.568e+00   2.883e+00  -0.54   99.000    5.000   99.000
OBS:  56277.164  i NULL  -1.077e+00   3.541e+00  -0.30   99.000    5.000   99.000
OBS:  56278.164  z NULL   1.766e+00   4.284e+00   0.41   99.000    5.000   99.000
OBS:  56288.035  g NULL   1.013e+01   1.451e+01   0.70   99.000    5.000   99.000
OBS:  56288.043  r NULL  -4.192e+00   5.400e+00  -0.78   99.000    5.000   99.000
OBS:  56288.051  i NULL  -4.280e+00   5.980e+00  -0.72   99.000    5.000   99.000
OBS:  56288.066  z NULL   3.321e+00   6.735e+00   0.49   99.000    5.000   99.000
OBS:  56292.109  g NULL   1.019e+01   7.763e+00   1.31   24.980    1.557   28.914
OBS:  56292.125  r NULL  -8.160e-01   3.867e+00  -0.21  128.000    0.000   28.658
OBS:  56296.039  i NULL   5.578e+00   3.477e+00   1.60   25.634    1.059   26.182
OBS:  56296.051  z NULL   5.325e+00   4.462e+00   1.19   25.684    1.975   25.981
OBS:  56305.043  g NULL   1.338e+01   2.938e+00   4.56   24.684    0.269   24.524
OBS:  56305.051  r NULL   4.063e+01   2.346e+00  17.32   23.478    0.065   23.462
OBS:  56305.055  i NULL   4.350e+01   3.181e+00  13.68   23.404    0.082   23.485
OBS:  56305.070  z NULL   4.737e+01   3.779e+00  12.54   23.311    0.090   23.382
OBS:  56317.035  g NULL   4.664e+01   1.486e+01   3.14   23.328    0.417   23.271
OBS:  56317.043  r NULL   1.155e+02   6.589e+00  17.53   22.343    0.064   22.367
OBS:  56317.051  i NULL   1.168e+02   7.268e+00  16.07   22.332    0.069   22.393
OBS:  56318.035  z NULL   1.101e+02   1.362e+01   8.08   22.396    0.143   22.466
END: 
