SURVEY: DES   
SNID:   67701   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.70233 +- 0.01700  (Helio, z_best) 
REDSHIFT_FINAL:   0.70233 +- 0.01700  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16566 
HOST_GALAXY_PHOTO-Z:   0.7023  +- 0.0170  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.7042  
SIM_HOSTLIB_TRUEZ:  0.7000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16566  
SIM_DLMU:      43.162918  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0238   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.86  23.74  23.45  23.48  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56210.265625  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.717e-06   
SIM_SALT2x1:   -1.8106   
SIM_SALT2c:    -0.0145   
SIM_SALT2mB:   23.9508   
SIM_MAGDIM:    1.271  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -19.42   days 
SIM_TRESTMAX:    67.93   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56210.113  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 124 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL  -5.488e+00   4.788e+00  -1.15   99.000    5.000   98.867
OBS:  56177.188  r NULL  -7.941e+00   5.336e+00  -1.49  128.000    0.000   31.605
OBS:  56177.203  i NULL   6.526e+00   5.437e+00   1.20   25.463    1.943   32.953
OBS:  56177.234  z NULL   5.274e+00   4.692e+00   1.12   25.695    2.391   31.281
OBS:  56179.172  g NULL   1.283e+00   2.238e+00   0.57   99.000    5.000   98.867
OBS:  56179.312  r NULL   1.657e-01   3.029e+00   0.05   29.452   98.548   29.654
OBS:  56179.328  i NULL   4.454e+00   4.200e+00   1.06   25.878    3.105   31.010
OBS:  56179.359  z NULL   7.952e+00   3.520e+00   2.26   25.249    0.634   29.353
OBS:  56187.156  g NULL  -4.204e-01   1.702e+00  -0.25   99.000    5.000   98.867
OBS:  56187.172  r NULL   5.196e-01   1.252e+00   0.41   28.211   99.789   26.708
OBS:  56187.188  i NULL   2.270e+00   1.898e+00   1.20   26.610    1.961   27.327
OBS:  56187.211  z NULL   2.554e+00   2.176e+00   1.17   26.482    2.074   26.426
OBS:  56189.148  g NULL  -3.132e+00   9.760e+00  -0.32   99.000    5.000   98.867
OBS:  56189.160  r NULL   8.559e-01   3.877e+00   0.22   27.669  100.331   26.093
OBS:  56189.176  i NULL  -5.090e+00   8.071e+00  -0.63  128.000    0.000   26.242
OBS:  56189.203  z NULL   6.533e+00   4.694e+00   1.39   25.462    1.376   25.817
OBS:  56194.121  g NULL   1.391e+00   3.774e+00   0.37   27.142  100.858   26.334
OBS:  56194.129  r NULL   9.814e+00   2.361e+00   4.16   25.020    0.299   24.880
OBS:  56200.156  i NULL   2.784e+01   8.085e+00   3.44   23.888    0.373   23.790
OBS:  56200.180  z NULL   2.688e+01   5.659e+00   4.75   23.926    0.257   23.893
OBS:  56207.156  g NULL   4.176e+00   2.287e+00   1.83   25.948    0.862   25.772
OBS:  56207.172  r NULL   3.260e+01   1.728e+00  18.86   23.717    0.059   23.708
OBS:  56209.191  i NULL   4.577e+01   2.316e+00  19.77   23.348    0.056   23.452
OBS:  56209.215  z NULL   3.951e+01   2.325e+00  17.00   23.508    0.066   23.494
OBS:  56215.164  g NULL   2.413e+00   1.602e+00   1.51   26.544    1.185   26.285
OBS:  56215.180  r NULL   2.702e+01   1.223e+00  22.09   23.921    0.050   23.913
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56217.152  i NULL   3.415e+01   1.551e+00  22.02   23.666    0.051   23.571
OBS:  56217.191  z NULL   3.846e+01   1.959e+00  19.63   23.538    0.057   23.505
OBS:  56221.062  g NULL  -1.946e+00   4.490e+00  -0.43  128.000    0.000   26.840
OBS:  56221.074  r NULL   1.947e+01   3.605e+00   5.40   24.276    0.222   24.254
OBS:  56221.195  i NULL   3.098e+01   1.348e+01   2.30   23.772    0.620   23.720
OBS:  56221.227  z NULL   3.491e+01   4.069e+00   8.58   23.642    0.135   23.613
OBS:  56222.047  g NULL   4.720e+00   6.421e+00   0.74   25.815  102.185   26.919
OBS:  56222.062  r NULL   1.532e+01   3.144e+00   4.87   24.537    0.250   24.323
OBS:  56222.191  i NULL   4.767e+01   9.840e+00   4.84   23.304    0.250   23.763
OBS:  56222.211  z NULL   3.698e+01   4.887e+00   7.57   23.580    0.154   23.646
OBS:  56228.031  g NULL   4.871e+00   2.612e+01   0.19   25.781  102.219   27.147
OBS:  56228.047  r NULL   9.224e+00   1.164e+01   0.79   25.088  102.912   24.834
OBS:  56228.156  i NULL   1.623e+01   5.191e+00   3.13   24.474    0.419   24.075
OBS:  56228.188  z NULL   2.877e+01   2.896e+00   9.93   23.853    0.115   23.920
OBS:  56229.031  g NULL   5.634e+01   3.076e+01   1.83   23.123    0.857   27.170
OBS:  56229.156  r NULL   9.465e+00   3.602e+00   2.63   25.060    0.520   24.948
OBS:  56229.172  i NULL   2.966e+01   7.077e+00   4.19   23.819    0.295   24.138
OBS:  56229.199  z NULL   2.928e+01   2.978e+00   9.83   23.833    0.116   23.971
OBS:  56230.035  g NULL   7.321e+00   9.316e+00   0.79   25.339  102.661   27.212
OBS:  56230.043  r NULL   1.528e+01   3.876e+00   3.94   24.540    0.317   25.037
OBS:  56230.191  i NULL   2.352e+01   6.335e+00   3.71   24.072    0.341   24.203
OBS:  56230.215  z NULL   2.407e+01   2.958e+00   8.14   24.046    0.142   24.017
OBS:  56231.035  g NULL   6.098e+00   7.696e+00   0.79   25.537  102.463   27.262
OBS:  56231.156  r NULL   8.913e+00   2.662e+00   3.35   25.125    0.385   25.153
OBS:  56231.172  i NULL   2.322e+01   4.813e+00   4.82   24.085    0.252   24.267
OBS:  56231.191  z NULL   2.564e+01   3.057e+00   8.39   23.978    0.138   24.059
OBS:  56235.145  g NULL   5.479e+00   3.789e+00   1.45   25.653    1.276   27.662
OBS:  56235.160  r NULL   5.600e+00   1.762e+00   3.18   25.629    0.410   25.565
OBS:  56235.172  i NULL   1.051e+01   3.210e+00   3.27   24.946    0.397   24.559
OBS:  56235.195  z NULL   2.238e+01   2.967e+00   7.54   24.125    0.154   24.186
OBS:  56236.160  g NULL   2.036e+00   2.001e+00   1.02   26.728    4.425   27.792
OBS:  56236.172  r NULL   7.494e+00   1.882e+00   3.98   25.313    0.314   25.667
OBS:  56236.188  i NULL   1.482e+01   2.800e+00   5.29   24.573    0.227   24.640
OBS:  56236.207  z NULL   2.149e+01   3.217e+00   6.68   24.169    0.176   24.214
OBS:  56237.176  g NULL   3.810e+00   3.440e+00   1.11   26.048    2.531   27.905
OBS:  56237.188  r NULL   2.744e+00   2.255e+00   1.22   26.404    1.876   25.764
OBS:  56237.207  i NULL   1.183e+01   2.874e+00   4.12   24.817    0.302   24.721
OBS:  56237.238  z NULL   1.647e+01   3.881e+00   4.24   24.459    0.292   24.245
OBS:  56238.188  g NULL  -1.020e-01   2.971e+00  -0.03  128.000    0.000   27.991
OBS:  56238.199  r NULL   3.982e+00   2.026e+00   1.97   26.000    0.772   25.854
OBS:  56238.219  i NULL   1.255e+01   3.246e+00   3.87   24.753    0.325   24.801
OBS:  56238.250  z NULL   2.305e+01   4.882e+00   4.72   24.094    0.258   24.280
OBS:  56243.203  g NULL   1.336e+00   1.690e+00   0.79   27.185  100.815   28.040
OBS:  56243.211  r NULL   3.292e+00   1.227e+00   2.68   26.206    0.507   26.168
OBS:  56243.223  i NULL   8.833e+00   1.859e+00   4.75   25.135    0.257   25.169
OBS:  56243.250  z NULL   1.537e+01   2.435e+00   6.31   24.533    0.187   24.491
OBS:  56244.180  g NULL  -3.325e-01   1.783e+00  -0.19  128.000    0.000   28.056
OBS:  56244.188  r NULL   4.958e+00   1.378e+00   3.60   25.762    0.353   26.230
OBS:  56244.203  i NULL   1.046e+01   1.999e+00   5.23   24.951    0.230   25.234
OBS:  56244.223  z NULL   1.592e+01   2.252e+00   7.07   24.495    0.165   24.533
OBS:  56245.191  g NULL   2.340e+00   4.786e+00   0.49   26.577  101.423   28.105
OBS:  56245.199  r NULL   5.643e+00   1.181e+00   4.78   25.621    0.254   26.308
OBS:  56245.219  i NULL   1.228e+01   2.092e+00   5.87   24.777    0.202   25.292
OBS:  56245.246  z NULL   1.968e+01   5.931e+00   3.32   24.265    0.389   24.572
OBS:  56246.234  g NULL   2.708e+00   2.001e+00   1.35   26.418    1.457   28.173
OBS:  56246.246  r NULL   1.994e+00   3.169e+00   0.63   26.751  101.249   26.397
OBS:  56246.262  i NULL   6.795e+00   5.644e+00   1.20   25.420    1.928   25.349
OBS:  56246.285  z NULL   1.896e+00   1.277e+01   0.15   26.805  101.195   24.610
OBS:  56248.207  g NULL  -2.495e+00   1.753e+00  -1.42  128.000    0.000   28.386
OBS:  56248.215  r NULL   1.283e+00   1.326e+00   0.97   27.230  100.770   26.594
OBS:  56248.230  i NULL   9.373e+00   2.215e+00   4.23   25.070    0.292   25.438
OBS:  56248.250  z NULL   1.826e+01   3.050e+00   5.99   24.346    0.198   24.674
OBS:  56258.242  g NULL   2.046e+00   8.081e+00   0.25   26.723  101.277   30.106
OBS:  56258.258  r NULL   1.008e+01   4.422e+00   2.28   24.991    0.626   27.049
OBS:  56259.160  i NULL   5.900e+00   4.542e+00   1.30   25.573    1.594   26.028
OBS:  56259.180  z NULL   1.359e+01   3.070e+00   4.43   24.667    0.277   25.140
OBS:  56261.215  g NULL   3.231e+00   3.958e+00   0.82   99.000    5.000   98.867
OBS:  56261.230  r NULL   3.109e+00   1.854e+00   1.68   26.269    0.985   27.135
OBS:  56267.156  i NULL   2.090e+00   2.212e+00   0.94   26.700  101.300   26.114
OBS:  56267.180  z NULL   1.301e+01   3.059e+00   4.25   24.714    0.290   25.381
OBS:  56274.160  g NULL  -5.357e-01   2.033e+00  -0.26   99.000    5.000   98.867
OBS:  56274.176  r NULL   2.859e+00   1.446e+00   1.98   26.359    0.764   27.438
OBS:  56275.223  i NULL  -1.089e+00   3.008e+00  -0.36  128.000    0.000   26.306
OBS:  56276.191  z NULL   7.216e+00   3.405e+00   2.12   25.354    0.693   25.633
OBS:  56282.160  g NULL   1.949e+00   3.403e+00   0.57   99.000    5.000   98.867
OBS:  56282.184  r NULL  -1.201e+00   2.179e+00  -0.55  128.000    0.000   27.271
OBS:  56287.160  i NULL   9.286e+00   4.989e+00   1.86   25.080    0.836   26.690
OBS:  56287.191  z NULL   1.965e+00   3.894e+00   0.50   26.767  101.233   25.913
OBS:  56289.035  g NULL  -1.806e+00   1.189e+01  -0.15   99.000    5.000   98.867
OBS:  56289.043  r NULL  -7.098e+00   4.185e+00  -1.70  128.000    0.000   27.071
OBS:  56289.152  i NULL   1.137e+00   4.327e+00   0.26   27.361  100.639   26.712
OBS:  56289.176  z NULL  -7.051e+00   4.466e+00  -1.58  128.000    0.000   25.951
OBS:  56297.039  g NULL   4.777e-01   1.580e+00   0.30   99.000    5.000   98.867
OBS:  56297.047  r NULL   2.425e+00   1.221e+00   1.99   26.538    0.759   26.943
OBS:  56297.062  i NULL  -1.317e-01   1.863e+00  -0.07  128.000    0.000   26.726
OBS:  56297.090  z NULL   3.497e+00   2.121e+00   1.65   26.141    1.012   26.028
OBS:  56305.094  g NULL   5.249e-01   1.644e+00   0.32   99.000    5.000   98.867
OBS:  56305.102  r NULL  -4.218e-01   1.301e+00  -0.32  128.000    0.000   26.943
OBS:  56305.113  i NULL   1.824e-01   2.191e+00   0.08   29.348   98.652   26.726
OBS:  56306.043  z NULL   5.985e+00   2.713e+00   2.21   25.557    0.655   26.028
OBS:  56313.047  g NULL  -3.882e+00   5.961e+00  -0.65   99.000    5.000   98.867
OBS:  56313.055  r NULL   2.197e+00   2.524e+00   0.87   26.645  101.355   26.943
OBS:  56313.090  i NULL   3.511e+00   3.079e+00   1.14   26.136    2.274   26.726
