SURVEY: DES   
SNID:   68663   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  21 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.40722 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.40722 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.40722 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19726 
HOST_GALAXY_PHOTO-Z:   0.4153  +- 0.0410  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      2   (non1a index) 
SIM_COMMENT:  SN Type = IIn , MODEL = NUGENT2n  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.3974  
SIM_HOSTLIB_TRUEZ:  0.4000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19726  
SIM_DLMU:      41.668037  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0199   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   21.82  21.88  22.09  22.14  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56191.890625  days 
SIM_SALT2x0:   2.152e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -10.53   days 
SIM_TRESTMAX:    69.62   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56191.148  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 108 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   2.080e+02   6.271e+00  33.17   21.705    0.033   21.703
OBS:  56177.188  r NULL   1.632e+02   6.159e+00  26.49   21.968    0.042   21.971
OBS:  56177.203  i NULL   1.204e+02   5.893e+00  20.43   22.299    0.055   22.279
OBS:  56177.234  z NULL   1.078e+02   5.108e+00  21.11   22.418    0.053   22.399
OBS:  56179.172  g NULL   2.166e+02   4.751e+00  45.58   21.661    0.024   21.660
OBS:  56179.312  r NULL   1.785e+02   4.534e+00  39.36   21.871    0.028   21.882
OBS:  56179.328  i NULL   1.312e+02   4.880e+00  26.89   22.205    0.041   22.171
OBS:  56179.359  z NULL   1.278e+02   4.255e+00  30.04   22.234    0.036   22.278
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56187.156  g NULL   2.063e+02   4.354e+00  47.38   21.714    0.023   21.715
OBS:  56187.172  r NULL   1.742e+02   3.516e+00  49.55   21.897    0.023   21.863
OBS:  56187.188  i NULL   1.478e+02   3.371e+00  43.86   22.075    0.025   22.111
OBS:  56187.211  z NULL   1.385e+02   3.382e+00  40.93   22.147    0.026   22.191
OBS:  56189.148  g NULL   2.013e+02   1.063e+01  18.93   21.741    0.059   21.749
OBS:  56189.160  r NULL   1.806e+02   5.186e+00  34.83   21.858    0.032   21.866
OBS:  56189.176  i NULL   1.523e+02   8.590e+00  17.73   22.043    0.063   22.098
OBS:  56189.203  z NULL   1.430e+02   5.402e+00  26.46   22.112    0.041   22.167
OBS:  56194.121  g NULL   1.796e+02   5.185e+00  34.64   21.864    0.032   21.879
OBS:  56194.129  r NULL   1.797e+02   4.131e+00  43.51   21.864    0.025   21.902
OBS:  56200.156  i NULL   1.398e+02   8.485e+00  16.47   22.137    0.068   22.143
OBS:  56200.180  z NULL   1.410e+02   6.222e+00  22.66   22.127    0.049   22.166
OBS:  56207.156  g NULL   1.327e+02   3.477e+00  38.16   22.193    0.029   22.191
OBS:  56207.172  r NULL   1.323e+02   2.971e+00  44.53   22.196    0.025   22.150
