SURVEY: DES   
SNID:   71988   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  22 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.17870 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.17870 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.17870 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19208 
HOST_GALAXY_PHOTO-Z:   0.1556  +- 0.0320  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      26   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-015320  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.1755  
SIM_HOSTLIB_TRUEZ:  0.1800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19208  
SIM_DLMU:      39.641453  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0639   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   21.92  21.98  21.97  22.20  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56351.210938  days 
SIM_SALT2x0:   1.391e-16   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -33.31   days 
SIM_TRESTMAX:    -0.16   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56351.492  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 24 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56312.055  g NULL  -7.257e-01   7.568e+00  -0.10   99.000    5.000   99.029
OBS:  56312.066  r NULL  -2.523e+00   2.962e+00  -0.85   99.000    5.000   99.020
OBS:  56312.090  i NULL  -3.415e+00   5.020e+00  -0.68   99.000    5.000   99.058
OBS:  56312.113  z NULL   8.505e-01   5.428e+00   0.16   99.000    5.000   98.960
OBS:  56320.043  g NULL  -2.421e+00   6.168e+00  -0.39  128.000    0.000   50.821
OBS:  56320.051  r NULL  -2.566e+00   2.489e+00  -1.03  128.000    0.000   52.614
OBS:  56320.059  i NULL  -5.331e-01   3.652e+00  -0.15  128.000    0.000   54.885
OBS:  56320.070  z NULL   2.619e+00   4.394e+00   0.60   26.455  101.545   56.913
OBS:  56328.047  g NULL   1.487e+00   3.351e+00   0.44   27.069  100.931   45.002
OBS:  56328.055  r NULL   6.942e+00   2.406e+00   2.89   25.396    0.461   46.538
OBS:  56328.070  i NULL  -3.863e+00   4.045e+00  -0.95  128.000    0.000   48.930
OBS:  56328.086  z NULL   7.080e+00   6.783e+00   1.04   25.375    3.438   50.177
OBS:  56336.062  g NULL  -4.398e+00   3.701e+00  -1.19  128.000    0.000   30.893
OBS:  56336.082  r NULL  -3.838e+00   3.008e+00  -1.28  128.000    0.000   31.782
OBS:  56337.062  i NULL  -1.456e+00   2.927e+00  -0.50  128.000    0.000   31.178
OBS:  56337.078  z NULL   2.691e+00   3.746e+00   0.72   26.425  101.575   31.679
OBS:  56345.039  g NULL   1.287e+02   7.671e+00  16.78   22.226    0.066   22.393
OBS:  56345.055  r NULL   1.123e+02   4.375e+00  25.66   22.374    0.043   22.375
OBS:  56346.055  i NULL   7.719e+01   6.184e+00  12.48   22.781    0.091   22.808
OBS:  56348.027  z NULL   1.029e+02   5.392e+00  19.08   22.469    0.058   22.511
OBS:  56350.023  g NULL   1.810e+02   7.853e+00  23.05   21.856    0.048   21.869
OBS:  56350.027  r NULL   1.744e+02   5.193e+00  33.58   21.896    0.033   21.894
OBS:  56350.035  i NULL   1.658e+02   7.411e+00  22.37   21.951    0.049   21.994
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56351.023  z NULL   1.321e+02   6.593e+00  20.03   22.198    0.056   22.197
END: 
