SURVEY: DES   
SNID:   74000   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.46544 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.46544 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.46544 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12176 
HOST_GALAXY_PHOTO-Z:   0.4037  +- 0.0447  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.4610  
SIM_HOSTLIB_TRUEZ:  0.4600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12176  
SIM_DLMU:      42.050129  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0274   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.10  22.17  22.36  22.46  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56206.476562  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.791e-05   
SIM_SALT2x1:    0.2796   
SIM_SALT2c:    -0.0476   
SIM_SALT2mB:   22.5022   
SIM_STRETCH:    1.280  
SIM_MAGDIM:    0.935  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -19.36   days 
SIM_TRESTMAX:    68.20   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56206.793  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 103 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL   1.147e+01   9.407e+00   1.22   24.851    1.860   29.746
OBS:  56178.195  r NULL   6.184e-02   7.172e+00   0.01   30.522   97.478   28.630
OBS:  56178.203  i NULL   1.636e+00   6.833e+00   0.24   26.966  101.034   28.773
OBS:  56178.211  z NULL   8.442e+00   7.921e+00   1.07   25.184    3.019   28.820
OBS:  56180.172  g NULL  -1.100e+00   4.014e+00  -0.27  128.000    0.000   27.739
OBS:  56180.188  r NULL   1.183e+00   3.176e+00   0.37   27.318  100.682   26.619
OBS:  56180.195  i NULL   7.580e+00   4.398e+00   1.72   25.301    0.942   26.765
OBS:  56180.203  z NULL   4.381e+00   4.964e+00   0.88   25.896  102.104   26.813
OBS:  56188.148  g NULL   1.008e+01   1.798e+01   0.56   24.991  103.009   24.626
OBS:  56188.289  r NULL   3.402e+01   4.075e+00   8.35   23.671    0.139   23.649
OBS:  56188.297  i NULL   3.780e+01   8.177e+00   4.62   23.556    0.264   23.819
OBS:  56188.312  z NULL   2.751e+01   5.423e+00   5.07   23.901    0.238   23.870
OBS:  56194.145  g NULL   5.066e+01   4.873e+00  10.40   23.238    0.109   23.363
OBS:  56194.156  r NULL   8.224e+01   3.227e+00  25.49   22.712    0.044   22.700
OBS:  56194.172  i NULL   6.658e+01   4.833e+00  13.78   22.942    0.082   22.910
OBS:  56194.188  z NULL   6.993e+01   4.663e+00  15.00   22.888    0.075   22.968
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56207.188  g NULL   5.669e+01   4.607e+00  12.30   23.116    0.092   23.140
OBS:  56207.195  r NULL   1.309e+02   4.294e+00  30.49   22.207    0.037   22.180
OBS:  56207.203  i NULL   1.285e+02   6.724e+00  19.11   22.228    0.058   22.357
OBS:  56207.219  z NULL   1.126e+02   6.325e+00  17.80   22.371    0.062   22.460
OBS:  56215.195  g NULL   3.704e+01   2.880e+00  12.86   23.578    0.087   23.678
OBS:  56215.203  r NULL   1.056e+02   3.014e+00  35.05   22.440    0.032   22.408
OBS:  56215.211  i NULL   1.042e+02   3.336e+00  31.25   22.455    0.035   22.441
OBS:  56215.227  z NULL   9.865e+01   3.909e+00  25.24   22.515    0.043   22.561
OBS:  56221.090  g NULL   2.241e+01   6.321e+00   3.54   24.124    0.360   24.138
OBS:  56221.105  r NULL   8.733e+01   5.386e+00  16.21   22.647    0.069   22.713
OBS:  56221.113  i NULL   8.387e+01   5.828e+00  14.39   22.691    0.078   22.659
OBS:  56221.117  z NULL   8.394e+01   7.873e+00  10.66   22.690    0.107   22.776
OBS:  56222.270  g NULL   1.957e+01   7.789e+00   2.51   24.271    0.551   24.233
OBS:  56222.273  r NULL   7.830e+01   5.935e+00  13.19   22.766    0.085   22.786
OBS:  56222.281  i NULL   8.199e+01   1.708e+01   4.80   22.716    0.254   22.713
OBS:  56222.289  z NULL   6.812e+01   8.176e+00   8.33   22.917    0.139   22.827
OBS:  56228.234  g NULL   8.171e+00   1.236e+01   0.66   25.219  102.781   24.810
