SURVEY: DES   
SNID:   84856   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.61995 +- 0.01950  (Helio, z_best) 
REDSHIFT_FINAL:   0.61995 +- 0.01950  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10293 
HOST_GALAXY_PHOTO-Z:   0.6200  +- 0.0195  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      3   (non1a index) 
SIM_COMMENT:  SN Type = IIP , MODEL = NUGENT2P  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.6393  
SIM_HOSTLIB_TRUEZ:  0.6400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10293  
SIM_DLMU:      42.906284  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0780   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.09  24.81  24.18  24.06  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56272.609375  days 
SIM_SALT2x0:   6.878e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.32   days 
SIM_TRESTMAX:    47.84   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56271.984  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 108 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56208.160  g NULL   3.590e+00   2.973e+00   1.21   99.000    5.000   96.717
OBS:  56208.176  r NULL  -2.021e+00   2.428e+00  -0.83   99.000    5.000   96.741
OBS:  56208.191  z NULL   4.402e+00   4.938e+00   0.89   99.000    5.000   96.764
OBS:  56210.156  i NULL   2.700e+00   7.025e+00   0.38   99.000    5.000   96.711
OBS:  56216.164  g NULL  -7.378e-01   2.686e+00  -0.27   99.000    5.000   96.717
OBS:  56216.176  r NULL  -2.182e+00   2.036e+00  -1.07   99.000    5.000   96.741
OBS:  56216.191  z NULL   4.558e+00   4.046e+00   1.13   99.000    5.000   96.764
OBS:  56219.211  i NULL  -1.806e+00   2.987e+00  -0.60   99.000    5.000   96.711
OBS:  56221.148  g NULL  -3.546e+00   1.591e+01  -0.22   99.000    5.000   96.717
OBS:  56221.160  r NULL   5.565e+00   6.048e+00   0.92   99.000    5.000   96.741
OBS:  56221.176  z NULL   1.069e+01   1.539e+01   0.69   99.000    5.000   96.764
OBS:  56222.105  i NULL  -1.126e+00   9.190e+00  -0.12   99.000    5.000   96.711
OBS:  56222.312  g NULL  -3.138e+00   4.101e+00  -0.77   99.000    5.000   96.717
OBS:  56222.324  r NULL   1.143e+01   1.517e+01   0.75   99.000    5.000   96.741
OBS:  56222.340  z NULL  -1.743e+01   4.086e+01  -0.43   99.000    5.000   96.764
OBS:  56228.297  g NULL  -2.402e+00   1.503e+01  -0.16   99.000    5.000   96.717
OBS:  56228.305  r NULL   4.229e+00   5.493e+00   0.77   99.000    5.000   96.741
OBS:  56228.312  i NULL   2.374e+00   9.412e+00   0.25   99.000    5.000   96.711
OBS:  56228.320  z NULL  -8.707e+00   5.802e+00  -1.50   99.000    5.000   96.764
OBS:  56229.320  g NULL  -3.409e+00   1.405e+01  -0.24   99.000    5.000   96.717
OBS:  56229.332  r NULL   1.965e+01   7.261e+00   2.71   99.000    5.000   96.741
OBS:  56229.348  i NULL  -1.421e+01   1.295e+01  -1.10   99.000    5.000   96.711
