SURVEY: DES   
SNID:   92551   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.56246 +- 0.03820  (Helio, z_best) 
REDSHIFT_FINAL:   0.56246 +- 0.03820  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15607 
HOST_GALAXY_PHOTO-Z:   0.5625  +- 0.0382  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      2   (non1a index) 
SIM_COMMENT:  SN Type = IIn , MODEL = NUGENT2n  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.5429  
SIM_HOSTLIB_TRUEZ:  0.5400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15607  
SIM_DLMU:      42.476021  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0658   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.62  23.45  23.59  23.61  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56154.171875  days 
SIM_SALT2x0:   1.022e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    15.60   days 
SIM_TRESTMAX:    69.43   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56154.410  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 79 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   1.482e+01   1.050e+01   1.41   24.573    1.340   24.256
OBS:  56178.250  r NULL   3.085e+01   7.871e+00   3.92   23.777    0.319   23.947
OBS:  56178.266  i NULL   2.162e+01   9.326e+00   2.32   24.163    0.613   24.013
OBS:  56179.211  z NULL   2.725e+01   5.356e+00   5.09   23.912    0.237   24.005
OBS:  56180.219  g NULL   1.919e+01   3.277e+00   5.86   24.292    0.203   24.328
OBS:  56180.234  r NULL   2.183e+01   2.482e+00   8.79   24.152    0.132   24.006
OBS:  56180.250  i NULL   3.036e+01   4.359e+00   6.97   23.794    0.168   24.064
OBS:  56188.191  z NULL   2.806e+00   2.733e+01   0.10   26.380  101.620   24.249
OBS:  56188.340  g NULL   5.664e-01   2.561e+01   0.02   28.117   99.883   24.698
OBS:  56188.355  r NULL   2.052e+01   4.187e+00   4.90   24.219    0.248   24.301
OBS:  56189.195  i NULL   1.045e+01   3.096e+01   0.34   24.952  103.048   24.349
OBS:  56194.215  g NULL   1.285e+01   4.791e+00   2.68   24.728    0.506   25.087
OBS:  56194.223  r NULL   3.141e+01   5.447e+00   5.77   23.757    0.206   24.595
OBS:  56194.227  z NULL   9.722e+00   6.547e+00   1.48   25.031    1.217   24.466
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56200.234  i NULL   3.167e+01   1.200e+01   2.64   23.748    0.516   24.812
OBS:  56208.160  g NULL   5.651e+00   2.985e+00   1.89   25.620    0.815   26.061
OBS:  56208.176  r NULL   7.105e+00   2.439e+00   2.91   25.371    0.457   25.299
OBS:  56208.191  z NULL   1.088e+01   4.944e+00   2.20   24.909    0.658   24.955
OBS:  56210.156  i NULL   5.049e+00   7.027e+00   0.72   25.742  102.258   25.221
OBS:  56216.164  g NULL   6.351e+00   2.696e+00   2.36   25.493    0.599   26.584
OBS:  56216.176  r NULL   4.359e+00   2.043e+00   2.13   25.901    0.687   25.716
OBS:  56216.191  z NULL   9.579e+00   4.051e+00   2.36   25.047    0.597   25.247
OBS:  56219.211  i NULL   2.368e+00   2.991e+00   0.79   26.564  101.436   25.627
OBS:  56221.148  g NULL   8.098e+00   1.592e+01   0.51   25.229  102.771   27.093
OBS:  56221.160  r NULL   5.597e+00   6.052e+00   0.92   25.630  102.370   26.029
OBS:  56221.176  z NULL   2.341e+01   1.540e+01   1.52   24.076    1.164   25.444
OBS:  56222.105  i NULL   3.320e+00   9.192e+00   0.36   26.197  101.803   25.769
OBS:  56222.312  g NULL   1.764e+00   4.104e+00   0.43   26.884  101.116   27.230
OBS:  56222.324  r NULL  -1.436e+01   1.517e+01  -0.95  128.000    0.000   26.106
OBS:  56222.340  z NULL  -5.292e+01   4.087e+01  -1.29  128.000    0.000   25.492
OBS:  56228.297  g NULL   1.529e+01   1.503e+01   1.02   24.539    4.423   28.083
OBS:  56228.305  r NULL   2.580e+00   5.494e+00   0.47   26.471  101.529   26.514
OBS:  56228.312  i NULL  -1.052e+00   9.413e+00  -0.11  128.000    0.000   26.079
OBS:  56228.320  z NULL   9.863e+00   5.803e+00   1.70   25.015    0.963   25.737
OBS:  56229.320  g NULL  -1.550e+00   1.405e+01  -0.11  128.000    0.000   28.251
OBS:  56229.332  r NULL   1.271e+00   7.252e+00   0.18   27.239  100.761   26.583
OBS:  56229.348  i NULL   2.982e+01   1.296e+01   2.30   23.814    0.618   26.129
OBS:  56230.070  z NULL   7.038e+00   7.135e+00   0.99   25.381  102.619   25.808
OBS:  56230.316  g NULL   5.003e+00   1.368e+01   0.37   25.752  102.248   28.420
OBS:  56230.328  r NULL   4.310e+00   6.673e+00   0.65   25.914  102.086   26.650
OBS:  56230.344  i NULL   4.657e+00   1.239e+01   0.38   25.830  102.170   26.178
OBS:  56231.301  g NULL  -1.870e+01   1.166e+01  -1.60  128.000    0.000   28.594
OBS:  56231.316  r NULL   6.048e+00   6.020e+00   1.00   25.546    5.786   26.717
OBS:  56231.328  i NULL   1.601e+01   1.047e+01   1.53   24.489    1.152   26.226
OBS:  56231.344  z NULL   6.767e+00   5.792e+00   1.17   25.424    2.102   25.861
OBS:  56235.297  g NULL   3.731e+00   9.637e+00   0.39   26.071  101.929   29.182
OBS:  56235.312  r NULL   2.064e+00   4.661e+00   0.44   26.713  101.287   26.956
OBS:  56235.324  i NULL   1.181e+01   6.645e+00   1.78   24.819    0.897   26.408
OBS:  56235.340  z NULL   3.315e+00   6.750e+00   0.49   26.199  101.801   26.018
OBS:  56236.312  g NULL  -1.552e+01   7.815e+00  -1.99  128.000    0.000   29.295
OBS:  56236.324  r NULL   5.593e+00   3.731e+00   1.50   25.631    1.193   27.008
OBS:  56236.340  i NULL   2.175e+00   6.081e+00   0.36   26.656  101.344   26.450
OBS:  56237.074  z NULL   6.388e+00   7.012e+00   0.91   25.487  102.513   26.083
OBS:  56237.340  g NULL  -1.006e+01   1.182e+01  -0.85  128.000    0.000   29.385
OBS:  56238.051  r NULL   4.597e+00   4.312e+00   1.07   25.844    3.017   27.082
OBS:  56238.059  i NULL   2.893e+00   5.467e+00   0.53   26.347  101.653   26.517
OBS:  56238.340  g NULL   2.020e+01   1.063e+01   1.90   24.237    0.811   29.428
OBS:  56243.047  z NULL   8.388e+00   8.328e+00   1.01   25.191    5.345   26.279
OBS:  56243.320  g NULL   5.685e+00   4.201e+00   1.35   25.613    1.457   29.126
OBS:  56243.336  r NULL   4.906e+00   3.300e+00   1.49   25.773    1.212   27.176
OBS:  56244.039  i NULL  -2.265e+00   7.033e+00  -0.32  128.000    0.000   26.676
OBS:  56244.309  g NULL  -9.192e-01   4.123e+00  -0.22  128.000    0.000   28.954
OBS:  56244.320  r NULL   9.694e-01   3.225e+00   0.30   27.534  100.466   27.166
OBS:  56245.047  z NULL   3.102e+00   5.011e+00   0.62   26.271  101.729   26.330
OBS:  56245.320  g NULL  -4.375e+00   4.230e+00  -1.03  128.000    0.000   28.773
OBS:  56246.055  r NULL   2.087e+00   2.384e+00   0.88   26.701  101.299   27.131
OBS:  56246.070  i NULL  -3.212e+00   3.885e+00  -0.83  128.000    0.000   26.698
OBS:  56247.223  g NULL   3.003e+00   2.981e+00   1.01   26.306    5.325   28.401
OBS:  56247.230  z NULL   1.256e+00   4.385e+00   0.29   27.252  100.748   26.376
OBS:  56248.305  r NULL   9.488e-01   2.375e+00   0.40   27.557  100.443   27.054
OBS:  56248.316  i NULL   1.503e+00   4.228e+00   0.36   27.057  100.943   26.702
OBS:  56258.152  g NULL  -1.859e+00   1.263e+01  -0.15  128.000    0.000   28.365
OBS:  56258.168  z NULL  -1.847e+00   5.983e+00  -0.31  128.000    0.000   26.757
OBS:  56258.273  r NULL  -9.387e+00   7.780e+00  -1.21  128.000    0.000   27.361
OBS:  56258.281  i NULL  -2.038e+01   1.263e+01  -1.61  128.000    0.000   27.051
OBS:  56261.266  g NULL  -1.874e+01   1.009e+01  -1.86  128.000    0.000   28.509
OBS:  56261.273  r NULL   6.859e-01   4.185e+00   0.16   27.909  100.091   27.491
OBS:  56261.281  i NULL   2.652e+00   7.029e+00   0.38   26.441  101.559   27.176
OBS:  56261.289  z NULL   7.434e+00   4.894e+00   1.52   25.322    1.165   26.884
END: 
