SURVEY: DES   
SNID:   103481   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  22 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.41941 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.41941 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.41941 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17589 
HOST_GALAXY_PHOTO-Z:   0.4116  +- 0.0265  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      3   (non1a index) 
SIM_COMMENT:  SN Type = IIP , MODEL = NUGENT2P  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.4208  
SIM_HOSTLIB_TRUEZ:  0.4200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17589  
SIM_DLMU:      41.814659  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0336   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.00  23.49  23.28  22.92  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56358.277344  days 
SIM_SALT2x0:   1.880e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.17   days 
SIM_TRESTMAX:    -6.53   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56358.055  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 21 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56304.043  g NULL   2.097e+00   2.546e+00   0.82   99.000    5.000   96.937
OBS:  56306.102  r NULL  -2.611e-01   3.207e+00  -0.08   99.000    5.000   96.918
OBS:  56306.113  i NULL   1.032e+01   4.308e+00   2.39   99.000    5.000   96.970
OBS:  56306.121  z NULL  -1.144e+01   5.393e+00  -2.12   99.000    5.000   96.847
OBS:  56312.047  g NULL   3.755e+00   9.602e+00   0.39   99.000    5.000   96.937
OBS:  56318.066  r NULL   2.234e+00   4.570e+00   0.49   99.000    5.000   96.918
OBS:  56318.078  i NULL  -7.123e+00   7.971e+00  -0.89   99.000    5.000   96.970
OBS:  56318.086  z NULL   5.173e+00   6.367e+00   0.81   99.000    5.000   96.847
OBS:  56320.035  g NULL   1.507e+01   1.145e+01   1.32   99.000    5.000   96.937
OBS:  56327.039  r NULL   7.723e-01   2.795e+00   0.28   99.000    5.000   96.918
OBS:  56327.047  i NULL  -1.775e-01   4.171e+00  -0.04   99.000    5.000   96.970
OBS:  56327.055  z NULL   6.552e+00   4.751e+00   1.38   99.000    5.000   96.847
OBS:  56328.039  g NULL   6.602e+00   3.702e+00   1.78   99.000    5.000   96.937
OBS:  56336.043  r NULL   5.446e+00   3.088e+00   1.76   25.660    0.909   25.234
OBS:  56336.055  i NULL   5.645e+00   5.011e+00   1.13   25.621    2.375   25.378
OBS:  56337.043  z NULL   2.426e+01   4.067e+00   5.97   24.038    0.198   24.575
OBS:  56338.043  g NULL   1.363e+01   3.589e+00   3.80   24.664    0.331   24.959
OBS:  56347.996  r NULL   6.294e+01   2.807e+00  22.42   23.003    0.049   23.009
OBS:  56348.004  i NULL   7.416e+01   5.090e+00  14.57   22.825    0.076   22.982
OBS:  56348.008  z NULL   9.397e+01   6.804e+00  13.81   22.568    0.081   22.633
OBS:  56348.996  g NULL   2.817e+01   5.569e+00   5.06   23.875    0.238   24.311
END: 
