SURVEY: DES   
SNID:   104933   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.98532 +- 0.02930  (Helio, z_best) 
REDSHIFT_FINAL:   0.98532 +- 0.02930  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11676 
HOST_GALAXY_PHOTO-Z:   0.9853  +- 0.0293  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.9814  
SIM_HOSTLIB_TRUEZ:  0.9800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11676  
SIM_DLMU:      44.049908  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0249   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   28.39  25.38  24.11  24.06  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56299.480469  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.018e-06   
SIM_SALT2x1:   -1.9749   
SIM_SALT2c:    -0.0092   
SIM_SALT2mB:   24.8727   
SIM_MAGDIM:    1.306  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.58   days 
SIM_TRESTMAX:    26.00   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56299.762  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 107 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56221.062  g NULL  -7.002e+00   4.490e+00  -1.56   99.000    5.000   98.185
OBS:  56221.074  r NULL  -7.777e-01   3.581e+00  -0.22   99.000    5.000   98.829
OBS:  56221.195  i NULL  -1.875e+01   1.346e+01  -1.39   99.000    5.000   98.988
OBS:  56221.227  z NULL  -2.373e+00   4.013e+00  -0.59   99.000    5.000   98.933
OBS:  56222.047  g NULL  -8.292e+00   6.421e+00  -1.29   99.000    5.000   98.185
OBS:  56222.062  r NULL   2.854e+00   3.126e+00   0.91   99.000    5.000   98.829
OBS:  56222.191  i NULL   1.266e+00   9.790e+00   0.13   99.000    5.000   98.988
OBS:  56222.211  z NULL  -3.914e+00   4.835e+00  -0.81   99.000    5.000   98.933
OBS:  56228.031  g NULL   1.133e+01   2.612e+01   0.43   99.000    5.000   98.185
OBS:  56228.047  r NULL  -9.509e+00   1.164e+01  -0.82   99.000    5.000   98.829
OBS:  56228.156  i NULL   1.464e+01   5.185e+00   2.82   99.000    5.000   98.988
OBS:  56228.188  z NULL  -2.440e+00   2.843e+00  -0.86   99.000    5.000   98.933
OBS:  56229.031  g NULL  -2.248e+01   3.075e+01  -0.73   99.000    5.000   98.185
OBS:  56229.156  r NULL  -3.181e+00   3.595e+00  -0.88   99.000    5.000   98.829
OBS:  56229.172  i NULL  -5.290e+00   7.053e+00  -0.75   99.000    5.000   98.988
OBS:  56229.199  z NULL  -1.153e+00   2.925e+00  -0.39   99.000    5.000   98.933
OBS:  56230.035  g NULL  -1.892e+01   9.321e+00  -2.03   99.000    5.000   98.185
OBS:  56230.043  r NULL  -1.160e+00   3.863e+00  -0.30   99.000    5.000   98.829
OBS:  56230.191  i NULL   1.177e+01   6.321e+00   1.86   99.000    5.000   98.988
OBS:  56230.215  z NULL   2.017e-01   2.921e+00   0.07   99.000    5.000   98.933
OBS:  56231.035  g NULL  -1.943e+00   7.694e+00  -0.25   99.000    5.000   98.185
OBS:  56231.156  r NULL   1.182e+00   2.654e+00   0.45   99.000    5.000   98.829
OBS:  56231.172  i NULL  -4.239e+00   4.791e+00  -0.88   99.000    5.000   98.988
OBS:  56231.191  z NULL  -5.946e+00   3.019e+00  -1.97   99.000    5.000   98.933
OBS:  56235.145  g NULL  -2.052e+00   3.787e+00  -0.54   99.000    5.000   98.185
