SURVEY: DES   
SNID:   109932   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.58476 +- 0.02480  (Helio, z_best) 
REDSHIFT_FINAL:   0.58476 +- 0.02480  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10594 
HOST_GALAXY_PHOTO-Z:   0.5848  +- 0.0248  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.5810  
SIM_HOSTLIB_TRUEZ:  0.5800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10594  
SIM_DLMU:      42.654076  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0556   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.326  mag  (host extinction at 5510 A)
SIM_RV:         2.167   (CCM89 extinction parameter) 
SIM_PEAKMAG:   24.97  23.25  23.11  23.07  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56264.031250  days 
SIM_DELTA:      0.167  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.833  
SIM_MAGDIM:    0.624  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -35.34   days 
SIM_TRESTMAX:    55.03   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56264.559  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 108 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56208.160  g NULL   5.296e+00   2.974e+00   1.78   99.000    5.000   99.000
OBS:  56208.176  r NULL   5.376e-01   2.428e+00   0.22   99.000    5.000   99.000
OBS:  56208.191  z NULL  -4.873e+00   4.939e+00  -0.99   99.000    5.000   99.000
OBS:  56210.156  i NULL   1.075e+01   7.027e+00   1.53   99.000    5.000   99.000
OBS:  56216.164  g NULL  -4.665e+00   2.687e+00  -1.74   99.000    5.000   99.000
OBS:  56216.176  r NULL   5.158e-01   2.036e+00   0.25   99.000    5.000   99.000
OBS:  56216.191  z NULL   4.739e+00   4.046e+00   1.17   99.000    5.000   99.000
OBS:  56219.211  i NULL  -4.348e+00   2.988e+00  -1.46   99.000    5.000   99.000
OBS:  56221.148  g NULL   2.286e+00   1.591e+01   0.14   99.000    5.000   99.000
OBS:  56221.160  r NULL   4.778e+00   6.048e+00   0.79   99.000    5.000   99.000
OBS:  56221.176  z NULL  -1.458e+01   1.540e+01  -0.95   99.000    5.000   99.000
OBS:  56222.105  i NULL   4.303e+00   9.190e+00   0.47   99.000    5.000   99.000
OBS:  56222.312  g NULL   3.821e+00   4.101e+00   0.93   99.000    5.000   99.000
OBS:  56222.324  r NULL   2.210e+01   1.517e+01   1.46   99.000    5.000   99.000
OBS:  56222.340  z NULL   5.887e+01   4.087e+01   1.44   99.000    5.000   99.000
OBS:  56228.297  g NULL  -7.823e+00   1.503e+01  -0.52   99.000    5.000   99.000
OBS:  56228.305  r NULL   5.641e-01   5.492e+00   0.10   99.000    5.000   99.000
OBS:  56228.312  i NULL   1.458e+01   9.416e+00   1.55   99.000    5.000   99.000
OBS:  56228.320  z NULL   1.773e+00   5.800e+00   0.31   99.000    5.000   99.000
OBS:  56229.320  g NULL   2.928e+01   1.406e+01   2.08   99.000    5.000   99.000
OBS:  56229.332  r NULL   4.437e-02   7.251e+00   0.01   99.000    5.000   99.000
OBS:  56229.348  i NULL   1.007e+01   1.295e+01   0.78   99.000    5.000   99.000
OBS:  56230.070  z NULL   2.019e+00   7.133e+00   0.28   99.000    5.000   99.000
OBS:  56230.316  g NULL  -9.952e-01   1.368e+01  -0.07   99.000    5.000   99.000
OBS:  56230.328  r NULL  -4.945e+00   6.673e+00  -0.74   99.000    5.000   99.000
OBS:  56230.344  i NULL   2.139e+01   1.240e+01   1.73   99.000    5.000   99.000
