SURVEY: DES   
SNID:   111891   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.86502 +- 0.01990  (Helio, z_best) 
REDSHIFT_FINAL:   0.86502 +- 0.01990  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16741 
HOST_GALAXY_PHOTO-Z:   0.8650  +- 0.0199  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.8651  
SIM_HOSTLIB_TRUEZ:  0.8700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16741  
SIM_DLMU:      43.711811  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0253   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.170  mag  (host extinction at 5510 A)
SIM_RV:         2.424   (CCM89 extinction parameter) 
SIM_PEAKMAG:   27.21  24.59  23.72  23.77  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56201.375000  days 
SIM_DELTA:     -0.222  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.222  
SIM_MAGDIM:    0.230  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -12.43   days 
SIM_TRESTMAX:    67.91   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56201.102  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 112 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL   1.067e+01   9.407e+00   1.13   24.929    2.313   29.062
OBS:  56178.195  r NULL  -6.316e+00   7.174e+00  -0.88  128.000    0.000   26.042
OBS:  56178.203  i NULL   1.081e+01   6.839e+00   1.58   24.915    1.087   25.029
OBS:  56178.211  z NULL  -3.557e+00   7.920e+00  -0.45  128.000    0.000   25.129
OBS:  56180.172  g NULL   4.929e+00   4.014e+00   1.23   25.768    1.828   28.507
OBS:  56180.188  r NULL   8.924e+00   3.182e+00   2.80   25.124    0.478   25.687
OBS:  56180.195  i NULL   1.036e+01   4.405e+00   2.35   24.962    0.601   24.794
OBS:  56180.203  z NULL   3.518e+00   4.965e+00   0.71   26.134  101.866   24.892
OBS:  56188.148  g NULL   1.799e+01   1.796e+01   1.00   24.363    6.878   27.212
OBS:  56188.289  r NULL   1.982e+01   4.024e+00   4.93   24.257    0.246   24.670
OBS:  56188.297  i NULL   1.812e+01   8.152e+00   2.22   24.355    0.650   23.987
OBS:  56188.312  z NULL   1.955e+01   5.410e+00   3.61   24.272    0.352   24.111
OBS:  56194.145  g NULL  -6.081e+00   4.684e+00  -1.30  128.000    0.000   26.751
OBS:  56194.156  r NULL   1.481e+01   2.784e+00   5.32   24.573    0.226   24.420
OBS:  56194.172  i NULL   2.661e+01   4.674e+00   5.69   23.937    0.210   23.769
OBS:  56194.188  z NULL   2.475e+01   4.493e+00   5.51   24.016    0.218   23.839
OBS:  56207.188  g NULL   5.123e+00   4.368e+00   1.17   25.726    2.078   27.477
OBS:  56207.195  r NULL   1.038e+01   3.471e+00   2.99   24.960    0.442   24.826
OBS:  56207.203  i NULL   3.003e+01   6.282e+00   4.78   23.806    0.255   23.825
OBS:  56207.219  z NULL   3.517e+01   5.993e+00   5.87   23.635    0.203   23.792
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56215.195  g NULL   2.057e+00   2.683e+00   0.77   26.717  101.283   28.171
OBS:  56215.203  r NULL   7.122e+00   2.183e+00   3.26   25.368    0.398   25.291
OBS:  56215.211  i NULL   2.111e+01   2.680e+00   7.88   24.189    0.148   24.089
OBS:  56215.227  z NULL   2.648e+01   3.468e+00   7.64   23.943    0.152   23.948
OBS:  56221.090  g NULL   6.672e+00   6.270e+00   1.06   25.439    3.046   28.521
