SURVEY: DES   
SNID:   114965   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.87028 +- 0.02720  (Helio, z_best) 
REDSHIFT_FINAL:   0.87028 +- 0.02720  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17865 
HOST_GALAXY_PHOTO-Z:   0.8703  +- 0.0272  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.9025  
SIM_HOSTLIB_TRUEZ:  0.9000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17865  
SIM_DLMU:      43.825035  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0633   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.98  24.85  24.00  23.96  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56189.480469  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.630e-06   
SIM_SALT2x1:    0.0428   
SIM_SALT2c:     0.0405   
SIM_SALT2mB:   24.5850   
SIM_STRETCH:    1.043  
SIM_MAGDIM:    1.243  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -5.91   days 
SIM_TRESTMAX:    68.64   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56189.562  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 107 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL  -8.446e+00   1.048e+01  -0.81  128.000    0.000   28.232
OBS:  56178.250  r NULL   4.533e+00   7.845e+00   0.58   25.859  102.141   24.844
OBS:  56178.266  i NULL   2.189e+01   9.325e+00   2.35   24.149    0.603   24.167
OBS:  56179.211  z NULL   1.825e+01   5.342e+00   3.42   24.347    0.376   24.186
OBS:  56180.219  g NULL   5.158e-01   3.206e+00   0.16   28.219   99.781   28.131
OBS:  56180.234  r NULL   1.700e+01   2.457e+00   6.92   24.424    0.169   24.786
OBS:  56180.250  i NULL   2.814e+01   4.353e+00   6.46   23.877    0.182   24.087
OBS:  56188.191  z NULL   4.907e+01   2.734e+01   1.79   23.273    0.884   23.968
OBS:  56188.340  g NULL  -3.699e+01   2.558e+01  -1.45  128.000    0.000   27.983
OBS:  56188.355  r NULL   1.283e+01   4.170e+00   3.08   24.729    0.427   24.813
OBS:  56189.195  i NULL   6.264e+01   3.098e+01   2.02   23.008    0.740   23.996
OBS:  56194.215  g NULL   2.083e+00   4.765e+00   0.44   26.703  101.297   28.069
OBS:  56194.223  r NULL   9.682e+00   5.413e+00   1.79   25.035    0.889   25.069
OBS:  56194.227  z NULL   2.437e+01   6.562e+00   3.71   24.033    0.341   24.001
OBS:  56200.234  i NULL   9.374e+00   1.199e+01   0.78   25.070  102.930   24.270
OBS:  56208.160  g NULL   1.972e+00   2.973e+00   0.66   26.763  101.237   29.905
OBS:  56208.176  r NULL   5.838e+00   2.435e+00   2.40   25.584    0.586   25.898
OBS:  56208.191  z NULL   2.010e+01   4.955e+00   4.06   24.242    0.307   24.334
OBS:  56210.156  i NULL   1.758e+01   7.036e+00   2.50   24.388    0.555   24.748
OBS:  56216.164  g NULL   6.673e-02   2.686e+00   0.02   99.000    5.000   98.885
OBS:  56216.176  r NULL   5.421e+00   2.041e+00   2.66   25.665    0.512   26.507
OBS:  56216.191  z NULL   1.326e+01   4.055e+00   3.27   24.693    0.396   24.673
OBS:  56219.211  i NULL   1.062e+01   2.999e+00   3.54   24.935    0.360   25.300
OBS:  56221.148  g NULL   6.488e+00   1.591e+01   0.41   25.470  102.530   31.663
OBS:  56221.160  r NULL  -4.616e+00   6.050e+00  -0.76  128.000    0.000   26.882
OBS:  56221.176  z NULL   2.521e+00   1.540e+01   0.16   26.496  101.504   24.896
OBS:  56222.105  i NULL   7.315e+00   9.193e+00   0.80   25.339  102.661   25.500
OBS:  56222.312  g NULL   4.443e-01   4.101e+00   0.11   28.381   99.619   30.832
OBS:  56222.324  r NULL   1.211e+01   1.517e+01   0.80   24.792  103.208   26.951
OBS:  56222.340  z NULL  -6.083e+01   4.087e+01  -1.49  128.000    0.000   24.948
OBS:  56228.297  g NULL   8.652e+00   1.503e+01   0.58   25.157  102.843   29.250
OBS:  56228.305  r NULL   1.345e+01   5.499e+00   2.45   24.678    0.570   27.260
OBS:  56228.312  i NULL   1.865e+01   9.419e+00   1.98   24.323    0.763   25.913
OBS:  56228.320  z NULL   9.728e+00   5.804e+00   1.68   25.030    0.985   25.208
