SURVEY: DES   
SNID:   118467   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  32 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.62281 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.62281 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.62281 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15832 
HOST_GALAXY_PHOTO-Z:   0.6386  +- 0.0474  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      8   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2006ep  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.6251  
SIM_HOSTLIB_TRUEZ:  0.6300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15832  
SIM_DLMU:      42.847179  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0171   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   26.19  23.80  23.38  22.82  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56363.000000  days 
SIM_SALT2x0:   7.263e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -35.63   days 
SIM_TRESTMAX:    -7.39   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56364.422  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 23 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56305.094  g NULL   2.021e+00   1.644e+00   1.23   99.000    5.000   99.039
OBS:  56305.102  r NULL  -3.067e+00   1.302e+00  -2.36   99.000    5.000   99.081
OBS:  56305.113  i NULL  -1.422e+00   2.190e+00  -0.65   99.000    5.000   99.008
OBS:  56306.043  z NULL  -2.299e+00   2.711e+00  -0.85   99.000    5.000   99.014
OBS:  56313.047  g NULL   5.858e+00   5.961e+00   0.98   99.000    5.000   99.039
OBS:  56313.055  r NULL   7.019e-02   2.524e+00   0.03   99.000    5.000   99.081
OBS:  56313.090  i NULL  -6.007e+00   3.080e+00  -1.95   99.000    5.000   99.008
OBS:  56317.066  z NULL   1.838e+00   4.249e+00   0.43   26.839  101.161   41.315
OBS:  56321.035  g NULL   3.924e-01   2.913e+00   0.13   28.516   99.484   33.652
OBS:  56321.043  r NULL   1.378e+00   1.365e+00   1.01   27.152    5.076   33.931
OBS:  56321.066  i NULL   2.714e+00   3.216e+00   0.84   26.416  101.584   34.052
OBS:  56326.039  z NULL   3.337e+00   2.607e+00   1.28   26.192    1.649   29.218
OBS:  56333.043  g NULL   1.696e+00   1.820e+00   0.93   26.926  101.074   26.703
OBS:  56333.051  r NULL   2.109e+00   1.385e+00   1.52   26.690    1.161   26.366
OBS:  56334.043  i NULL   7.556e+00   2.182e+00   3.46   25.304    0.370   25.670
OBS:  56335.043  z NULL   6.114e+00   3.383e+00   1.81   25.534    0.876   25.069
OBS:  56344.992  g NULL   5.497e+00   4.332e+00   1.27   25.650    1.685   25.627
OBS:  56345.000  r NULL   2.422e+01   1.926e+00  12.58   24.039    0.090   23.941
OBS:  56345.016  i NULL   3.798e+01   3.529e+00  10.76   23.551    0.106   23.576
OBS:  56345.992  z NULL   4.202e+01   3.784e+00  11.10   23.441    0.103   23.268
OBS:  56349.996  g NULL   1.151e+01   3.976e+00   2.90   24.847    0.460   25.216
OBS:  56350.004  r NULL   3.727e+01   2.186e+00  17.05   23.572    0.066   23.550
OBS:  56350.996  i NULL   4.232e+01   3.133e+00  13.51   23.434    0.084   23.290
END: 
