SURVEY: DES   
SNID:   121629   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.75725 +- 0.02800  (Helio, z_best) 
REDSHIFT_FINAL:   0.75725 +- 0.02800  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12172 
HOST_GALAXY_PHOTO-Z:   0.7572  +- 0.0280  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      1   (non1a index) 
SIM_COMMENT:  SN Type = Ibc , MODEL = NUGENT1bc  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.7563  
SIM_HOSTLIB_TRUEZ:  0.7600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12172  
SIM_DLMU:      43.352886  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0724   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.69  25.04  24.28  24.01  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56226.156250  days 
SIM_SALT2x0:   4.559e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -27.28   days 
SIM_TRESTMAX:    69.39   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56226.945  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 119 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   1.252e+00   1.048e+01   0.12   99.000    5.000   97.009
OBS:  56178.250  r NULL  -4.308e+00   7.841e+00  -0.55   99.000    5.000   97.004
OBS:  56178.266  i NULL  -2.142e+00   9.311e+00  -0.23   99.000    5.000   97.047
OBS:  56179.211  z NULL   2.150e+00   5.328e+00   0.40   99.000    5.000   97.066
OBS:  56180.219  g NULL   1.232e+00   3.205e+00   0.38   99.000    5.000   97.009
OBS:  56180.234  r NULL  -3.829e+00   2.426e+00  -1.58   99.000    5.000   97.004
OBS:  56180.250  i NULL  -4.513e-01   4.310e+00  -0.10   99.000    5.000   97.047
OBS:  56188.191  z NULL   4.982e+00   2.732e+01   0.18   99.000    5.000   97.066
OBS:  56188.340  g NULL   6.326e+00   2.557e+01   0.25   99.000    5.000   97.009
OBS:  56188.355  r NULL  -2.281e+00   4.152e+00  -0.55   99.000    5.000   97.004
OBS:  56189.195  i NULL   2.312e+00   3.095e+01   0.07   99.000    5.000   97.047
OBS:  56194.215  g NULL  -5.065e+00   4.764e+00  -1.06   99.000    5.000   97.009
OBS:  56194.223  r NULL   3.230e+00   5.400e+00   0.60   99.000    5.000   97.004
OBS:  56194.227  z NULL  -1.193e+00   6.541e+00  -0.18   99.000    5.000   97.066
OBS:  56200.234  i NULL   1.080e+01   1.199e+01   0.90   24.916  103.084   26.697
OBS:  56208.160  g NULL   1.425e+00   2.974e+00   0.48   27.116  100.884   28.224
OBS:  56208.176  r NULL   5.256e+00   2.436e+00   2.16   25.698    0.676   25.633
OBS:  56208.191  z NULL   9.070e+00   4.943e+00   1.83   25.106    0.856   24.657
OBS:  56210.156  i NULL   2.418e+01   7.043e+00   3.43   24.041    0.373   24.721
OBS:  56216.164  g NULL  -8.388e-02   2.689e+00  -0.03  128.000    0.000   27.433
OBS:  56216.176  r NULL   8.690e+00   2.053e+00   4.23   25.152    0.293   24.987
OBS:  56216.191  z NULL   2.581e+01   4.078e+00   6.33   23.970    0.186   24.162
OBS:  56219.211  i NULL   2.216e+01   3.029e+00   7.31   24.136    0.159   24.282
OBS:  56221.148  g NULL   2.134e+00   1.592e+01   0.13   26.677  101.323   27.336
OBS:  56221.160  r NULL   1.323e+01   6.062e+00   2.18   24.696    0.665   24.889
OBS:  56221.176  z NULL   4.045e+01   1.542e+01   2.62   23.483    0.520   24.048
OBS:  56222.105  i NULL   2.135e+01   9.205e+00   2.32   24.176    0.612   24.261
OBS:  56222.312  g NULL   2.093e-01   4.104e+00   0.05   29.198   98.802   27.394
OBS:  56222.324  r NULL   4.353e+01   1.520e+01   2.86   23.403    0.465   24.906
OBS:  56222.340  z NULL   4.486e+01   4.087e+01   1.10   23.370    2.625   24.037
OBS:  56228.297  g NULL   1.121e+01   1.503e+01   0.75   24.876  103.124   27.914
OBS:  56228.305  r NULL   8.133e+00   5.498e+00   1.48   25.224    1.224   25.159
OBS:  56228.312  i NULL   1.982e+01   9.423e+00   2.10   24.257    0.700   24.338
OBS:  56228.320  z NULL   1.725e+01   5.813e+00   2.97   24.408    0.447   24.017
OBS:  56229.320  g NULL   9.312e+00   1.406e+01   0.66   25.077  102.923   28.071
OBS:  56229.332  r NULL   9.108e+00   7.256e+00   1.26   25.101    1.729   25.227
OBS:  56229.348  i NULL   1.602e+01   1.295e+01   1.24   24.489    1.796   24.362
OBS:  56230.070  z NULL   2.910e+01   7.157e+00   4.07   23.840    0.306   24.022
OBS:  56230.316  g NULL  -1.385e+00   1.368e+01  -0.10  128.000    0.000   28.250
OBS:  56230.328  r NULL   1.364e+01   6.680e+00   2.04   24.663    0.730   25.311
OBS:  56230.344  i NULL   1.184e+01   1.240e+01   0.95   24.817  103.183   24.386
OBS:  56231.301  g NULL   4.741e+00   1.166e+01   0.41   25.810  102.190   28.465
OBS:  56231.316  r NULL   7.809e+00   6.023e+00   1.30   25.269    1.601   25.408
OBS:  56231.328  i NULL   2.616e+00   1.047e+01   0.25   26.456  101.544   24.410
OBS:  56231.344  z NULL   1.847e+01   5.804e+00   3.18   24.334    0.410   24.030
OBS:  56235.297  g NULL  -4.590e+00   9.637e+00  -0.48  128.000    0.000   29.054
OBS:  56235.312  r NULL   2.636e+00   4.663e+00   0.57   26.448  101.552   25.745
OBS:  56235.324  i NULL   1.254e+01   6.650e+00   1.89   24.754    0.821   24.532
OBS:  56235.340  z NULL   2.039e+01   6.763e+00   3.02   24.226    0.438   24.068
OBS:  56236.312  g NULL  -8.244e+00   7.811e+00  -1.06  128.000    0.000   29.198
OBS:  56236.324  r NULL  -3.779e+00   3.732e+00  -1.01  128.000    0.000   25.830
OBS:  56236.340  i NULL   9.627e+00   6.088e+00   1.58   25.041    1.088   24.582
OBS:  56237.074  z NULL   2.793e+01   7.033e+00   3.97   23.885    0.315   24.143
OBS:  56237.340  g NULL   8.694e+00   1.182e+01   0.74   25.152  102.848   29.270
OBS:  56238.051  r NULL  -5.989e-01   4.313e+00  -0.14  128.000    0.000   25.960
OBS:  56238.059  i NULL   1.096e+01   5.475e+00   2.00   24.900    0.752   24.678
OBS:  56238.340  g NULL   1.962e+01   1.063e+01   1.85   24.268    0.846   29.289
OBS:  56243.047  z NULL   2.193e+01   8.338e+00   2.63   24.148    0.519   24.419
OBS:  56243.320  g NULL  -1.468e+00   4.200e+00  -0.35  128.000    0.000   29.572
OBS:  56243.336  r NULL   1.443e+00   3.300e+00   0.44   27.102  100.898   26.425
OBS:  56244.039  i NULL   1.059e+01   7.038e+00   1.51   24.938    1.185   25.067
OBS:  56244.309  g NULL   2.431e+00   4.123e+00   0.59   26.535  101.465   29.472
OBS:  56244.320  r NULL  -1.347e+00   3.226e+00  -0.42  128.000    0.000   26.491
OBS:  56245.047  z NULL   1.451e+01   5.020e+00   2.89   24.596    0.461   24.505
OBS:  56245.320  g NULL  -1.244e+00   4.229e+00  -0.29  128.000    0.000   29.357
OBS:  56246.055  r NULL   3.238e+00   2.386e+00   1.36   26.224    1.449   26.590
OBS:  56246.070  i NULL   1.131e+01   3.894e+00   2.90   24.867    0.458   25.220
OBS:  56247.223  g NULL  -1.377e+00   2.980e+00  -0.46  128.000    0.000   29.358
OBS:  56247.230  z NULL   1.075e+01   4.393e+00   2.45   24.921    0.571   24.613
OBS:  56248.305  r NULL   2.674e+00   2.376e+00   1.13   26.432    2.381   26.707
OBS:  56248.316  i NULL   7.031e+00   4.233e+00   1.66   25.383    1.000   25.374
OBS:  56258.152  g NULL   5.734e+00   1.264e+01   0.45   25.604  102.396   29.405
OBS:  56258.168  z NULL   1.823e+00   5.984e+00   0.30   26.848  101.152   25.126
OBS:  56258.273  r NULL  -6.159e+00   7.779e+00  -0.79  128.000    0.000   27.155
OBS:  56258.281  i NULL   3.681e+00   1.262e+01   0.29   26.085  101.915   25.980
OBS:  56261.266  g NULL  -2.736e+00   1.009e+01  -0.27  128.000    0.000   29.582
OBS:  56261.273  r NULL   2.513e+00   4.185e+00   0.60   26.500  101.500   27.263
OBS:  56261.281  i NULL   6.184e+00   7.031e+00   0.88   25.522  102.478   26.068
OBS:  56261.289  z NULL   9.256e+00   4.896e+00   1.89   25.084    0.817   25.240
OBS:  56275.152  g NULL   1.038e+00   3.310e+00   0.31   27.459  100.541   29.736
OBS:  56275.172  r NULL   2.555e+00   2.241e+00   1.14   26.482    2.275   27.589
OBS:  56275.191  i NULL   2.187e+00   4.493e+00   0.49   26.650  101.350   26.494
OBS:  56275.203  z NULL   1.213e+01   5.330e+00   2.27   24.791    0.628   25.916
OBS:  56283.203  g NULL   9.262e+00   6.287e+00   1.47   25.083    1.232   29.935
OBS:  56283.211  r NULL   1.321e+00   3.326e+00   0.40   27.198  100.802   27.746
OBS:  56283.215  i NULL  -3.731e+00   5.818e+00  -0.64  128.000    0.000   26.675
OBS:  56283.223  z NULL   5.895e+00   5.044e+00   1.17   25.574    2.101   26.108
OBS:  56288.199  g NULL   1.640e+01   1.179e+01   1.39   24.463    1.378   29.974
OBS:  56288.215  r NULL   4.756e+00   6.181e+00   0.77   25.807  102.193   27.831
OBS:  56289.109  i NULL   1.187e+01   7.084e+00   1.68   24.814    0.986   26.768
OBS:  56289.125  z NULL   3.414e+00   5.423e+00   0.63   26.167  101.833   26.256
OBS:  56292.098  g NULL   7.291e+00   1.165e+01   0.63   25.343  102.657   30.044
OBS:  56292.102  r NULL  -4.826e+00   4.828e+00  -1.00  128.000    0.000   27.885
OBS:  56292.191  i NULL  -2.738e+00   5.600e+00  -0.49  128.000    0.000   26.807
OBS:  56292.199  z NULL   9.325e+00   5.161e+00   1.81   25.076    0.875   26.323
OBS:  56304.051  g NULL  -2.945e+00   2.480e+00  -1.19  128.000    0.000   30.334
OBS:  56304.055  r NULL  -6.630e-01   1.657e+00  -0.40  128.000    0.000   28.095
OBS:  56304.070  i NULL   3.688e+00   2.508e+00   1.47   26.083    1.237   26.952
OBS:  56304.086  z NULL   3.279e+00   3.935e+00   0.83   26.211  101.789   26.499
OBS:  56312.055  g NULL  -9.982e+00   7.570e+00  -1.32  128.000    0.000   30.572
OBS:  56312.066  r NULL  -3.072e+00   2.963e+00  -1.04  128.000    0.000   28.271
OBS:  56312.090  i NULL   7.818e+00   5.023e+00   1.56   25.267    1.116   27.066
OBS:  56312.113  z NULL   9.420e+00   5.432e+00   1.73   25.065    0.932   26.560
OBS:  56320.043  g NULL   7.117e-01   6.168e+00   0.12   27.869  100.131   31.014
OBS:  56320.051  r NULL   1.275e+00   2.489e+00   0.51   27.236  100.764   28.493
OBS:  56320.059  i NULL   3.831e+00   3.654e+00   1.05   26.042    3.332   27.147
OBS:  56320.070  z NULL   7.197e-01   4.394e+00   0.16   27.857  100.143   26.650
OBS:  56328.047  g NULL   3.804e+00   3.351e+00   1.13   26.049    2.310   31.544
OBS:  56328.055  r NULL   1.785e+00   2.403e+00   0.74   26.871  101.129   28.714
OBS:  56328.070  i NULL   1.885e+00   4.046e+00   0.47   26.812  101.188   27.228
OBS:  56328.086  z NULL   7.376e+00   6.783e+00   1.09   25.330    2.735   26.740
OBS:  56336.062  g NULL   3.785e-01   3.700e+00   0.10   28.555   99.445   32.143
OBS:  56336.082  r NULL  -3.888e+00   3.008e+00  -1.29  128.000    0.000   28.932
OBS:  56337.062  i NULL   3.869e+00   2.928e+00   1.32   26.031    1.535   27.346
OBS:  56337.078  z NULL  -3.436e+00   3.747e+00  -0.92  128.000    0.000   26.837
OBS:  56345.039  g NULL  -1.068e+01   7.142e+00  -1.50   99.000    5.000   97.009
OBS:  56345.055  r NULL  -2.461e+00   3.770e+00  -0.65   99.000    5.000   97.004
OBS:  56346.055  i NULL  -1.528e+00   5.986e+00  -0.26   99.000    5.000   97.047
OBS:  56348.027  z NULL  -4.129e+00   5.019e+00  -0.82   99.000    5.000   97.066
END: 
