SURVEY: DES   
SNID:   121911   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   1.16484 +- 0.06330  (Helio, z_best) 
REDSHIFT_FINAL:   1.16484 +- 0.06330  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16553 
HOST_GALAXY_PHOTO-Z:   1.1648  +- 0.0633  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  1.0409  
SIM_HOSTLIB_TRUEZ:  1.0400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16553  
SIM_DLMU:      44.207966  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0092   (MilkyWay E(B-V)) 
SIM_PEAKMAG:  100.17  25.50  23.98  23.90  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56261.257812  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.245e-06   
SIM_SALT2x1:   -1.9332   
SIM_SALT2c:    -0.0933   
SIM_SALT2mB:   24.7569   
SIM_MAGDIM:    1.032  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.68   days 
SIM_TRESTMAX:    44.02   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56261.035  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 153 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56180.266  g NULL   1.545e+00   2.550e+00   0.61   99.000    5.000  100.174
OBS:  56180.281  r NULL   1.619e+00   1.301e+00   1.24   99.000    5.000   98.908
OBS:  56180.297  i NULL  -2.122e+00   3.683e+00  -0.58   99.000    5.000   98.998
OBS:  56180.328  z NULL   1.817e+00   4.486e+00   0.40   99.000    5.000   98.966
OBS:  56188.160  g NULL  -3.080e+00   5.684e+00  -0.54   99.000    5.000  100.174
OBS:  56188.176  r NULL   6.292e+00   5.570e+00   1.13   99.000    5.000   98.908
OBS:  56188.211  i NULL  -2.001e+00   4.519e+00  -0.44   99.000    5.000   98.998
OBS:  56188.238  z NULL   4.642e+00   3.400e+00   1.37   99.000    5.000   98.966
OBS:  56189.254  g NULL  -1.343e+00   2.284e+00  -0.59   99.000    5.000  100.174
OBS:  56189.270  r NULL   6.274e-01   3.267e+00   0.19   99.000    5.000   98.908
OBS:  56189.281  i NULL  -4.908e+00   9.046e+00  -0.54   99.000    5.000   98.998
OBS:  56189.312  z NULL   2.985e-02   2.964e+00   0.01   99.000    5.000   98.966
OBS:  56194.258  g NULL   1.793e+00   2.636e+00   0.68   99.000    5.000  100.174
OBS:  56194.270  r NULL   9.614e-01   1.486e+00   0.65   99.000    5.000   98.908
OBS:  56194.285  i NULL  -1.146e+00   2.291e+00  -0.50   99.000    5.000   98.998
OBS:  56194.305  z NULL  -3.757e+00   2.385e+00  -1.58   99.000    5.000   98.966
OBS:  56202.160  g NULL  -3.752e+00   4.791e+00  -0.78   99.000    5.000  100.174
OBS:  56202.176  r NULL   1.504e+00   2.322e+00   0.65   99.000    5.000   98.908
OBS:  56202.191  i NULL   1.751e-02   4.162e+00   0.00   99.000    5.000   98.998
OBS:  56202.215  z NULL  -1.554e-02   2.711e+00  -0.01   99.000    5.000   98.966
OBS:  56210.172  g NULL  -3.426e-01   3.690e+00  -0.09   99.000    5.000  100.174
OBS:  56210.188  r NULL  -2.795e+00   3.215e+00  -0.87   99.000    5.000   98.908
OBS:  56210.203  i NULL   2.500e-02   3.208e+00   0.01   99.000    5.000   98.998
OBS:  56210.234  z NULL  -4.031e+00   3.846e+00  -1.05   99.000    5.000   98.966
OBS:  56218.172  g NULL   2.104e-01   1.249e+00   0.17   99.000    5.000  100.174
