SURVEY: DES   
SNID:   122567   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.72734 +- 0.04050  (Helio, z_best) 
REDSHIFT_FINAL:   0.72734 +- 0.04050  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19387 
HOST_GALAXY_PHOTO-Z:   0.7273  +- 0.0405  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      4   (non1a index) 
SIM_COMMENT:  SN Type = IIL , MODEL = NUGENT2L  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.7253  
SIM_HOSTLIB_TRUEZ:  0.7300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19387  
SIM_DLMU:      43.241413  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0095   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   28.18  25.75  25.03  24.76  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56204.589844  days 
SIM_SALT2x0:   5.052e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -16.46   days 
SIM_TRESTMAX:    67.55   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56203.062  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 141 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL  -6.071e+00   4.765e+00  -1.27  128.000    0.000   28.515
OBS:  56176.199  r NULL  -2.258e+00   2.130e+00  -1.06  128.000    0.000   27.996
OBS:  56176.215  i NULL   1.274e+00   3.146e+00   0.40   27.237  100.763   27.876
OBS:  56176.238  z NULL  -3.472e+00   2.483e+00  -1.40  128.000    0.000   27.982
OBS:  56179.188  g NULL  -1.603e+00   2.585e+00  -0.62  128.000    0.000   28.028
OBS:  56179.195  r NULL   3.346e+00   1.711e+00   1.96   26.189    0.777   27.025
OBS:  56179.234  i NULL   5.129e+00   1.987e+00   2.58   25.725    0.531   26.785
OBS:  56179.266  z NULL   6.840e+00   3.731e+00   1.83   25.412    0.855   26.861
OBS:  56180.266  g NULL  -1.611e-01   2.551e+00  -0.06  128.000    0.000   27.910
OBS:  56180.281  r NULL   1.343e+00   1.302e+00   1.03   27.180    3.798   26.762
OBS:  56180.297  i NULL   7.538e+00   3.686e+00   2.05   25.307    0.728   26.506
OBS:  56180.328  z NULL   2.001e+00   4.486e+00   0.45   26.747  101.253   26.579
OBS:  56188.160  g NULL   6.067e+00   5.686e+00   1.07   25.543    3.003   27.293
OBS:  56188.176  r NULL   3.928e+00   5.573e+00   0.70   26.015  101.985   25.214
OBS:  56188.211  i NULL   1.766e+01   4.535e+00   3.89   24.383    0.322   24.640
OBS:  56188.238  z NULL   1.441e+01   3.411e+00   4.22   24.603    0.293   24.574
OBS:  56189.254  g NULL  -9.326e-01   2.286e+00  -0.41  128.000    0.000   27.230
OBS:  56189.270  r NULL   2.757e+00   3.272e+00   0.84   26.399  101.601   25.059
OBS:  56189.281  i NULL   1.127e+01   9.052e+00   1.24   24.871    1.768   24.466
OBS:  56189.312  z NULL   1.622e+01   2.982e+00   5.44   24.475    0.221   24.391
OBS:  56194.258  g NULL   1.538e+00   2.638e+00   0.58   27.033  100.967   27.202
OBS:  56194.270  r NULL   1.356e+01   1.515e+00   8.95   24.669    0.128   24.880
OBS:  56194.285  i NULL   2.219e+01   2.336e+00   9.50   24.135    0.120   24.248
OBS:  56194.305  z NULL   1.995e+01   2.416e+00   8.26   24.250    0.141   24.143
OBS:  56202.160  g NULL   1.874e+00   4.791e+00   0.39   26.818  101.182   27.872
OBS:  56202.176  r NULL   5.878e+00   2.327e+00   2.53   25.577    0.547   25.574
OBS:  56202.191  i NULL   6.647e+00   4.166e+00   1.60   25.443    1.071   24.895
OBS:  56202.215  z NULL   1.746e+01   2.732e+00   6.39   24.395    0.184   24.656
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56210.172  g NULL   2.710e+00   3.691e+00   0.73   26.418  101.582   29.510
OBS:  56210.188  r NULL   1.061e+00   3.216e+00   0.33   27.436  100.564   26.215
OBS:  56210.203  i NULL   1.172e+01   3.217e+00   3.64   24.828    0.348   25.335
OBS:  56210.234  z NULL   1.505e+01   3.856e+00   3.90   24.556    0.321   24.995
OBS:  56218.172  g NULL  -4.452e-01   1.249e+00  -0.36  128.000    0.000   37.584
OBS:  56218.191  r NULL   1.772e+00   9.580e-01   1.85   26.879    0.844   26.964
OBS:  56218.211  i NULL   5.278e+00   1.505e+00   3.51   25.694    0.364   25.807
OBS:  56219.156  z NULL   7.918e+00   1.939e+00   4.08   25.253    0.305   25.365
OBS:  56221.273  g NULL   2.444e+00   3.910e+00   0.63   26.530  101.470   40.502
OBS:  56221.281  r NULL  -5.587e+00   5.582e+00  -1.00  128.000    0.000   27.224
OBS:  56221.297  i NULL   4.544e+00   4.484e+00   1.01   25.856    4.692   25.971
OBS:  56221.324  z NULL   9.189e+00   1.440e+01   0.64   25.092  102.908   25.445
OBS:  56222.074  g NULL   1.207e+01   5.912e+00   2.04   24.796    0.730   41.659
OBS:  56222.090  r NULL   1.898e-01   2.626e+00   0.07   29.304   98.696   27.285
OBS:  56222.113  i NULL   8.168e+00   3.327e+00   2.46   25.220    0.567   26.011
OBS:  56222.133  z NULL   7.240e+00   5.058e+00   1.43   25.351    1.302   25.473
OBS:  56228.059  g NULL  -3.731e+00   7.693e+00  -0.48  128.000    0.000   40.269
OBS:  56228.066  r NULL   2.398e+00   2.391e+00   1.00   26.550    6.289   27.523
OBS:  56228.086  i NULL  -1.435e+00   5.108e+00  -0.28  128.000    0.000   26.217
OBS:  56228.109  z NULL   6.497e+00   4.135e+00   1.57   25.468    1.099   25.637
OBS:  56229.047  g NULL   3.334e+01   2.392e+01   1.39   23.693    1.372   39.065
OBS:  56229.059  r NULL  -1.427e+00   3.850e+00  -0.37  128.000    0.000   27.517
OBS:  56229.074  i NULL   7.054e+00   5.425e+00   1.30   25.379    1.591   26.234
OBS:  56229.102  z NULL   9.684e+00   4.852e+00   2.00   25.035    0.754   25.655
OBS:  56230.059  g NULL  -6.846e+00   6.572e+00  -1.04  128.000    0.000   38.007
OBS:  56230.102  r NULL   1.089e+00   2.916e+00   0.37   27.408  100.592   27.489
OBS:  56230.113  i NULL   7.663e+00   5.177e+00   1.48   25.289    1.222   26.244
OBS:  56230.145  z NULL   3.421e+00   2.666e+00   1.28   26.164    1.641   25.672
OBS:  56231.043  g NULL  -7.012e+00   6.046e+00  -1.16  128.000    0.000   33.465
OBS:  56231.059  r NULL   2.325e+00   2.551e+00   0.91   26.584  101.416   27.445
OBS:  56231.070  i NULL  -8.968e-01   4.240e+00  -0.21  128.000    0.000   26.246
OBS:  56231.102  z NULL   6.023e+00   3.280e+00   1.84   25.550    0.854   25.683
OBS:  56235.039  g NULL   4.889e+00   5.184e+00   0.94   25.777  102.223   30.377
OBS:  56235.047  r NULL   1.816e+00   3.706e+00   0.49   26.852  101.148   27.316
OBS:  56235.062  i NULL   3.918e-01   4.192e+00   0.09   28.517   99.483   26.277
OBS:  56235.090  z NULL   5.405e+00   8.232e+00   0.66   25.668  102.332   25.742
OBS:  56236.047  g NULL   1.087e+00   4.872e+00   0.22   27.410  100.590   30.456
OBS:  56236.062  r NULL   3.974e+00   2.661e+00   1.49   26.002    1.202   27.382
OBS:  56236.074  i NULL   1.277e+01   5.228e+00   2.44   24.735    0.571   26.327
OBS:  56236.105  z NULL   5.026e+00   5.320e+00   0.94   25.747  102.253   25.779
OBS:  56237.039  g NULL  -1.342e+00   3.164e+00  -0.42  128.000    0.000   30.536
OBS:  56237.051  r NULL  -2.725e-01   2.212e+00  -0.12  128.000    0.000   27.447
OBS:  56237.094  i NULL   7.072e+00   2.495e+00   2.83   25.376    0.472   26.378
OBS:  56237.125  z NULL   1.198e+01   3.702e+00   3.24   24.804    0.401   25.816
OBS:  56238.074  g NULL  -3.223e+00   2.523e+00  -1.28  128.000    0.000   30.623
OBS:  56238.094  r NULL   8.924e-01   1.588e+00   0.56   27.624  100.376   27.518
OBS:  56238.109  i NULL   1.359e+00   2.723e+00   0.50   27.167  100.833   26.429
OBS:  56238.129  z NULL   6.402e+00   3.108e+00   2.06   25.484    0.721   25.853
OBS:  56243.098  g NULL   2.725e+00   2.168e+00   1.26   26.412    1.723   31.103
OBS:  56243.109  r NULL  -6.182e-01   1.654e+00  -0.37  128.000    0.000   27.890
OBS:  56243.125  i NULL  -2.403e+00   2.565e+00  -0.94  128.000    0.000   26.695
OBS:  56243.152  z NULL   3.001e+00   2.551e+00   1.18   26.307    2.061   26.043
OBS:  56244.082  g NULL  -1.321e+00   2.191e+00  -0.60  128.000    0.000   31.213
