SURVEY: DES   
SNID:   123036   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.94377 +- 0.04310  (Helio, z_best) 
REDSHIFT_FINAL:   0.94377 +- 0.04310  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18739 
HOST_GALAXY_PHOTO-Z:   0.9438  +- 0.0431  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.9582  
SIM_HOSTLIB_TRUEZ:  0.9600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18739  
SIM_DLMU:      43.985561  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0254   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.134  mag  (host extinction at 5510 A)
SIM_RV:         2.001   (CCM89 extinction parameter) 
SIM_PEAKMAG:   44.05  25.33  24.27  24.18  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56183.812500  days 
SIM_DELTA:      0.132  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.868  
SIM_MAGDIM:    0.415  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -3.39   days 
SIM_TRESTMAX:    68.05   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56183.371  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 120 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL  -4.657e+00   4.787e+00  -0.97  128.000    0.000   43.947
OBS:  56177.188  r NULL   2.710e+00   5.336e+00   0.51   26.417  101.583   25.156
OBS:  56177.203  i NULL   2.292e+01   5.455e+00   4.20   24.100    0.295   24.349
OBS:  56177.234  z NULL   1.762e+01   4.704e+00   3.75   24.385    0.337   24.276
OBS:  56179.172  g NULL  -1.243e+00   2.238e+00  -0.56  128.000    0.000   43.927
OBS:  56179.312  r NULL   9.166e+00   3.037e+00   3.02   25.095    0.437   25.164
OBS:  56179.328  i NULL   2.372e+01   4.226e+00   5.61   24.062    0.213   24.289
OBS:  56179.359  z NULL   1.924e+01   3.537e+00   5.44   24.290    0.221   24.242
OBS:  56187.156  g NULL   1.941e+00   1.703e+00   1.14   26.780    2.274   44.158
OBS:  56187.172  r NULL   5.599e+00   1.260e+00   4.44   25.630    0.277   25.488
OBS:  56187.188  i NULL   1.583e+01   1.926e+00   8.22   24.501    0.142   24.333
OBS:  56187.211  z NULL   2.472e+01   2.226e+00  11.10   24.017    0.102   24.193
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56189.148  g NULL   1.629e+00   9.760e+00   0.17   26.970  101.030   44.307
OBS:  56189.160  r NULL   5.530e+00   3.880e+00   1.43   25.643    1.313   25.645
OBS:  56189.176  i NULL   2.331e+01   8.086e+00   2.88   24.081    0.462   24.390
OBS:  56189.203  z NULL   2.078e+01   4.709e+00   4.41   24.206    0.279   24.221
OBS:  56194.121  g NULL  -1.736e+00   3.771e+00  -0.46  128.000    0.000   44.780
OBS:  56194.129  r NULL   3.170e+00   2.351e+00   1.35   26.247    1.471   26.110
OBS:  56200.156  i NULL   7.191e+00   8.067e+00   0.89   25.358  102.642   24.914
OBS:  56200.180  z NULL   1.310e+01   5.641e+00   2.32   24.707    0.612   24.574
OBS:  56207.156  g NULL   2.609e+00   2.280e+00   1.14   26.459    2.248   45.651
OBS:  56207.172  r NULL   2.373e+00   1.604e+00   1.48   26.562    1.224   27.165
OBS:  56209.191  i NULL   5.953e+00   2.144e+00   2.78   25.563    0.485   25.505
OBS:  56209.215  z NULL   9.240e+00   2.208e+00   4.18   25.086    0.297   25.026
OBS:  56215.164  g NULL  -1.234e+00   1.595e+00  -0.77  128.000    0.000   46.367
OBS:  56215.180  r NULL  -3.747e-01   1.097e+00  -0.34  128.000    0.000   27.858
OBS:  56217.152  i NULL   5.469e+00   1.401e+00   3.90   25.655    0.321   26.159
OBS:  56217.191  z NULL   8.562e+00   1.825e+00   4.69   25.169    0.260   25.419
OBS:  56221.062  g NULL   4.675e+00   4.489e+00   1.04   25.825    3.494   46.595
OBS:  56221.074  r NULL  -3.320e+00   3.581e+00  -0.93  128.000    0.000   28.199
OBS:  56221.195  i NULL  -1.987e+01   1.346e+01  -1.48  128.000    0.000   26.389
OBS:  56221.227  z NULL  -2.936e+00   4.014e+00  -0.73  128.000    0.000   25.626
OBS:  56222.047  g NULL   9.157e+00   6.421e+00   1.43   25.096    1.311   46.623
OBS:  56222.062  r NULL  -6.537e-01   3.125e+00  -0.21  128.000    0.000   28.248
OBS:  56222.191  i NULL  -9.492e+00   9.793e+00  -0.97  128.000    0.000   26.443
OBS:  56222.211  z NULL   6.909e+00   4.837e+00   1.43   25.401    1.307   25.676
OBS:  56228.031  g NULL  -1.375e+01   2.612e+01  -0.53  128.000    0.000   46.989
OBS:  56228.047  r NULL  -5.893e-01   1.164e+01  -0.05  128.000    0.000   28.628
OBS:  56228.156  i NULL   6.627e+00   5.180e+00   1.28   25.447    1.651   26.761
OBS:  56228.188  z NULL   6.994e+00   2.846e+00   2.46   25.388    0.567   25.968
OBS:  56229.031  g NULL  -3.057e+01   3.075e+01  -0.99  128.000    0.000   47.010
OBS:  56229.156  r NULL   2.924e+00   3.595e+00   0.81   26.335  101.665   28.659
OBS:  56229.172  i NULL  -9.990e+00   7.055e+00  -1.42  128.000    0.000   26.802
OBS:  56229.199  z NULL   5.235e+00   2.927e+00   1.79   25.703    0.889   26.011
OBS:  56230.035  g NULL  -7.181e-01   9.315e+00  -0.08  128.000    0.000   47.028
OBS:  56230.043  r NULL   3.487e+00   3.864e+00   0.90   26.144  101.856   28.682
OBS:  56230.191  i NULL   6.533e+00   6.319e+00   1.03   25.462    3.704   26.852
OBS:  56230.215  z NULL   2.527e+00   2.922e+00   0.86   26.493  101.507   26.048
OBS:  56231.035  g NULL   4.117e+00   7.695e+00   0.54   25.963  102.037   47.049
OBS:  56231.156  r NULL  -6.706e+00   2.657e+00  -2.52  128.000    0.000   28.714
OBS:  56231.172  i NULL  -1.537e+00   4.791e+00  -0.32  128.000    0.000   26.901
OBS:  56231.191  z NULL   6.975e+00   3.020e+00   2.31   25.391    0.616   26.083
OBS:  56235.145  g NULL  -3.618e+00   3.787e+00  -0.96  128.000    0.000   47.182
OBS:  56235.160  r NULL   1.277e+00   1.757e+00   0.73   27.234  100.766   28.857
OBS:  56235.172  i NULL   2.530e+00   3.201e+00   0.79   26.492  101.508   27.121
OBS:  56235.195  z NULL   5.878e+00   2.938e+00   2.00   25.577    0.752   26.237
OBS:  56236.160  g NULL  -2.617e-01   2.000e+00  -0.13  128.000    0.000   47.198
OBS:  56236.172  r NULL   9.462e-03   1.875e+00   0.01   32.560   95.440   28.879
OBS:  56236.188  i NULL   1.902e+00   2.784e+00   0.68   26.802  101.198   27.174
OBS:  56236.207  z NULL   5.146e+00   3.192e+00   1.61   25.721    1.051   26.279
OBS:  56237.176  g NULL   3.408e+00   3.439e+00   0.99   26.169  101.831   47.197
OBS:  56237.188  r NULL   9.253e-01   2.252e+00   0.41   27.584  100.416   28.887
OBS:  56237.207  i NULL   3.618e+00   2.862e+00   1.26   26.104    1.699   27.218
OBS:  56237.238  z NULL   2.105e+00   3.868e+00   0.54   26.692  101.308   26.322
OBS:  56238.188  g NULL   1.845e-01   2.970e+00   0.06   29.335   98.665   47.177
