SURVEY: DES   
SNID:   123111   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.62121 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.62121 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.62121 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16743 
HOST_GALAXY_PHOTO-Z:   0.6065  +- 0.0353  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.6260  
SIM_HOSTLIB_TRUEZ:  0.6300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16743  
SIM_DLMU:      42.850914  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0166   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.18  23.54  23.31  23.34  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56159.332031  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   5.998e-06   
SIM_SALT2x1:   -0.1176   
SIM_SALT2c:     0.0597   
SIM_SALT2mB:   23.6900   
SIM_STRETCH:    0.882  
SIM_MAGDIM:    1.322  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    10.97   days 
SIM_TRESTMAX:    66.33   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56158.547  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 96 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   1.066e+01   4.792e+00   2.22   24.930    0.647   26.456
OBS:  56177.188  r NULL   1.659e+01   5.346e+00   3.10   24.451    0.423   24.351
OBS:  56177.203  i NULL   3.451e+01   5.477e+00   6.30   23.655    0.187   23.851
OBS:  56177.234  z NULL   2.952e+01   4.725e+00   6.25   23.825    0.190   23.714
OBS:  56179.172  g NULL   3.392e+00   2.242e+00   1.51   26.174    1.174   26.620
OBS:  56179.312  r NULL   1.505e+01   3.048e+00   4.94   24.556    0.246   24.500
OBS:  56179.328  i NULL   1.645e+01   4.216e+00   3.90   24.460    0.323   23.968
OBS:  56179.359  z NULL   3.141e+01   3.568e+00   8.80   23.757    0.131   23.790
OBS:  56187.156  g NULL   1.441e-01   1.704e+00   0.08   29.603   98.397   27.685
OBS:  56187.172  r NULL   1.010e+01   1.271e+00   7.95   24.989    0.146   25.142
OBS:  56187.188  i NULL   1.690e+01   1.929e+00   8.76   24.430    0.132   24.409
OBS:  56187.211  z NULL   2.703e+01   2.236e+00  12.09   23.920    0.093   24.000
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56189.148  g NULL  -9.427e+00   9.762e+00  -0.97  128.000    0.000   27.928
OBS:  56189.160  r NULL   9.905e+00   3.883e+00   2.55   25.010    0.540   25.295
OBS:  56189.176  i NULL   1.998e+01   8.082e+00   2.47   24.248    0.562   24.521
OBS:  56189.203  z NULL   2.370e+01   4.714e+00   5.03   24.063    0.241   24.050
OBS:  56194.121  g NULL  -4.723e+00   3.772e+00  -1.25  128.000    0.000   28.002
OBS:  56194.129  r NULL   4.069e+00   2.353e+00   1.73   25.976    0.938   25.676
OBS:  56200.156  i NULL   7.646e+00   8.067e+00   0.95   25.291  102.709   25.086
OBS:  56200.180  z NULL   2.073e+01   5.649e+00   3.67   24.209    0.345   24.328
OBS:  56207.156  g NULL   1.527e+00   2.280e+00   0.67   27.040  100.960   28.640
OBS:  56207.172  r NULL   8.585e-01   1.604e+00   0.54   27.666  100.334   26.375
OBS:  56209.191  i NULL   8.164e+00   2.147e+00   3.80   25.220    0.331   25.538
OBS:  56209.215  z NULL   1.706e+01   2.225e+00   7.67   24.420    0.151   24.585
OBS:  56215.164  g NULL   1.309e+00   1.596e+00   0.82   27.208  100.792   29.616
