SURVEY: DES   
SNID:   127074   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.71418 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.71418 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.71418 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19973 
HOST_GALAXY_PHOTO-Z:   0.7412  +- 0.0148  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.7180  
SIM_HOSTLIB_TRUEZ:  0.7200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19973  
SIM_DLMU:      43.214546  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0984   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.047  mag  (host extinction at 5510 A)
SIM_RV:         2.042   (CCM89 extinction parameter) 
SIM_PEAKMAG:   25.54  23.60  23.28  23.23  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56214.851562  days 
SIM_DELTA:      0.060  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.940  
SIM_MAGDIM:    0.289  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -21.31   days 
SIM_TRESTMAX:    65.91   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56214.113  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 111 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   3.926e+00   1.048e+01   0.37   99.000    5.000   99.000
OBS:  56178.250  r NULL  -1.257e+00   7.841e+00  -0.16   99.000    5.000   99.000
OBS:  56178.266  i NULL  -1.613e+01   9.316e+00  -1.73   99.000    5.000   99.000
OBS:  56179.211  z NULL  -9.005e+00   5.331e+00  -1.69   99.000    5.000   99.000
OBS:  56180.219  g NULL   1.706e-01   3.205e+00   0.05   99.000    5.000   99.000
OBS:  56180.234  r NULL   1.519e-01   2.425e+00   0.06   99.000    5.000   99.000
OBS:  56180.250  i NULL  -1.475e+00   4.310e+00  -0.34   99.000    5.000   99.000
OBS:  56188.191  z NULL  -3.133e+00   2.732e+01  -0.11  128.000    0.000   26.226
OBS:  56188.340  g NULL   1.757e+01   2.557e+01   0.69   24.388  103.612   29.356
OBS:  56188.355  r NULL   1.150e+00   4.154e+00   0.28   27.348  100.652   26.717
OBS:  56189.195  i NULL   1.626e+01   3.095e+01   0.53   24.472  103.528   26.081
OBS:  56194.215  g NULL  -5.373e+00   4.767e+00  -1.13  128.000    0.000   27.584
OBS:  56194.223  r NULL   2.842e+00   5.407e+00   0.53   26.366  101.634   25.386
OBS:  56194.227  z NULL   8.548e+00   6.545e+00   1.31   25.170    1.576   24.924
OBS:  56200.234  i NULL   1.590e+01   1.199e+01   1.33   24.497    1.525   24.051
OBS:  56208.160  g NULL   1.049e+01   3.002e+00   3.49   24.948    0.366   25.275
OBS:  56208.176  r NULL   3.624e+01   2.553e+00  14.19   23.602    0.079   23.638
OBS:  56208.191  z NULL   3.250e+01   4.983e+00   6.52   23.720    0.182   23.383
OBS:  56210.156  i NULL   3.676e+01   7.072e+00   5.20   23.586    0.233   23.337
OBS:  56216.164  g NULL   5.160e+00   2.707e+00   1.91   25.718    0.808   25.581
OBS:  56216.176  r NULL   3.833e+01   2.192e+00  17.48   23.541    0.063   23.639
OBS:  56216.191  z NULL   4.687e+01   4.149e+00  11.30   23.323    0.101   23.220
OBS:  56219.211  i NULL   4.760e+01   3.148e+00  15.12   23.306    0.074   23.315
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56221.148  g NULL   2.417e+01   1.593e+01   1.52   24.042    1.167   26.117
OBS:  56221.160  r NULL   3.748e+01   6.111e+00   6.13   23.566    0.193   23.855
OBS:  56221.176  z NULL   6.393e+01   1.545e+01   4.14   22.986    0.300   23.238
OBS:  56222.105  i NULL   4.819e+01   9.249e+00   5.21   23.293    0.231   23.394
