SURVEY: DES   
SNID:   132973   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.87995 +- 0.01560  (Helio, z_best) 
REDSHIFT_FINAL:   0.87995 +- 0.01560  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14211 
HOST_GALAXY_PHOTO-Z:   0.8800  +- 0.0156  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.8848  
SIM_HOSTLIB_TRUEZ:  0.8800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14211  
SIM_DLMU:      43.771873  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0320   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.16  25.00  24.02  24.00  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56343.062500  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.529e-06   
SIM_SALT2x1:    0.4322   
SIM_SALT2c:     0.0839   
SIM_SALT2mB:   24.6277   
SIM_STRETCH:    1.432  
SIM_MAGDIM:    1.339  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -36.54   days 
SIM_TRESTMAX:     3.15   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56342.922  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 37 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56274.188  g NULL   3.663e+00   3.587e+00   1.02   99.000    5.000   98.294
OBS:  56274.195  r NULL   5.826e+00   2.732e+00   2.13   99.000    5.000   99.196
OBS:  56274.203  i NULL   2.319e+00   4.260e+00   0.54   99.000    5.000   99.096
OBS:  56274.219  z NULL  -1.031e+00   5.010e+00  -0.21   99.000    5.000   99.104
OBS:  56282.203  g NULL  -4.572e+00   6.353e+00  -0.72   99.000    5.000   98.294
OBS:  56283.156  r NULL  -4.036e+00   3.130e+00  -1.29   99.000    5.000   99.196
OBS:  56283.168  i NULL  -4.805e+00   5.038e+00  -0.95   99.000    5.000   99.096
OBS:  56283.184  z NULL  -3.312e+00   4.104e+00  -0.81   99.000    5.000   99.104
OBS:  56288.191  g NULL  -1.544e+00   1.255e+01  -0.12   99.000    5.000   98.294
OBS:  56289.066  r NULL   6.168e+00   5.048e+00   1.22   99.000    5.000   99.196
OBS:  56289.078  i NULL  -1.211e+00   8.733e+00  -0.14   99.000    5.000   99.096
OBS:  56289.086  z NULL   7.865e+00   5.623e+00   1.40   99.000    5.000   99.104
OBS:  56292.090  g NULL   9.117e-01   1.142e+01   0.08   99.000    5.000   98.294
OBS:  56298.039  r NULL   1.470e+00   2.411e+00   0.61   99.000    5.000   99.196
OBS:  56298.047  i NULL   5.799e+00   3.551e+00   1.63   99.000    5.000   99.096
OBS:  56298.055  z NULL  -3.121e+00   3.958e+00  -0.79   99.000    5.000   99.104
OBS:  56304.043  g NULL   2.182e+00   2.546e+00   0.86   99.000    5.000   98.294
OBS:  56306.102  r NULL   3.937e+00   3.208e+00   1.23   26.012    1.830   32.131
OBS:  56306.113  i NULL   4.802e+00   4.304e+00   1.12   25.797    2.460   30.859
OBS:  56306.121  z NULL  -4.186e+00   5.389e+00  -0.78  128.000    0.000   30.952
OBS:  56312.047  g NULL   1.045e+01   9.604e+00   1.09   24.952    2.726   29.060
OBS:  56318.066  r NULL   7.908e+00   4.573e+00   1.73   25.255    0.937   26.787
OBS:  56318.078  i NULL  -2.656e+00   7.971e+00  -0.33  128.000    0.000   25.621
OBS:  56318.086  z NULL   9.197e+00   6.370e+00   1.44   25.091    1.280   25.711
OBS:  56320.035  g NULL  -2.138e+01   1.146e+01  -1.87  128.000    0.000   27.547
