SURVEY: DES   
SNID:   134098   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.98522 +- 0.02220  (Helio, z_best) 
REDSHIFT_FINAL:   0.98522 +- 0.02220  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14215 
HOST_GALAXY_PHOTO-Z:   0.9852  +- 0.0222  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  1.0082  
SIM_HOSTLIB_TRUEZ:  1.0100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14215  
SIM_DLMU:      44.122208  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0738   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   29.09  25.24  24.11  24.08  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56308.054688  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.805e-06   
SIM_SALT2x1:   -0.3554   
SIM_SALT2c:    -0.0879   
SIM_SALT2mB:   24.5150   
SIM_STRETCH:    0.645  
SIM_MAGDIM:    0.876  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.72   days 
SIM_TRESTMAX:    21.40   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56308.629  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 93 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56228.297  g NULL  -5.885e+00   1.503e+01  -0.39   99.000    5.000   98.934
OBS:  56228.305  r NULL   2.067e+00   5.493e+00   0.38   99.000    5.000   99.289
OBS:  56228.312  i NULL  -1.234e+01   9.414e+00  -1.31   99.000    5.000   99.249
OBS:  56228.320  z NULL   1.621e-01   5.800e+00   0.03   99.000    5.000   99.246
OBS:  56229.320  g NULL   1.511e+01   1.406e+01   1.07   99.000    5.000   98.934
OBS:  56229.332  r NULL   1.547e-02   7.251e+00   0.00   99.000    5.000   99.289
OBS:  56229.348  i NULL   1.012e+01   1.295e+01   0.78   99.000    5.000   99.249
OBS:  56230.070  z NULL   5.247e+00   7.134e+00   0.74   99.000    5.000   99.246
OBS:  56230.316  g NULL  -2.759e+01   1.369e+01  -2.02   99.000    5.000   98.934
OBS:  56230.328  r NULL  -4.439e+00   6.673e+00  -0.67   99.000    5.000   99.289
OBS:  56230.344  i NULL  -6.708e+00   1.239e+01  -0.54   99.000    5.000   99.249
OBS:  56231.301  g NULL  -8.998e-01   1.166e+01  -0.08   99.000    5.000   98.934
OBS:  56231.316  r NULL   3.544e+00   6.018e+00   0.59   99.000    5.000   99.289
OBS:  56231.328  i NULL   1.152e-01   1.047e+01   0.01   99.000    5.000   99.249
OBS:  56231.344  z NULL   3.072e+00   5.790e+00   0.53   99.000    5.000   99.246
OBS:  56235.297  g NULL  -6.641e+00   9.637e+00  -0.69   99.000    5.000   98.934
OBS:  56235.312  r NULL  -8.757e+00   4.662e+00  -1.88   99.000    5.000   99.289
OBS:  56235.324  i NULL  -4.444e-01   6.640e+00  -0.07   99.000    5.000   99.249
OBS:  56235.340  z NULL  -2.041e+00   6.749e+00  -0.30   99.000    5.000   99.246
OBS:  56236.312  g NULL   4.952e+00   7.810e+00   0.63   99.000    5.000   98.934
OBS:  56236.324  r NULL   3.718e+00   3.729e+00   1.00   99.000    5.000   99.289
OBS:  56236.340  i NULL   3.879e+00   6.080e+00   0.64   99.000    5.000   99.249
OBS:  56237.074  z NULL   4.061e+00   7.011e+00   0.58   99.000    5.000   99.246
OBS:  56237.340  g NULL   1.455e+01   1.182e+01   1.23   99.000    5.000   98.934
OBS:  56238.051  r NULL  -4.624e+00   4.311e+00  -1.07   99.000    5.000   99.289
OBS:  56238.059  i NULL   1.955e-01   5.466e+00   0.04   99.000    5.000   99.249
OBS:  56238.340  g NULL   1.218e+01   1.062e+01   1.15   99.000    5.000   98.934
OBS:  56243.047  z NULL  -1.617e+00   8.327e+00  -0.19   99.000    5.000   99.246
OBS:  56243.320  g NULL  -6.407e-01   4.199e+00  -0.15   99.000    5.000   98.934
OBS:  56243.336  r NULL   1.957e+00   3.298e+00   0.59   99.000    5.000   99.289
OBS:  56244.039  i NULL  -3.833e-01   7.032e+00  -0.05   99.000    5.000   99.249
OBS:  56244.309  g NULL  -5.104e+00   4.124e+00  -1.24   99.000    5.000   98.934
OBS:  56244.320  r NULL  -5.415e+00   3.225e+00  -1.68   99.000    5.000   99.289
OBS:  56245.047  z NULL  -3.190e+00   5.010e+00  -0.64   99.000    5.000   99.246
OBS:  56245.320  g NULL   2.257e+00   4.228e+00   0.53   99.000    5.000   98.934
OBS:  56246.055  r NULL   1.147e+00   2.383e+00   0.48   99.000    5.000   99.289
OBS:  56246.070  i NULL  -4.202e+00   3.884e+00  -1.08   99.000    5.000   99.249
OBS:  56247.223  g NULL  -2.491e+00   2.980e+00  -0.84   99.000    5.000   98.934
OBS:  56247.230  z NULL   1.685e+00   4.385e+00   0.38   99.000    5.000   99.246
OBS:  56248.305  r NULL  -1.341e+00   2.373e+00  -0.56   99.000    5.000   99.289
OBS:  56248.316  i NULL  -5.922e-01   4.227e+00  -0.14   99.000    5.000   99.249
OBS:  56258.152  g NULL  -3.535e+00   1.263e+01  -0.28   99.000    5.000   98.934
OBS:  56258.168  z NULL   2.479e+00   5.982e+00   0.41   99.000    5.000   99.246
OBS:  56258.273  r NULL   5.073e+00   7.778e+00   0.65   99.000    5.000   99.289
OBS:  56258.281  i NULL   1.202e+01   1.262e+01   0.95   99.000    5.000   99.249
OBS:  56261.266  g NULL   2.944e+01   1.010e+01   2.91   99.000    5.000   98.934
OBS:  56261.273  r NULL  -5.383e+00   4.185e+00  -1.29   99.000    5.000   99.289
OBS:  56261.281  i NULL  -1.156e+00   7.029e+00  -0.16   99.000    5.000   99.249
OBS:  56261.289  z NULL  -1.953e+00   4.892e+00  -0.40   99.000    5.000   99.246
OBS:  56275.152  g NULL  -2.652e+00   3.310e+00  -0.80   99.000    5.000   98.934
OBS:  56275.172  r NULL  -2.013e+00   2.240e+00  -0.90  128.000    0.000   29.795
OBS:  56275.191  i NULL   2.419e+00   4.492e+00   0.54   26.541  101.459   27.626
OBS:  56275.203  z NULL  -1.200e+01   5.330e+00  -2.25  128.000    0.000   27.557
OBS:  56283.203  g NULL   8.280e+00   6.287e+00   1.32   99.000    5.000   98.934
OBS:  56283.211  r NULL   3.210e+00   3.327e+00   0.96   26.234  101.766   27.208
OBS:  56283.215  i NULL   3.287e+00   5.818e+00   0.57   26.208  101.792   25.823
OBS:  56283.223  z NULL   9.676e+00   5.047e+00   1.92   25.036    0.800   25.796
OBS:  56288.199  g NULL   3.203e+00   1.179e+01   0.27   99.000    5.000   98.934
