SURVEY: DES   
SNID:   134178   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.31772 +- 0.03740  (Helio, z_best) 
REDSHIFT_FINAL:   0.31772 +- 0.03740  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17518 
HOST_GALAXY_PHOTO-Z:   0.3177  +- 0.0374  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      3   (non1a index) 
SIM_COMMENT:  SN Type = IIP , MODEL = NUGENT2P  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.3522  
SIM_HOSTLIB_TRUEZ:  0.3500  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17518  
SIM_DLMU:      41.360012  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0192   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.91  22.70  22.66  22.40  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56262.691406  days 
SIM_SALT2x0:   2.858e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.56   days 
SIM_TRESTMAX:    65.30   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56262.438  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 113 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56209.191  i NULL  -2.312e+00   2.140e+00  -1.08   99.000    5.000   96.764
OBS:  56209.215  z NULL   2.462e+00   2.201e+00   1.12   99.000    5.000   96.747
OBS:  56215.164  g NULL  -8.803e-01   1.595e+00  -0.55   99.000    5.000   96.725
OBS:  56215.180  r NULL   7.364e-01   1.096e+00   0.67   99.000    5.000   96.665
OBS:  56217.152  i NULL   2.120e+00   1.396e+00   1.52   99.000    5.000   96.764
OBS:  56217.191  z NULL   2.712e-01   1.816e+00   0.15   99.000    5.000   96.747
OBS:  56221.062  g NULL  -1.829e+00   4.488e+00  -0.41   99.000    5.000   96.725
OBS:  56221.074  r NULL  -1.070e+00   3.581e+00  -0.30   99.000    5.000   96.665
OBS:  56221.195  i NULL  -2.370e+01   1.346e+01  -1.76   99.000    5.000   96.764
OBS:  56221.227  z NULL  -2.872e+00   4.014e+00  -0.72   99.000    5.000   96.747
OBS:  56222.047  g NULL   7.989e+00   6.421e+00   1.24   99.000    5.000   96.725
OBS:  56222.062  r NULL   3.722e+00   3.126e+00   1.19   99.000    5.000   96.665
OBS:  56222.191  i NULL  -2.941e+00   9.790e+00  -0.30   99.000    5.000   96.764
OBS:  56222.211  z NULL   4.222e-01   4.835e+00   0.09   99.000    5.000   96.747
OBS:  56228.031  g NULL   7.777e-01   2.612e+01   0.03   99.000    5.000   96.725
OBS:  56228.047  r NULL   8.566e+00   1.164e+01   0.74   99.000    5.000   96.665
OBS:  56228.156  i NULL   5.191e+00   5.179e+00   1.00   99.000    5.000   96.764
OBS:  56228.188  z NULL  -6.063e-01   2.842e+00  -0.21   99.000    5.000   96.747
OBS:  56229.031  g NULL  -2.804e+01   3.075e+01  -0.91   99.000    5.000   96.725
OBS:  56229.156  r NULL   1.791e+00   3.595e+00   0.50   99.000    5.000   96.665
OBS:  56229.172  i NULL   1.071e+00   7.053e+00   0.15   99.000    5.000   96.764
OBS:  56229.199  z NULL   1.698e+00   2.926e+00   0.58   99.000    5.000   96.747
OBS:  56230.035  g NULL  -8.235e-01   9.315e+00  -0.09   99.000    5.000   96.725
OBS:  56230.043  r NULL  -1.008e+00   3.863e+00  -0.26   99.000    5.000   96.665
OBS:  56230.191  i NULL  -1.576e+01   6.324e+00  -2.49   99.000    5.000   96.764
OBS:  56230.215  z NULL  -3.934e-01   2.921e+00  -0.13   99.000    5.000   96.747
OBS:  56231.035  g NULL   1.589e+01   7.700e+00   2.06   99.000    5.000   96.725
OBS:  56231.156  r NULL   7.211e-01   2.654e+00   0.27   99.000    5.000   96.665
OBS:  56231.172  i NULL  -6.463e+00   4.792e+00  -1.35   99.000    5.000   96.764
OBS:  56231.191  z NULL  -7.993e-01   3.017e+00  -0.26   99.000    5.000   96.747
OBS:  56235.145  g NULL   2.427e+00   3.787e+00   0.64   99.000    5.000   96.725
OBS:  56235.160  r NULL  -2.570e+00   1.757e+00  -1.46   99.000    5.000   96.665
OBS:  56235.172  i NULL   5.410e-01   3.200e+00   0.17   99.000    5.000   96.764
OBS:  56235.195  z NULL  -7.489e-01   2.936e+00  -0.26   99.000    5.000   96.747
OBS:  56236.160  g NULL   1.238e+00   2.000e+00   0.62   99.000    5.000   96.725
OBS:  56236.172  r NULL   1.746e+00   1.875e+00   0.93   99.000    5.000   96.665
OBS:  56236.188  i NULL   4.499e+00   2.784e+00   1.62   99.000    5.000   96.764
OBS:  56236.207  z NULL  -3.829e-01   3.190e+00  -0.12   99.000    5.000   96.747
OBS:  56237.176  g NULL  -9.898e+00   3.443e+00  -2.87   99.000    5.000   96.725
OBS:  56237.188  r NULL   4.029e+00   2.253e+00   1.79   99.000    5.000   96.665
OBS:  56237.207  i NULL   1.296e-01   2.861e+00   0.05   99.000    5.000   96.764
OBS:  56237.238  z NULL  -9.327e-01   3.867e+00  -0.24   99.000    5.000   96.747
OBS:  56238.188  g NULL   3.909e+00   2.971e+00   1.32   99.000    5.000   96.725
OBS:  56238.199  r NULL   1.519e+00   2.023e+00   0.75   99.000    5.000   96.665
OBS:  56238.219  i NULL  -1.360e+00   3.235e+00  -0.42   99.000    5.000   96.764
OBS:  56238.250  z NULL   3.504e+00   4.862e+00   0.72   99.000    5.000   96.747
OBS:  56243.203  g NULL   2.016e+01   1.768e+00  11.40   24.239    0.100   24.252
OBS:  56243.211  r NULL   2.990e+01   1.365e+00  21.91   23.811    0.051   23.780
OBS:  56243.223  i NULL   2.365e+01   1.910e+00  12.39   24.065    0.091   24.072
OBS:  56243.250  z NULL   3.190e+01   2.492e+00  12.80   23.741    0.088   23.732
OBS:  56244.180  g NULL   2.632e+01   1.900e+00  13.85   23.949    0.081   23.932
OBS:  56244.188  r NULL   4.018e+01   1.587e+00  25.31   23.490    0.044   23.445
OBS:  56244.203  i NULL   3.171e+01   2.084e+00  15.22   23.747    0.074   23.735
OBS:  56244.223  z NULL   3.969e+01   2.356e+00  16.85   23.503    0.067   23.391
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56245.191  g NULL   3.151e+01   4.889e+00   6.45   23.754    0.183   23.663
OBS:  56245.199  r NULL   5.208e+01   1.551e+00  33.58   23.208    0.033   23.159
OBS:  56245.219  i NULL   4.143e+01   2.230e+00  18.57   23.457    0.060   23.446
OBS:  56245.246  z NULL   6.126e+01   6.034e+00  10.15   23.032    0.112   23.101
OBS:  56246.234  g NULL   3.560e+01   2.172e+00  16.39   23.621    0.069   23.559
OBS:  56246.246  r NULL   5.972e+01   3.398e+00  17.57   23.060    0.064   22.978
OBS:  56246.262  i NULL   4.569e+01   5.723e+00   7.98   23.350    0.146   23.243
OBS:  56246.285  z NULL   7.848e+01   1.286e+01   6.10   22.763    0.194   22.909
OBS:  56248.207  g NULL   4.437e+01   2.008e+00  22.10   23.382    0.050   23.415
OBS:  56248.215  r NULL   8.098e+01   2.041e+00  39.68   22.729    0.028   22.689
OBS:  56248.230  i NULL   6.797e+01   2.563e+00  26.52   22.919    0.042   22.915
OBS:  56248.250  z NULL   8.996e+01   3.471e+00  25.92   22.615    0.043   22.598
OBS:  56258.242  g NULL   3.380e+01   8.119e+00   4.16   23.678    0.298   23.610
OBS:  56258.258  r NULL   1.026e+02   4.829e+00  21.24   22.472    0.052   22.540
OBS:  56259.160  i NULL   9.473e+01   4.884e+00  19.40   22.559    0.057   22.619
OBS:  56259.180  z NULL   1.164e+02   3.756e+00  30.98   22.335    0.036   22.342
OBS:  56261.215  g NULL   2.805e+01   4.013e+00   6.99   23.880    0.168   23.814
OBS:  56261.230  r NULL   8.466e+01   2.459e+00  34.43   22.681    0.032   22.670
OBS:  56267.156  i NULL   8.390e+01   2.731e+00  30.73   22.691    0.036   22.681
OBS:  56267.180  z NULL   1.115e+02   3.697e+00  30.17   22.381    0.036   22.436
OBS:  56274.160  g NULL   1.660e+01   2.079e+00   7.98   24.450    0.145   24.628
OBS:  56274.176  r NULL   6.760e+01   1.944e+00  34.78   22.925    0.031   22.955
OBS:  56275.223  i NULL   8.278e+01   3.396e+00  24.38   22.705    0.045   22.801
OBS:  56276.191  z NULL   9.415e+01   3.833e+00  24.56   22.565    0.045   22.578
OBS:  56282.160  g NULL   1.201e+01   3.421e+00   3.51   24.801    0.364   24.946
OBS:  56282.184  r NULL   4.898e+01   2.381e+00  20.57   23.275    0.055   23.201
OBS:  56287.160  i NULL   5.607e+01   5.102e+00  10.99   23.128    0.104   23.095
OBS:  56287.191  z NULL   7.412e+01   4.137e+00  17.92   22.825    0.063   22.799
OBS:  56289.035  g NULL   1.813e+01   1.190e+01   1.52   24.354    1.159   25.114
OBS:  56289.043  r NULL   4.657e+01   4.280e+00  10.88   23.330    0.104   23.420
OBS:  56289.152  i NULL   5.728e+01   4.465e+00  12.83   23.105    0.088   23.128
OBS:  56289.176  z NULL   6.960e+01   4.653e+00  14.96   22.893    0.076   22.827
OBS:  56297.039  g NULL   7.062e+00   1.599e+00   4.42   25.378    0.279   25.470
OBS:  56297.047  r NULL   3.591e+01   1.412e+00  25.43   23.612    0.044   23.615
OBS:  56297.062  i NULL   5.253e+01   2.122e+00  24.76   23.199    0.044   23.238
OBS:  56297.090  z NULL   6.591e+01   2.458e+00  26.82   22.953    0.042   22.921
OBS:  56305.094  g NULL   6.173e+00   1.658e+00   3.72   25.524    0.339   25.722
OBS:  56305.102  r NULL   3.260e+01   1.453e+00  22.44   23.717    0.049   23.750
OBS:  56305.113  i NULL   4.939e+01   2.391e+00  20.66   23.266    0.054   23.307
OBS:  56306.043  z NULL   6.175e+01   2.951e+00  20.93   23.023    0.053   22.981
OBS:  56313.047  g NULL   6.468e+00   5.964e+00   1.08   25.473    2.770   25.753
OBS:  56313.055  r NULL   3.534e+01   2.617e+00  13.50   23.629    0.083   23.794
OBS:  56313.090  i NULL   4.602e+01   3.206e+00  14.35   23.343    0.079   23.324
OBS:  56317.066  z NULL   6.126e+01   4.402e+00  13.91   23.032    0.081   22.978
OBS:  56321.035  g NULL   4.138e+00   2.921e+00   1.42   25.958    1.329   25.639
OBS:  56321.043  r NULL   3.080e+01   1.497e+00  20.57   23.779    0.054   23.774
OBS:  56321.066  i NULL   5.105e+01   3.369e+00  15.15   23.230    0.074   23.308
OBS:  56326.039  z NULL   6.842e+01   2.908e+00  23.53   22.912    0.047   22.966
OBS:  56333.043  g NULL   5.353e+00   1.826e+00   2.93   25.678    0.453   25.956
OBS:  56333.051  r NULL   3.060e+01   1.511e+00  20.25   23.786    0.054   23.904
OBS:  56334.043  i NULL   4.764e+01   2.364e+00  20.15   23.305    0.055   23.369
OBS:  56335.043  z NULL   6.631e+01   3.604e+00  18.40   22.946    0.061   22.947
OBS:  56344.992  g NULL   3.356e+00   4.329e+00   0.78   26.185  101.815   26.354
OBS:  56345.000  r NULL   2.150e+01   1.914e+00  11.23   24.169    0.102   24.009
OBS:  56345.016  i NULL   4.568e+01   3.562e+00  12.82   23.351    0.088   23.407
OBS:  56345.992  z NULL   6.978e+01   3.925e+00  17.78   22.891    0.063   22.893
OBS:  56349.996  g NULL   1.425e+00   3.965e+00   0.36   27.115  100.885   26.560
OBS:  56350.004  r NULL   2.490e+01   2.118e+00  11.76   24.009    0.096   24.043
OBS:  56350.996  i NULL   4.190e+01   3.129e+00  13.39   23.444    0.084   23.421
END: 
