SURVEY: DES   
SNID:   135094   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      36.750000  deg 
DECL:    -4.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0283    MW E(B-V) 
REDSHIFT_HELIO:   0.40722 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.40722 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.40722 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14257 
HOST_GALAXY_PHOTO-Z:   0.4390  +- 0.0474  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  2  
SIM_REDSHIFT:  0.4084  
SIM_HOSTLIB_TRUEZ:  0.4100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14257  
SIM_DLMU:      41.737885  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        36.750000 deg  
SIM_DECL:      -4.500000 deg  
SIM_MWEBV:   0.0218   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.26  21.72  21.78  22.09  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56169.292969  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.764e-05   
SIM_SALT2x1:    1.6600   
SIM_SALT2c:    -0.0497   
SIM_SALT2mB:   22.0311   
SIM_STRETCH:    2.660  
SIM_MAGDIM:    0.776  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:     6.32   days 
SIM_TRESTMAX:    65.30   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56171.512  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 83 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.188  g NULL   6.775e+01   9.571e+00   7.08   22.923    0.166   22.790
OBS:  56178.195  r NULL   1.781e+02   7.954e+00  22.39   21.874    0.049   21.903
OBS:  56178.203  i NULL   1.836e+02   7.689e+00  23.87   21.841    0.047   21.825
OBS:  56178.211  z NULL   1.564e+02   8.450e+00  18.51   22.014    0.060   22.140
OBS:  56180.172  g NULL   6.067e+01   4.317e+00  14.05   23.043    0.081   22.937
OBS:  56180.188  r NULL   1.687e+02   4.545e+00  37.12   21.932    0.029   21.978
OBS:  56180.195  i NULL   1.730e+02   5.511e+00  31.39   21.905    0.036   21.868
OBS:  56180.203  z NULL   1.418e+02   5.641e+00  25.13   22.121    0.043   22.196
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.148  g NULL   9.465e+00   1.802e+01   0.53   25.060  102.940   23.525
OBS:  56188.289  r NULL   1.085e+02   4.561e+00  23.80   22.411    0.047   22.410
OBS:  56188.297  i NULL   1.294e+02   8.546e+00  15.14   22.220    0.074   22.181
OBS:  56188.312  z NULL   8.699e+01   5.650e+00  15.40   22.651    0.073   22.596
OBS:  56194.145  g NULL   2.880e+01   4.761e+00   6.05   23.852    0.196   24.088
OBS:  56194.156  r NULL   7.933e+01   3.198e+00  24.81   22.751    0.045   22.753
OBS:  56194.172  i NULL   1.051e+02   5.086e+00  20.66   22.446    0.054   22.442
OBS:  56194.188  z NULL   8.946e+01   4.781e+00  18.71   22.621    0.059   22.730
OBS:  56207.188  g NULL   7.973e+00   4.387e+00   1.82   25.246    0.868   25.146
OBS:  56207.195  r NULL   4.523e+01   3.581e+00  12.63   23.361    0.089   23.570
OBS:  56207.203  i NULL   8.491e+01   6.470e+00  13.12   22.678    0.086   22.727
OBS:  56207.219  z NULL   8.623e+01   6.177e+00  13.96   22.661    0.081   22.685
OBS:  56215.195  g NULL   9.068e+00   2.715e+00   3.34   25.106    0.386   25.180
OBS:  56215.203  r NULL   2.621e+01   2.250e+00  11.65   23.954    0.097   24.059
OBS:  56215.211  i NULL   5.725e+01   2.884e+00  19.85   23.105    0.057   23.035
OBS:  56215.227  z NULL   6.359e+01   3.643e+00  17.46   22.991    0.065   22.870
OBS:  56221.090  g NULL   1.041e+01   6.283e+00   1.66   24.956    1.004   25.409
OBS:  56221.105  r NULL   1.336e+01   5.098e+00   2.62   24.686    0.523   24.281
OBS:  56221.113  i NULL   5.654e+01   5.696e+00   9.93   23.119    0.115   23.268
OBS:  56221.117  z NULL   4.892e+01   7.767e+00   6.30   23.276    0.188   23.141
OBS:  56222.270  g NULL   1.167e+01   7.748e+00   1.51   24.832    1.183   25.488
OBS:  56222.273  r NULL   2.193e+01   5.724e+00   3.83   24.148    0.328   24.289
OBS:  56222.281  i NULL   4.564e+01   1.702e+01   2.68   23.352    0.507   23.307
OBS:  56222.289  z NULL   6.945e+01   8.177e+00   8.49   22.896    0.135   23.198
OBS:  56228.234  g NULL  -2.715e+00   1.235e+01  -0.22  128.000    0.000   25.996
OBS:  56228.242  r NULL   3.909e+01   5.626e+00   6.95   23.520    0.168   24.286
OBS:  56228.258  i NULL   3.202e+01   1.205e+01   2.66   23.736    0.513   23.483
OBS:  56228.270  z NULL   5.430e+01   6.732e+00   8.07   23.163    0.143   23.507
OBS:  56229.258  g NULL   9.563e+00   1.721e+01   0.56   25.048  102.951   26.068
OBS:  56229.270  r NULL   3.420e+01   8.096e+00   4.22   23.665    0.293   24.302
OBS:  56229.285  i NULL   3.902e+01   1.509e+01   2.59   23.522    0.531   23.512
OBS:  56229.297  z NULL   3.630e+01   8.930e+00   4.06   23.600    0.307   23.560
OBS:  56230.273  g NULL   1.907e+01   1.383e+01   1.38   24.299    1.403   26.133
OBS:  56230.277  r NULL   1.722e+01   6.420e+00   2.68   24.410    0.507   24.322
OBS:  56230.285  i NULL   3.447e+01   1.122e+01   3.07   23.656    0.428   23.539
OBS:  56230.293  z NULL   4.948e+01   6.231e+00   7.94   23.264    0.145   23.612
OBS:  56231.242  g NULL   1.195e+01   9.782e+00   1.22   24.807    1.853   26.189
OBS:  56231.258  r NULL   1.125e+01   4.957e+00   2.27   24.872    0.632   24.345
OBS:  56231.273  i NULL   4.689e+01   9.704e+00   4.83   23.322    0.251   23.566
OBS:  56231.277  z NULL   4.962e+01   5.390e+00   9.21   23.261    0.124   23.664
OBS:  56235.242  g NULL  -6.502e+00   6.871e+00  -0.95  128.000    0.000   26.316
OBS:  56235.258  r NULL   1.140e+01   3.925e+00   2.90   24.858    0.459   24.487
OBS:  56235.270  i NULL   3.804e+01   7.292e+00   5.22   23.549    0.231   23.669
OBS:  56235.277  z NULL   3.016e+01   7.007e+00   4.30   23.801    0.287   23.869
OBS:  56236.258  g NULL   1.155e+01   6.542e+00   1.77   24.844    0.907   26.326
OBS:  56236.270  r NULL   1.396e+01   4.270e+00   3.27   24.638    0.397   24.533
OBS:  56236.277  i NULL   3.102e+01   6.034e+00   5.14   23.771    0.235   23.693
OBS:  56236.285  z NULL   3.568e+01   7.836e+00   4.55   23.619    0.269   23.919
OBS:  56237.289  g NULL   2.889e+01   2.676e+01   1.08   23.848    2.824   26.330
OBS:  56237.297  r NULL  -3.008e+01   4.069e+01  -0.74  128.000    0.000   24.582
OBS:  56237.301  i NULL   9.848e+01   4.388e+01   2.24   22.517    0.640   23.717
OBS:  56237.316  z NULL   2.969e+01   2.568e+01   1.16   23.818    2.173   23.970
OBS:  56238.301  g NULL  -3.115e+01   4.135e+01  -0.75  128.000    0.000   26.327
OBS:  56238.316  r NULL   1.937e+01   1.370e+01   1.41   24.282    1.333   24.635
OBS:  56238.328  i NULL   3.719e+01   7.975e+00   4.66   23.574    0.262   23.740
OBS:  56243.027  z NULL   2.485e+01   7.837e+00   3.17   24.011    0.411   24.021
OBS:  56243.309  g NULL   1.248e+01   4.508e+00   2.77   24.760    0.486   26.327
OBS:  56244.027  r NULL   1.467e+01   4.122e+00   3.56   24.584    0.358   24.637
OBS:  56244.031  i NULL   3.208e+01   6.653e+00   4.82   23.734    0.252   23.741
OBS:  56244.273  g NULL  -1.015e+00   4.067e+00  -0.25  128.000    0.000   26.327
OBS:  56244.277  z NULL   2.830e+01   6.080e+00   4.65   23.870    0.262   24.021
OBS:  56245.293  g NULL   7.611e+00   1.379e+01   0.55   25.296  102.704   26.327
OBS:  56245.309  r NULL   1.552e+01   1.012e+01   1.53   24.523    1.146   24.637
OBS:  56246.027  i NULL   3.007e+01   3.755e+00   8.01   23.805    0.145   23.741
OBS:  56246.035  z NULL   2.997e+01   4.333e+00   6.92   23.808    0.169   24.021
OBS:  56247.207  g NULL   5.928e+00   2.999e+00   1.98   25.568    0.765   26.327
OBS:  56247.215  r NULL   1.032e+01   2.305e+00   4.48   24.966    0.275   24.637
OBS:  56254.160  i NULL   3.258e+01   4.967e+00   6.56   23.718    0.180   23.741
OBS:  56254.172  z NULL   2.547e+01   4.048e+00   6.29   23.985    0.188   24.021
OBS:  56258.125  g NULL  -2.404e+00   1.062e+01  -0.23  128.000    0.000   26.327
OBS:  56258.141  r NULL   1.898e+01   5.074e+00   3.74   24.304    0.337   24.637
OBS:  56261.035  i NULL   3.015e+01   6.124e+00   4.92   23.802    0.247   23.741
OBS:  56261.043  z NULL   2.337e+01   4.641e+00   5.04   24.078    0.240   24.021
OBS:  56261.242  g NULL   5.944e+00   7.743e+00   0.77   25.565  102.435   26.327
OBS:  56261.258  r NULL   1.754e+01   3.943e+00   4.45   24.390    0.276   24.637
END: 
