SURVEY: DES   
SNID:   141990   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.61497 +- 0.01360  (Helio, z_best) 
REDSHIFT_FINAL:   0.61497 +- 0.01360  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17045 
HOST_GALAXY_PHOTO-Z:   0.6150  +- 0.0136  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.5983  
SIM_HOSTLIB_TRUEZ:  0.6000  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17045  
SIM_DLMU:      42.731384  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0693   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.053  mag  (host extinction at 5510 A)
SIM_RV:         1.898   (CCM89 extinction parameter) 
SIM_PEAKMAG:   24.61  23.00  22.93  22.96  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56246.437500  days 
SIM_DELTA:     -0.055  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.055  
SIM_MAGDIM:    0.227  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -36.44   days 
SIM_TRESTMAX:    65.44   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56247.469  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 116 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56188.191  z NULL   4.732e+01   2.734e+01   1.73   99.000    5.000   99.000
OBS:  56188.340  g NULL  -2.692e+01   2.558e+01  -1.05   99.000    5.000   99.000
OBS:  56188.355  r NULL  -3.237e-01   4.152e+00  -0.08   99.000    5.000   99.000
OBS:  56189.195  i NULL  -3.086e+01   3.096e+01  -1.00   99.000    5.000   99.000
OBS:  56194.215  g NULL   3.630e+00   4.764e+00   0.76   99.000    5.000   99.000
OBS:  56194.223  r NULL   2.263e+00   5.400e+00   0.42   99.000    5.000   99.000
OBS:  56194.227  z NULL  -7.395e+00   6.542e+00  -1.13   99.000    5.000   99.000
OBS:  56200.234  i NULL   8.312e+00   1.198e+01   0.69   99.000    5.000   99.000
OBS:  56208.160  g NULL  -2.957e+00   2.972e+00  -0.99   99.000    5.000   99.000
OBS:  56208.176  r NULL   2.812e-02   2.428e+00   0.01   99.000    5.000   99.000
OBS:  56208.191  z NULL   1.414e+00   4.938e+00   0.29   99.000    5.000   99.000
OBS:  56210.156  i NULL   5.604e+00   7.025e+00   0.80   99.000    5.000   99.000
OBS:  56216.164  g NULL  -5.845e-02   2.686e+00  -0.02  128.000    0.000   32.067
OBS:  56216.176  r NULL  -1.310e+00   2.036e+00  -0.64  128.000    0.000   28.942
OBS:  56216.191  z NULL  -1.627e+00   4.045e+00  -0.40  128.000    0.000   28.877
OBS:  56219.211  i NULL  -1.356e-01   2.989e+00  -0.05  128.000    0.000   26.661
OBS:  56221.148  g NULL   4.610e-01   1.591e+01   0.03   28.341   99.659   28.325
OBS:  56221.160  r NULL   6.903e+00   6.052e+00   1.14   25.402    2.272   25.928
OBS:  56221.176  z NULL   2.411e+01   1.540e+01   1.57   24.044    1.104   25.895
OBS:  56222.105  i NULL   5.962e+00   9.193e+00   0.65   25.561  102.439   25.617
OBS:  56222.312  g NULL   4.536e+00   4.103e+00   1.11   25.858    2.549   27.964
OBS:  56222.324  r NULL  -4.279e+00   1.517e+01  -0.28  128.000    0.000   25.569
OBS:  56222.340  z NULL   6.853e+01   4.088e+01   1.68   22.910    0.985   25.536
OBS:  56228.297  g NULL   2.537e+01   1.504e+01   1.69   23.989    0.975   26.054
OBS:  56228.305  r NULL   2.235e+01   5.516e+00   4.05   24.127    0.307   24.391
OBS:  56228.312  i NULL   2.412e+01   9.427e+00   2.56   24.044    0.538   24.319
OBS:  56228.320  z NULL   2.396e+01   5.820e+00   4.12   24.051    0.302   24.323
