SURVEY: DES   
SNID:   146541   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  1 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.68015 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.68015 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.68015 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18860 
HOST_GALAXY_PHOTO-Z:   0.6253  +- 0.0490  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.6743  
SIM_HOSTLIB_TRUEZ:  0.6700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18860  
SIM_DLMU:      43.047745  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0189   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   24.69  23.06  22.94  23.00  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56274.832031  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   6.907e-06   
SIM_SALT2x1:    1.6161   
SIM_SALT2c:     0.0099   
SIM_SALT2mB:   23.5368   
SIM_STRETCH:    2.616  
SIM_MAGDIM:    0.972  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.20   days 
SIM_TRESTMAX:    45.49   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56274.766  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 113 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56209.191  i NULL   6.908e-01   2.139e+00   0.32   99.000    5.000   98.972
OBS:  56209.215  z NULL   2.263e+00   2.201e+00   1.03   99.000    5.000   99.041
OBS:  56215.164  g NULL   2.160e+00   1.596e+00   1.35   99.000    5.000   99.010
OBS:  56215.180  r NULL   6.369e-01   1.096e+00   0.58   99.000    5.000   98.954
OBS:  56217.152  i NULL  -9.316e-01   1.396e+00  -0.67   99.000    5.000   98.972
OBS:  56217.191  z NULL  -2.530e+00   1.817e+00  -1.39   99.000    5.000   99.041
OBS:  56221.062  g NULL   1.967e+00   4.488e+00   0.44   99.000    5.000   99.010
OBS:  56221.074  r NULL  -2.289e+00   3.581e+00  -0.64   99.000    5.000   98.954
OBS:  56221.195  i NULL  -2.942e+00   1.345e+01  -0.22   99.000    5.000   98.972
OBS:  56221.227  z NULL  -1.298e-01   4.013e+00  -0.03   99.000    5.000   99.041
OBS:  56222.047  g NULL  -4.698e+00   6.419e+00  -0.73   99.000    5.000   99.010
OBS:  56222.062  r NULL  -2.366e+00   3.126e+00  -0.76   99.000    5.000   98.954
OBS:  56222.191  i NULL   3.810e+00   9.791e+00   0.39   99.000    5.000   98.972
OBS:  56222.211  z NULL  -1.136e+00   4.835e+00  -0.23   99.000    5.000   99.041
OBS:  56228.031  g NULL  -1.182e+01   2.612e+01  -0.45   99.000    5.000   99.010
OBS:  56228.047  r NULL   2.938e+00   1.164e+01   0.25   99.000    5.000   98.954
OBS:  56228.156  i NULL  -4.893e+00   5.179e+00  -0.94   99.000    5.000   98.972
OBS:  56228.188  z NULL  -2.444e+00   2.843e+00  -0.86   99.000    5.000   99.041
OBS:  56229.031  g NULL  -7.893e+00   3.074e+01  -0.26   99.000    5.000   99.010
OBS:  56229.156  r NULL  -5.135e-01   3.595e+00  -0.14   99.000    5.000   98.954
OBS:  56229.172  i NULL  -7.322e+00   7.054e+00  -1.04   99.000    5.000   98.972
OBS:  56229.199  z NULL  -4.560e+00   2.927e+00  -1.56   99.000    5.000   99.041
OBS:  56230.035  g NULL   1.249e+00   9.315e+00   0.13   99.000    5.000   99.010
OBS:  56230.043  r NULL  -1.657e+00   3.864e+00  -0.43   99.000    5.000   98.954
OBS:  56230.191  i NULL   8.497e+00   6.319e+00   1.34   99.000    5.000   98.972
OBS:  56230.215  z NULL   1.265e+00   2.921e+00   0.43   99.000    5.000   99.041
OBS:  56231.035  g NULL  -3.445e-01   7.694e+00  -0.04   99.000    5.000   99.010
OBS:  56231.156  r NULL  -3.062e+00   2.654e+00  -1.15   99.000    5.000   98.954
OBS:  56231.172  i NULL  -1.843e+00   4.791e+00  -0.38   99.000    5.000   98.972
OBS:  56231.191  z NULL   4.347e+00   3.018e+00   1.44   99.000    5.000   99.041
OBS:  56235.145  g NULL  -4.492e+00   3.787e+00  -1.19   99.000    5.000   99.010
OBS:  56235.160  r NULL   1.601e+00   1.757e+00   0.91   99.000    5.000   98.954
OBS:  56235.172  i NULL  -5.460e+00   3.202e+00  -1.71   99.000    5.000   98.972
OBS:  56235.195  z NULL  -2.001e+00   2.936e+00  -0.68   99.000    5.000   99.041
OBS:  56236.160  g NULL   5.267e-01   2.000e+00   0.26   99.000    5.000   99.010
OBS:  56236.172  r NULL  -2.015e+00   1.875e+00  -1.07   99.000    5.000   98.954
OBS:  56236.188  i NULL  -1.875e+00   2.783e+00  -0.67   99.000    5.000   98.972
OBS:  56236.207  z NULL  -4.042e+00   3.191e+00  -1.27   99.000    5.000   99.041
OBS:  56237.176  g NULL   6.139e+00   3.440e+00   1.78   99.000    5.000   99.010
OBS:  56237.188  r NULL  -1.365e+00   2.252e+00  -0.61   99.000    5.000   98.954
OBS:  56237.207  i NULL  -6.672e+00   2.864e+00  -2.33   99.000    5.000   98.972
OBS:  56237.238  z NULL   4.441e+00   3.868e+00   1.15   99.000    5.000   99.041
OBS:  56238.188  g NULL  -3.769e+00   2.971e+00  -1.27   99.000    5.000   99.010
OBS:  56238.199  r NULL  -3.101e+00   2.023e+00  -1.53   99.000    5.000   98.954
OBS:  56238.219  i NULL  -4.293e+00   3.236e+00  -1.33   99.000    5.000   98.972
OBS:  56238.250  z NULL  -7.205e+00   4.863e+00  -1.48   99.000    5.000   99.041
OBS:  56243.203  g NULL   8.144e-01   1.689e+00   0.48   27.723  100.277   29.543
OBS:  56243.211  r NULL  -7.102e-01   1.224e+00  -0.58  128.000    0.000   28.385
OBS:  56243.223  i NULL  -2.257e+00   1.849e+00  -1.22  128.000    0.000   28.097
OBS:  56243.250  z NULL  -1.149e+00   2.416e+00  -0.48  128.000    0.000   28.142
OBS:  56244.180  g NULL  -1.318e+00   1.783e+00  -0.74  128.000    0.000   28.621
OBS:  56244.188  r NULL   2.789e+00   1.375e+00   2.03   26.386    0.736   27.470
OBS:  56244.203  i NULL  -1.247e+00   1.987e+00  -0.63  128.000    0.000   27.189
OBS:  56244.223  z NULL   1.077e+00   2.231e+00   0.48   27.420  100.580   27.261
OBS:  56245.191  g NULL  -3.435e+00   4.786e+00  -0.72  128.000    0.000   27.984
OBS:  56245.199  r NULL   2.229e+00   1.176e+00   1.90   26.630    0.814   26.833
OBS:  56245.219  i NULL   3.782e+00   2.078e+00   1.82   26.056    0.865   26.551
OBS:  56245.246  z NULL   4.887e+00   5.918e+00   0.83   25.777  102.223   26.618
OBS:  56246.234  g NULL   7.519e-01   2.001e+00   0.38   27.810  100.190   27.488
OBS:  56246.246  r NULL   2.733e+00   3.169e+00   0.86   26.408  101.592   26.337
OBS:  56246.262  i NULL   1.744e+00   5.641e+00   0.31   26.896  101.104   26.061
OBS:  56246.285  z NULL  -1.842e+00   1.277e+01  -0.14  128.000    0.000   26.135
OBS:  56248.207  g NULL   3.033e+00   1.756e+00   1.73   26.295    0.939   26.735
OBS:  56248.215  r NULL   3.608e+00   1.330e+00   2.71   26.107    0.501   25.586
OBS:  56248.230  i NULL   6.678e+00   2.212e+00   3.02   25.438    0.437   25.310
OBS:  56248.250  z NULL   7.211e+00   3.033e+00   2.38   25.355    0.593   25.386
OBS:  56258.242  g NULL   4.599e+00   8.085e+00   0.57   25.843  102.157   24.989
OBS:  56258.258  r NULL   3.776e+01   4.481e+00   8.43   23.557    0.137   23.531
OBS:  56259.160  i NULL   4.638e+01   4.628e+00  10.02   23.334    0.114   23.433
OBS:  56259.180  z NULL   4.132e+01   3.158e+00  13.09   23.460    0.086   23.535
OBS:  56261.215  g NULL   1.364e+01   3.975e+00   3.43   24.663    0.374   24.751
OBS:  56261.230  r NULL   4.852e+01   2.081e+00  23.32   23.285    0.048   23.219
OBS:  56267.156  i NULL   6.033e+01   2.498e+00  24.15   23.049    0.046   23.062
OBS:  56267.180  z NULL   6.053e+01   3.256e+00  18.59   23.045    0.060   23.083
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56274.160  g NULL   1.426e+01   2.073e+00   6.88   24.615    0.170   24.654
