SURVEY: DES   
SNID:   150422   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.94202 +- 0.04260  (Helio, z_best) 
REDSHIFT_FINAL:   0.94202 +- 0.04260  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10754 
HOST_GALAXY_PHOTO-Z:   0.9420  +- 0.0426  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.9235  
SIM_HOSTLIB_TRUEZ:  0.9200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10754  
SIM_DLMU:      43.886795  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0619   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.213  mag  (host extinction at 5510 A)
SIM_RV:         2.060   (CCM89 extinction parameter) 
SIM_PEAKMAG:   34.01  24.79  23.77  23.73  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56254.585938  days 
SIM_DELTA:     -0.469  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.469  
SIM_MAGDIM:    0.070  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.69   days 
SIM_TRESTMAX:    50.14   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56255.367  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 123 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   1.688e+01   1.048e+01   1.61   99.000    5.000   99.000
OBS:  56178.250  r NULL   1.777e+00   7.841e+00   0.23   99.000    5.000   99.000
OBS:  56178.266  i NULL   3.542e-01   9.311e+00   0.04   99.000    5.000   99.000
OBS:  56179.211  z NULL   6.049e+00   5.329e+00   1.14   99.000    5.000   99.000
OBS:  56180.219  g NULL   2.343e+00   3.205e+00   0.73   99.000    5.000   99.000
OBS:  56180.234  r NULL   2.633e+00   2.426e+00   1.09   99.000    5.000   99.000
OBS:  56180.250  i NULL  -2.155e+00   4.310e+00  -0.50   99.000    5.000   99.000
OBS:  56188.191  z NULL  -3.982e+01   2.733e+01  -1.46   99.000    5.000   99.000
OBS:  56188.340  g NULL  -5.127e+01   2.559e+01  -2.00   99.000    5.000   99.000
OBS:  56188.355  r NULL   4.188e+00   4.153e+00   1.01   99.000    5.000   99.000
OBS:  56189.195  i NULL   7.302e+00   3.095e+01   0.24   99.000    5.000   99.000
OBS:  56194.215  g NULL  -2.175e+00   4.764e+00  -0.46   99.000    5.000   99.000
OBS:  56194.223  r NULL  -6.540e+00   5.401e+00  -1.21   99.000    5.000   99.000
OBS:  56194.227  z NULL  -5.927e+00   6.542e+00  -0.91   99.000    5.000   99.000
OBS:  56200.234  i NULL   1.339e+01   1.199e+01   1.12   99.000    5.000   99.000
OBS:  56208.160  g NULL  -3.477e+00   2.973e+00  -1.17   99.000    5.000   99.000
OBS:  56208.176  r NULL   1.771e+00   2.428e+00   0.73   99.000    5.000   99.000
OBS:  56208.191  z NULL   1.946e+00   4.938e+00   0.39   99.000    5.000   99.000
OBS:  56210.156  i NULL   8.471e+00   7.026e+00   1.21   99.000    5.000   99.000
OBS:  56216.164  g NULL   1.634e+00   2.686e+00   0.61   26.967  101.033   56.883
OBS:  56216.176  r NULL  -7.275e-01   2.036e+00  -0.36  128.000    0.000   48.995
OBS:  56216.191  z NULL  -7.168e+00   4.047e+00  -1.77  128.000    0.000   47.966
OBS:  56219.211  i NULL  -2.371e+00   2.988e+00  -0.79  128.000    0.000   28.128
OBS:  56221.148  g NULL  -1.569e+01   1.592e+01  -0.99  128.000    0.000   37.199
OBS:  56221.160  r NULL  -5.003e-01   6.048e+00  -0.08  128.000    0.000   27.903
OBS:  56221.176  z NULL   3.258e+01   1.541e+01   2.11   23.718    0.694   27.171
OBS:  56222.105  i NULL  -1.732e+01   9.196e+00  -1.88  128.000    0.000   26.569
OBS:  56222.312  g NULL  -3.727e+00   4.101e+00  -0.91  128.000    0.000   36.711
OBS:  56222.324  r NULL   1.197e+01   1.517e+01   0.79   24.805  103.195   27.421
OBS:  56222.340  z NULL   1.971e+01   4.086e+01   0.48   24.263  103.737   26.696
OBS:  56228.297  g NULL  -5.774e+00   1.503e+01  -0.38  128.000    0.000   35.102
OBS:  56228.305  r NULL  -5.045e+00   5.495e+00  -0.92  128.000    0.000   25.891
OBS:  56228.312  i NULL   1.511e+01   9.418e+00   1.60   24.552    1.060   25.022
