SURVEY: DES   
SNID:   151594   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.71425 +- 0.03340  (Helio, z_best) 
REDSHIFT_FINAL:   0.71425 +- 0.03340  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14158 
HOST_GALAXY_PHOTO-Z:   0.7143  +- 0.0334  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.6864  
SIM_HOSTLIB_TRUEZ:  0.6900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14158  
SIM_DLMU:      43.094620  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0667   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.288  mag  (host extinction at 5510 A)
SIM_RV:         2.720   (CCM89 extinction parameter) 
SIM_PEAKMAG:   25.74  23.74  23.49  23.54  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56271.308594  days 
SIM_DELTA:     -0.013  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.013  
SIM_MAGDIM:    0.489  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.45   days 
SIM_TRESTMAX:    47.27   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56272.168  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 108 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56208.160  g NULL  -8.061e+00   2.976e+00  -2.71   99.000    5.000   99.000
OBS:  56208.176  r NULL  -9.896e-01   2.428e+00  -0.41   99.000    5.000   99.000
OBS:  56208.191  z NULL  -4.500e+00   4.939e+00  -0.91   99.000    5.000   99.000
OBS:  56210.156  i NULL   4.729e+00   7.025e+00   0.67   99.000    5.000   99.000
OBS:  56216.164  g NULL  -4.836e-01   2.686e+00  -0.18   99.000    5.000   99.000
OBS:  56216.176  r NULL   5.280e-01   2.036e+00   0.26   99.000    5.000   99.000
OBS:  56216.191  z NULL  -7.592e+00   4.047e+00  -1.88   99.000    5.000   99.000
OBS:  56219.211  i NULL  -1.985e+00   2.987e+00  -0.66   99.000    5.000   99.000
OBS:  56221.148  g NULL  -3.193e+00   1.591e+01  -0.20   99.000    5.000   99.000
OBS:  56221.160  r NULL  -4.045e+00   6.048e+00  -0.67   99.000    5.000   99.000
OBS:  56221.176  z NULL   7.169e+00   1.539e+01   0.47   99.000    5.000   99.000
OBS:  56222.105  i NULL  -1.246e+01   9.193e+00  -1.36   99.000    5.000   99.000
OBS:  56222.312  g NULL   2.742e+00   4.101e+00   0.67   99.000    5.000   99.000
OBS:  56222.324  r NULL  -2.833e+01   1.517e+01  -1.87   99.000    5.000   99.000
OBS:  56222.340  z NULL  -2.473e+01   4.086e+01  -0.61   99.000    5.000   99.000
OBS:  56228.297  g NULL  -3.424e+01   1.504e+01  -2.28   99.000    5.000   99.000
OBS:  56228.305  r NULL   6.924e+00   5.494e+00   1.26   99.000    5.000   99.000
OBS:  56228.312  i NULL  -5.151e+00   9.412e+00  -0.55   99.000    5.000   99.000
OBS:  56228.320  z NULL  -2.746e+00   5.800e+00  -0.47   99.000    5.000   99.000
OBS:  56229.320  g NULL   7.616e+00   1.406e+01   0.54   99.000    5.000   99.000
OBS:  56229.332  r NULL  -3.999e+00   7.252e+00  -0.55   99.000    5.000   99.000
OBS:  56229.348  i NULL   5.326e+00   1.295e+01   0.41   99.000    5.000   99.000
OBS:  56230.070  z NULL  -4.254e+00   7.134e+00  -0.60   99.000    5.000   99.000
OBS:  56230.316  g NULL  -1.857e+00   1.368e+01  -0.14   99.000    5.000   99.000
OBS:  56230.328  r NULL   2.180e+00   6.672e+00   0.33   99.000    5.000   99.000
OBS:  56230.344  i NULL   8.175e+00   1.239e+01   0.66   99.000    5.000   99.000
OBS:  56231.301  g NULL  -7.367e+00   1.166e+01  -0.63   99.000    5.000   99.000
OBS:  56231.316  r NULL   1.218e+01   6.022e+00   2.02   99.000    5.000   99.000
OBS:  56231.328  i NULL   1.147e+01   1.047e+01   1.10   99.000    5.000   99.000
OBS:  56231.344  z NULL   4.920e+00   5.790e+00   0.85   99.000    5.000   99.000
OBS:  56235.297  g NULL  -1.942e+00   9.637e+00  -0.20   99.000    5.000   99.000
OBS:  56235.312  r NULL   3.562e+00   4.660e+00   0.76   99.000    5.000   99.000
OBS:  56235.324  i NULL   1.107e+01   6.644e+00   1.67   99.000    5.000   99.000
OBS:  56235.340  z NULL  -1.218e+00   6.749e+00  -0.18   99.000    5.000   99.000
OBS:  56236.312  g NULL  -4.568e+00   7.810e+00  -0.58   99.000    5.000   99.000
OBS:  56236.324  r NULL  -5.127e-02   3.728e+00  -0.01   99.000    5.000   99.000
OBS:  56236.340  i NULL   9.939e-01   6.080e+00   0.16   99.000    5.000   99.000
OBS:  56237.074  z NULL  -1.407e+01   7.015e+00  -2.01   99.000    5.000   99.000
OBS:  56237.340  g NULL   9.203e+00   1.182e+01   0.78   99.000    5.000   99.000
OBS:  56238.051  r NULL  -8.611e-01   4.311e+00  -0.20  128.000    0.000   44.597
OBS:  56238.059  i NULL   4.579e+00   5.467e+00   0.84   25.848  102.152   43.594
OBS:  56238.340  g NULL  -1.052e+01   1.062e+01  -0.99  128.000    0.000   42.884
OBS:  56243.047  z NULL   1.587e+00   8.327e+00   0.19   26.999  101.001   27.111
OBS:  56243.320  g NULL   9.463e+00   4.203e+00   2.25   25.060    0.637   30.038
OBS:  56243.336  r NULL  -8.163e-01   3.298e+00  -0.25  128.000    0.000   27.297
OBS:  56244.039  i NULL   1.275e+01   7.037e+00   1.81   24.736    0.871   26.749
OBS:  56244.309  g NULL  -1.565e+00   4.123e+00  -0.38  128.000    0.000   29.665
