SURVEY: DES   
SNID:   153341   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.94459 +- 0.02680  (Helio, z_best) 
REDSHIFT_FINAL:   0.94459 +- 0.02680  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11427 
HOST_GALAXY_PHOTO-Z:   0.9446  +- 0.0268  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.9297  
SIM_HOSTLIB_TRUEZ:  0.9300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11427  
SIM_DLMU:      43.904652  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0130   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.009  mag  (host extinction at 5510 A)
SIM_RV:         2.508   (CCM89 extinction parameter) 
SIM_PEAKMAG:   35.77  24.88  23.97  23.95  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56245.894531  days 
SIM_DELTA:      1.456  mag  (MLCS lumi-par) 
SIM_MAGDIM:    0.386  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.79   days 
SIM_TRESTMAX:    37.38   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56244.949  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 97 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56171.051  g NULL   1.131e+01   7.808e+01   0.14   99.000    5.000   99.000
OBS:  56172.039  r NULL   1.930e+00   1.758e+01   0.11   99.000    5.000   99.000
OBS:  56172.051  i NULL  -4.178e+01   4.995e+01  -0.84   99.000    5.000   99.000
OBS:  56176.160  z NULL  -3.302e+00   3.582e+00  -0.92   99.000    5.000   99.000
OBS:  56179.023  g NULL  -2.404e+00   6.376e+00  -0.38   99.000    5.000   99.000
OBS:  56179.031  r NULL  -5.246e+00   4.332e+00  -1.21   99.000    5.000   99.000
OBS:  56179.047  i NULL   6.370e+00   7.141e+00   0.89   99.000    5.000   99.000
OBS:  56179.062  z NULL   3.074e+00   8.138e+00   0.38   99.000    5.000   99.000
OBS:  56180.031  g NULL   7.649e+00   5.673e+00   1.35   99.000    5.000   99.000
OBS:  56180.047  r NULL  -1.449e+00   4.493e+00  -0.32   99.000    5.000   99.000
OBS:  56180.062  i NULL  -9.417e+00   6.739e+00  -1.40   99.000    5.000   99.000
OBS:  56180.078  z NULL   4.612e+00   1.016e+01   0.45   99.000    5.000   99.000
OBS:  56188.004  g NULL   1.108e+01   5.680e+00   1.95   99.000    5.000   99.000
OBS:  56188.016  r NULL   6.129e+00   4.370e+00   1.40   99.000    5.000   99.000
OBS:  56188.027  i NULL  -1.251e+01   6.466e+00  -1.93   99.000    5.000   99.000
OBS:  56188.035  z NULL   1.405e+01   6.477e+00   2.17   99.000    5.000   99.000
OBS:  56189.004  g NULL   3.132e+00   5.646e+00   0.55   99.000    5.000   99.000
OBS:  56189.016  r NULL   4.019e+00   4.331e+00   0.93   99.000    5.000   99.000
OBS:  56189.027  i NULL  -2.199e-01   6.406e+00  -0.03   99.000    5.000   99.000
OBS:  56189.035  z NULL   1.640e+00   6.406e+00   0.26   99.000    5.000   99.000
OBS:  56194.012  g NULL   7.552e+00   6.201e+00   1.22   99.000    5.000   99.000
OBS:  56194.016  r NULL  -4.648e+00   3.585e+00  -1.30   99.000    5.000   99.000
OBS:  56194.023  i NULL   1.042e+00   6.147e+00   0.17   99.000    5.000   99.000
OBS:  56194.031  z NULL   7.987e+00   1.508e+01   0.53   99.000    5.000   99.000
OBS:  56198.992  g NULL  -1.040e+01   1.868e+01  -0.56   99.000    5.000   99.000
OBS:  56199.000  r NULL  -3.182e+00   9.048e+00  -0.35   99.000    5.000   99.000
OBS:  56199.008  i NULL   2.135e+01   1.182e+01   1.81   99.000    5.000   99.000
OBS:  56199.016  z NULL  -7.926e-01   7.694e+00  -0.10   99.000    5.000   99.000
OBS:  56199.039  g NULL  -5.292e+01   3.350e+01  -1.58   99.000    5.000   99.000
OBS:  56208.215  g NULL  -3.010e+00   2.657e+00  -1.13  128.000    0.000   55.723
OBS:  56208.223  r NULL  -5.826e-01   1.765e+00  -0.33  128.000    0.000   44.832
OBS:  56208.238  i NULL  -2.270e+00   2.955e+00  -0.77  128.000    0.000   50.068
OBS:  56209.160  z NULL  -1.254e+00   3.242e+00  -0.39  128.000    0.000   40.598
OBS:  56216.215  g NULL  -9.221e-01   2.466e+00  -0.37  128.000    0.000   32.909
OBS:  56216.223  r NULL   3.173e-01   1.881e+00   0.17   28.746   99.254   29.345
OBS:  56216.230  i NULL   2.225e+00   3.014e+00   0.74   26.632  101.368   35.767
OBS:  56218.152  z NULL   3.482e+00   2.672e+00   1.30   26.145    1.582   35.310
OBS:  56221.004  g NULL   1.108e+01   5.229e+00   2.12   24.889    0.693   31.525
OBS:  56221.016  r NULL   1.980e+00   3.577e+00   0.55   26.758  101.242   28.211
OBS:  56221.027  i NULL   1.318e+00   5.470e+00   0.24   27.201  100.799   32.129
OBS:  56221.035  z NULL   4.586e+00   5.403e+00   0.85   25.846  102.154   32.063
OBS:  56222.016  g NULL  -9.158e+00   6.244e+00  -1.47  128.000    0.000   31.110
OBS:  56222.027  r NULL  -2.548e-01   3.619e+00  -0.07  128.000    0.000   27.816
OBS:  56222.035  i NULL  -1.689e+01   4.931e+00  -3.43  128.000    0.000   30.450
OBS:  56228.012  z NULL   1.639e+01   5.554e+00   2.95   24.464    0.449   25.671
OBS:  56229.012  g NULL  -4.264e+00   9.817e+00  -0.43  128.000    0.000   38.472
OBS:  56229.016  r NULL   4.984e+00   4.319e+00   1.15   25.756    2.184   26.934
OBS:  56229.023  i NULL   1.328e+01   7.814e+00   1.70   24.692    0.964   25.512
OBS:  56230.012  z NULL   2.765e+00   4.916e+00   0.56   26.396  101.604   25.048
OBS:  56231.012  g NULL   8.020e-02   6.914e+00   0.01   30.240   97.760   37.922
OBS:  56231.020  r NULL   3.028e+00   2.787e+00   1.09   26.297    2.745   26.373
OBS:  56231.027  i NULL   1.476e+01   4.086e+00   3.61   24.577    0.351   24.976
OBS:  56235.020  z NULL   1.876e+01   5.703e+00   3.29   24.317    0.393   24.321
OBS:  56236.027  g NULL   7.292e+00   5.173e+00   1.41   25.343    1.341   36.350
OBS:  56236.035  r NULL   1.320e+01   5.391e+00   2.45   24.699    0.570   25.200
OBS:  56236.039  i NULL   2.784e+01   7.644e+00   3.64   23.888    0.348   24.285
OBS:  56237.023  z NULL   9.825e+00   5.131e+00   1.92   25.019    0.805   24.167
OBS:  56238.023  g NULL  -2.771e-01   3.612e+00  -0.08  128.000    0.000   35.887
OBS:  56238.031  r NULL   1.361e+01   2.806e+00   4.85   24.666    0.250   24.918
OBS:  56238.039  i NULL   2.116e+01   4.836e+00   4.38   24.186    0.282   24.151
OBS:  56243.070  z NULL   2.325e+01   5.366e+00   4.33   24.084    0.285   23.992
OBS:  56244.047  g NULL  -8.949e+00   4.185e+00  -2.14  128.000    0.000   35.682
OBS:  56244.055  r NULL   1.144e+01   2.841e+00   4.03   24.854    0.310   24.809
OBS:  56244.070  i NULL   2.598e+01   4.446e+00   5.84   23.963    0.204   23.962
OBS:  56245.027  z NULL   2.654e+01   3.580e+00   7.41   23.940    0.157   23.960
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56246.082  g NULL   3.751e+00   2.834e+00   1.32   26.065    1.528   35.770
OBS:  56246.098  r NULL   8.560e+00   2.481e+00   3.45   25.169    0.372   24.887
OBS:  56246.109  i NULL   2.342e+01   5.465e+00   4.29   24.076    0.289   23.969
OBS:  56247.250  z NULL   1.784e+01   6.305e+00   2.83   24.371    0.474   23.944
OBS:  56254.199  g NULL   3.638e+00   6.130e+00   0.59   26.098  101.902   36.675
OBS:  56254.211  r NULL   1.134e+01   3.385e+00   3.35   24.863    0.384   25.570
OBS:  56254.227  i NULL   1.512e+01   6.224e+00   2.43   24.551    0.576   24.248
OBS:  56258.191  z NULL   1.864e+01   5.875e+00   3.17   24.324    0.411   24.198
OBS:  56261.066  g NULL  -2.498e+00   6.913e+00  -0.36  128.000    0.000   37.816
OBS:  56261.082  r NULL   3.290e+00   4.058e+00   0.81   26.207  101.793   26.450
OBS:  56261.090  i NULL   2.302e+01   8.230e+00   2.80   24.095    0.480   24.707
OBS:  56266.156  z NULL   6.020e+00   5.285e+00   1.14   25.551    2.291   24.660
OBS:  56276.152  g NULL   9.204e-01   4.036e+00   0.23   27.590  100.410   39.128
OBS:  56276.172  r NULL   2.854e+00   2.884e+00   0.99   26.361  101.639   28.013
OBS:  56277.164  i NULL   1.831e+00   3.543e+00   0.52   26.843  101.157   26.372
OBS:  56278.164  z NULL   5.721e+00   4.286e+00   1.33   25.606    1.502   25.594
OBS:  56288.035  g NULL   1.777e+01   1.451e+01   1.23   24.376    1.838   39.460
