SURVEY: DES   
SNID:   170551   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.47233 +- 0.03270  (Helio, z_best) 
REDSHIFT_FINAL:   0.47233 +- 0.03270  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   18672 
HOST_GALAXY_PHOTO-Z:   0.4723  +- 0.0327  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      10   (non1a index) 
SIM_COMMENT:  SN Type = Ibc , MODEL = SNLS-04D1la  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.4793  
SIM_HOSTLIB_TRUEZ:  0.4800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  18672  
SIM_DLMU:      42.151333  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0218   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.67  24.34  24.27  24.64  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56177.566406  days 
SIM_SALT2x0:   1.379e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -0.27   days 
SIM_TRESTMAX:    66.67   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56178.789  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 100 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL  -5.078e+00   4.791e+00  -1.06  128.000    0.000   25.617
OBS:  56177.188  r NULL   1.693e+01   5.346e+00   3.17   24.428    0.412   24.323
OBS:  56177.203  i NULL   2.568e+01   5.459e+00   4.70   23.976    0.259   24.264
OBS:  56177.234  z NULL   1.588e+01   4.701e+00   3.38   24.498    0.381   24.660
OBS:  56179.172  g NULL   7.881e+00   2.249e+00   3.50   25.259    0.364   25.910
OBS:  56179.312  r NULL   2.063e+01   3.059e+00   6.74   24.214    0.174   24.413
OBS:  56179.328  i NULL   1.542e+01   4.213e+00   3.66   24.530    0.347   24.304
OBS:  56179.359  z NULL   2.312e+01   3.545e+00   6.52   24.090    0.180   24.540
OBS:  56187.156  g NULL   2.196e+00   1.705e+00   1.29   26.646    1.626   27.253
OBS:  56187.172  r NULL   1.092e+01   1.275e+00   8.57   24.904    0.135   24.848
OBS:  56187.188  i NULL   1.786e+01   1.931e+00   9.25   24.370    0.124   24.530
OBS:  56187.211  z NULL   1.927e+01   2.207e+00   8.73   24.288    0.132   24.242
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56189.148  g NULL  -2.081e+01   9.768e+00  -2.13  128.000    0.000   27.595
OBS:  56189.160  r NULL   3.538e+00   3.881e+00   0.91   26.128  101.872   24.950
OBS:  56189.176  i NULL   1.180e+01   8.077e+00   1.46   24.820    1.253   24.578
OBS:  56189.203  z NULL   1.834e+01   4.706e+00   3.90   24.341    0.322   24.234
OBS:  56194.121  g NULL   9.967e-01   3.771e+00   0.26   27.504  100.496   28.328
OBS:  56194.129  r NULL   9.080e+00   2.359e+00   3.85   25.105    0.327   25.185
OBS:  56200.156  i NULL   4.709e+00   8.067e+00   0.58   25.818  102.182   24.874
OBS:  56200.180  z NULL   1.675e+01   5.645e+00   2.97   24.440    0.446   24.545
OBS:  56207.156  g NULL  -5.774e-01   2.280e+00  -0.25  128.000    0.000   29.533
OBS:  56207.172  r NULL   5.918e+00   1.609e+00   3.68   25.570    0.344   25.867
OBS:  56209.191  i NULL   1.006e+01   2.151e+00   4.68   24.993    0.261   25.029
OBS:  56209.215  z NULL   8.312e+00   2.207e+00   3.77   25.201    0.336   24.938
OBS:  56215.164  g NULL   1.364e-01   1.595e+00   0.09   29.663   98.337   30.413
OBS:  56215.180  r NULL   3.931e+00   1.101e+00   3.57   26.014    0.356   26.223
OBS:  56217.152  i NULL   6.853e+00   1.406e+00   4.87   25.410    0.250   25.218
OBS:  56217.191  z NULL   7.478e+00   1.823e+00   4.10   25.316    0.304   25.229
OBS:  56221.062  g NULL   2.447e+00   4.488e+00   0.55   26.528  101.472   31.251
OBS:  56221.074  r NULL   7.431e+00   3.584e+00   2.07   25.322    0.714   26.398
OBS:  56221.195  i NULL   9.182e+00   1.346e+01   0.68   25.093  102.907   25.346
OBS:  56221.227  z NULL   9.709e+00   4.018e+00   2.42   25.032    0.580   25.378
OBS:  56222.047  g NULL   6.048e+00   6.420e+00   0.94   25.546  102.454   31.373
OBS:  56222.062  r NULL   2.809e+00   3.127e+00   0.90   26.379  101.621   26.429
OBS:  56222.191  i NULL   2.165e+01   9.801e+00   2.21   24.161    0.654   25.381
OBS:  56222.211  z NULL   9.336e+00   4.838e+00   1.93   25.075    0.793   25.415
OBS:  56228.031  g NULL   2.371e+01   2.612e+01   0.91   24.063  103.937   31.980
OBS:  56228.047  r NULL  -1.889e+01   1.165e+01  -1.62  128.000    0.000   26.636
OBS:  56228.156  i NULL   9.365e+00   5.182e+00   1.81   25.071    0.875   25.598
OBS:  56228.188  z NULL   8.076e+00   2.847e+00   2.84   25.232    0.472   25.662
OBS:  56229.031  g NULL  -1.937e+01   3.075e+01  -0.63  128.000    0.000   32.066
OBS:  56229.156  r NULL   6.056e+00   3.597e+00   1.68   25.544    0.978   26.677
OBS:  56229.172  i NULL   1.635e+01   7.060e+00   2.32   24.466    0.613   25.628
OBS:  56229.199  z NULL   5.417e+00   2.928e+00   1.85   25.666    0.844   25.706
OBS:  56230.035  g NULL  -1.321e+01   9.318e+00  -1.42  128.000    0.000   32.151
OBS:  56230.043  r NULL  -6.696e-01   3.864e+00  -0.17  128.000    0.000   26.711
OBS:  56230.191  i NULL   9.454e+00   6.321e+00   1.50   25.061    1.198   25.655
OBS:  56230.215  z NULL   5.893e+00   2.924e+00   2.02   25.574    0.744   25.752
