SURVEY: DES   
SNID:   174346   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.32589 +- 0.03120  (Helio, z_best) 
REDSHIFT_FINAL:   0.32589 +- 0.03120  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   12688 
HOST_GALAXY_PHOTO-Z:   0.3259  +- 0.0312  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      29   (non1a index) 
SIM_COMMENT:  SN Type = Ic , MODEL = SDSS-017548  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.3567  
SIM_HOSTLIB_TRUEZ:  0.3600  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  12688  
SIM_DLMU:      41.392048  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0737   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.94  23.57  23.26  23.13  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56230.132812  days 
SIM_SALT2x0:   2.774e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.25   days 
SIM_TRESTMAX:    66.29   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56229.129  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 107 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   1.185e+01   1.048e+01   1.13   99.000    5.000   98.965
OBS:  56178.250  r NULL   5.406e+00   7.842e+00   0.69   99.000    5.000   98.966
OBS:  56178.266  i NULL  -9.074e+00   9.313e+00  -0.97   99.000    5.000   98.995
OBS:  56179.211  z NULL   1.629e+00   5.328e+00   0.31   99.000    5.000   99.047
OBS:  56180.219  g NULL  -1.232e+01   3.213e+00  -3.83   99.000    5.000   98.965
OBS:  56180.234  r NULL  -1.486e+00   2.425e+00  -0.61   99.000    5.000   98.966
OBS:  56180.250  i NULL   1.323e+00   4.310e+00   0.31   99.000    5.000   98.995
OBS:  56188.191  z NULL   1.008e+00   2.732e+01   0.04   99.000    5.000   99.047
OBS:  56188.340  g NULL   4.861e+01   2.559e+01   1.90   99.000    5.000   98.965
OBS:  56188.355  r NULL   1.311e+00   4.152e+00   0.32   99.000    5.000   98.966
OBS:  56189.195  i NULL   4.898e+01   3.097e+01   1.58   99.000    5.000   98.995
OBS:  56194.215  g NULL   3.208e+00   4.765e+00   0.67   26.235  101.765   27.906
OBS:  56194.223  r NULL   1.331e+01   5.406e+00   2.46   24.690    0.565   28.517
OBS:  56194.227  z NULL  -8.486e+00   6.543e+00  -1.30  128.000    0.000   27.624
OBS:  56200.234  i NULL  -1.253e+00   1.198e+01  -0.10  128.000    0.000   27.305
OBS:  56208.160  g NULL   4.946e+00   3.002e+00   1.65   25.764    1.016   25.073
OBS:  56208.176  r NULL   4.668e+00   2.435e+00   1.92   25.827    0.801   25.628
OBS:  56208.191  z NULL   9.329e+00   4.943e+00   1.89   25.075    0.819   25.066
OBS:  56210.156  i NULL   1.382e+01   7.031e+00   1.97   24.649    0.771   25.366
OBS:  56216.164  g NULL   1.942e+01   2.791e+00   6.96   24.279    0.169   24.038
OBS:  56216.176  r NULL   2.045e+01   2.093e+00   9.77   24.223    0.117   24.204
OBS:  56216.191  z NULL   2.421e+01   4.075e+00   5.94   24.040    0.200   24.136
OBS:  56219.211  i NULL   2.305e+01   3.037e+00   7.59   24.093    0.154   23.896
OBS:  56221.148  g NULL   1.642e+01   1.597e+01   1.03   24.462    3.923   23.822
OBS:  56221.160  r NULL   3.594e+01   6.111e+00   5.88   23.611    0.202   23.728
OBS:  56221.176  z NULL   7.127e+00   1.540e+01   0.46   25.368  102.632   23.661
OBS:  56222.105  i NULL   4.514e+01   9.241e+00   4.88   23.364    0.248   23.610
OBS:  56222.312  g NULL   4.056e+01   4.258e+00   9.53   23.480    0.120   23.803
OBS:  56222.324  r NULL   2.634e+01   1.520e+01   1.73   23.948    0.935   23.668
OBS:  56222.340  z NULL   4.163e+01   4.087e+01   1.02   23.452    4.348   23.566
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56228.297  g NULL   2.981e+01   1.507e+01   1.98   23.814    0.764   23.882
OBS:  56228.305  r NULL   4.324e+01   5.568e+00   7.77   23.410    0.149   23.558
OBS:  56228.312  i NULL   6.043e+01   9.489e+00   6.37   23.047    0.185   23.292
OBS:  56228.320  z NULL   5.630e+01   5.902e+00   9.54   23.124    0.120   23.198
OBS:  56229.320  g NULL   3.137e+01   1.409e+01   2.23   23.759    0.647   23.916
OBS:  56229.332  r NULL   4.092e+01   7.304e+00   5.60   23.470    0.213   23.562
OBS:  56229.348  i NULL   4.287e+01   1.298e+01   3.30   23.420    0.392   23.273
OBS:  56230.070  z NULL   5.451e+01   7.212e+00   7.56   23.159    0.154   23.129
OBS:  56230.316  g NULL   5.416e+01   1.374e+01   3.94   23.166    0.317   23.950
OBS:  56230.328  r NULL   3.970e+01   6.727e+00   5.90   23.503    0.201   23.571
OBS:  56230.344  i NULL   5.547e+01   1.244e+01   4.46   23.140    0.276   23.261
OBS:  56231.301  g NULL   1.093e+01   1.168e+01   0.94   24.904  103.096   23.987
OBS:  56231.316  r NULL   3.527e+01   6.069e+00   5.81   23.632    0.205   23.585
OBS:  56231.328  i NULL   4.786e+01   1.052e+01   4.55   23.300    0.269   23.256
OBS:  56231.344  z NULL   5.728e+01   5.896e+00   9.71   23.105    0.118   23.089
OBS:  56235.297  g NULL   2.578e+01   9.673e+00   2.67   23.972    0.510   24.166
OBS:  56235.312  r NULL   3.970e+01   4.737e+00   8.38   23.503    0.138   23.663
OBS:  56235.324  i NULL   4.618e+01   6.712e+00   6.88   23.339    0.171   23.266
OBS:  56235.340  z NULL   6.559e+01   6.867e+00   9.55   22.958    0.120   22.999
OBS:  56236.312  g NULL   3.090e+01   7.858e+00   3.93   23.775    0.318   24.216
OBS:  56236.324  r NULL   3.656e+01   3.811e+00   9.59   23.593    0.119   23.688
OBS:  56236.340  i NULL   5.545e+01   6.184e+00   8.97   23.140    0.128   23.277
OBS:  56237.074  z NULL   6.812e+01   7.133e+00   9.55   22.917    0.120   22.977
OBS:  56237.340  g NULL   2.219e+01   1.185e+01   1.87   24.135    0.829   24.267
OBS:  56238.051  r NULL   3.105e+01   4.368e+00   7.11   23.770    0.165   23.736
OBS:  56238.059  i NULL   4.356e+01   5.545e+00   7.85   23.402    0.148   23.301
OBS:  56238.340  g NULL   3.229e+01   1.067e+01   3.03   23.727    0.435   24.317
OBS:  56243.047  z NULL   7.207e+01   8.441e+00   8.54   22.856    0.135   22.990
OBS:  56243.320  g NULL   1.739e+01   4.245e+00   4.10   24.400    0.304   24.599
OBS:  56243.336  r NULL   1.949e+01   3.338e+00   5.84   24.275    0.205   23.903
OBS:  56244.039  i NULL   3.380e+01   7.074e+00   4.78   23.678    0.256   23.415
OBS:  56244.309  g NULL   1.516e+01   4.165e+00   3.64   24.548    0.349   24.668
OBS:  56244.320  r NULL   2.330e+01   3.273e+00   7.12   24.082    0.165   23.934
OBS:  56245.047  z NULL   6.526e+01   5.166e+00  12.63   22.963    0.089   23.019
OBS:  56245.320  g NULL   1.596e+01   4.282e+00   3.73   24.492    0.339   24.741
OBS:  56246.055  r NULL   2.721e+01   2.461e+00  11.06   23.913    0.103   23.989
OBS:  56246.070  i NULL   4.430e+01   3.993e+00  11.09   23.384    0.102   23.452
OBS:  56247.223  g NULL   1.464e+01   3.030e+00   4.83   24.586    0.251   24.877
OBS:  56247.230  z NULL   5.739e+01   4.526e+00  12.68   23.103    0.089   23.062
OBS:  56248.305  r NULL   2.584e+01   2.446e+00  10.56   23.969    0.108   24.060
OBS:  56248.316  i NULL   3.687e+01   4.302e+00   8.57   23.583    0.135   23.493
OBS:  56258.152  g NULL   8.598e+00   1.264e+01   0.68   25.164  102.836   25.610
OBS:  56258.168  z NULL   3.110e+01   6.017e+00   5.17   23.768    0.235   23.385
OBS:  56258.273  r NULL   1.086e+01   7.786e+00   1.40   24.910    1.371   24.389
OBS:  56258.281  i NULL   5.598e+01   1.267e+01   4.42   23.130    0.278   23.755
OBS:  56261.266  g NULL  -1.687e+01   1.010e+01  -1.67  128.000    0.000   25.787
OBS:  56261.273  r NULL   1.103e+01   4.198e+00   2.63   24.893    0.521   24.496
OBS:  56261.281  i NULL   1.624e+01   7.043e+00   2.31   24.473    0.619   23.846
OBS:  56261.289  z NULL   3.885e+01   4.952e+00   7.85   23.526    0.148   23.452
OBS:  56275.152  g NULL   7.411e+00   3.320e+00   2.23   25.325    0.644   26.547
OBS:  56275.172  r NULL   1.243e+01   2.262e+00   5.50   24.764    0.218   25.024
OBS:  56275.191  i NULL   1.766e+01   4.514e+00   3.91   24.383    0.321   24.192
OBS:  56275.203  z NULL   2.234e+01   5.346e+00   4.18   24.127    0.298   23.837
OBS:  56283.203  g NULL  -9.401e+00   6.290e+00  -1.49  128.000    0.000   26.986
OBS:  56283.211  r NULL   9.398e+00   3.335e+00   2.82   25.067    0.476   25.337
OBS:  56283.215  i NULL   1.989e+01   5.835e+00   3.41   24.254    0.377   24.413
OBS:  56283.223  z NULL   3.089e+01   5.080e+00   6.08   23.775    0.195   23.971
OBS:  56288.199  g NULL   1.169e+01   1.179e+01   0.99   24.830  103.170   27.247
OBS:  56288.215  r NULL   8.772e-01   6.183e+00   0.14   27.642  100.358   25.521
OBS:  56289.109  i NULL   1.842e+01   7.093e+00   2.60   24.337    0.528   24.558
OBS:  56289.125  z NULL   2.354e+01   5.444e+00   4.32   24.071    0.286   24.104
OBS:  56292.098  g NULL   4.850e+00   1.165e+01   0.42   25.786  102.214   27.451
OBS:  56292.102  r NULL   7.998e+00   4.834e+00   1.65   25.243    1.007   25.668
OBS:  56292.191  i NULL   1.058e+01   5.609e+00   1.89   24.939    0.821   24.634
OBS:  56292.199  z NULL   2.330e+01   5.180e+00   4.50   24.082    0.273   24.178
OBS:  56304.051  g NULL   4.624e-01   2.482e+00   0.19   28.338   99.662   27.960
OBS:  56304.055  r NULL   2.170e+00   1.663e+00   1.31   26.659    1.579   26.142
OBS:  56304.070  i NULL   7.761e+00   2.520e+00   3.08   25.275    0.427   24.960
OBS:  56304.086  z NULL   1.856e+01   3.953e+00   4.70   24.328    0.260   24.436
OBS:  56312.055  g NULL   6.687e+00   7.569e+00   0.88   25.437  102.563   28.294
OBS:  56312.066  r NULL  -2.436e+00   2.964e+00  -0.82  128.000    0.000   26.441
OBS:  56312.090  i NULL   1.578e+01   5.032e+00   3.14   24.505    0.416   25.166
OBS:  56312.113  z NULL   2.301e+01   5.448e+00   4.22   24.095    0.293   24.598
OBS:  56320.043  g NULL  -2.228e+00   6.169e+00  -0.36  128.000    0.000   28.748
OBS:  56320.051  r NULL   1.552e-01   2.491e+00   0.06   29.523   98.477   26.695
OBS:  56320.059  i NULL   1.300e+01   3.665e+00   3.55   24.715    0.359   25.323
OBS:  56320.070  z NULL   7.310e+00   4.399e+00   1.66   25.340    1.001   24.773
END: 
