SURVEY: DES   
SNID:   182917   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.63872 +- 0.01670  (Helio, z_best) 
REDSHIFT_FINAL:   0.63872 +- 0.01670  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16861 
HOST_GALAXY_PHOTO-Z:   0.6387  +- 0.0167  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.6383  
SIM_HOSTLIB_TRUEZ:  0.6400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16861  
SIM_DLMU:      42.902428  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0687   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.107  mag  (host extinction at 5510 A)
SIM_RV:         2.257   (CCM89 extinction parameter) 
SIM_PEAKMAG:   25.44  23.62  23.46  23.39  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56270.578125  days 
SIM_DELTA:      0.116  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.884  
SIM_MAGDIM:    0.380  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.10   days 
SIM_TRESTMAX:    49.10   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56271.238  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 108 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56208.160  g NULL  -1.938e+00   2.972e+00  -0.65   99.000    5.000   99.000
OBS:  56208.176  r NULL   5.914e-01   2.428e+00   0.24   99.000    5.000   99.000
OBS:  56208.191  z NULL  -6.514e+00   4.939e+00  -1.32   99.000    5.000   99.000
OBS:  56210.156  i NULL  -1.828e-05   7.024e+00  -0.00   99.000    5.000   99.000
OBS:  56216.164  g NULL  -1.039e+00   2.686e+00  -0.39   99.000    5.000   99.000
OBS:  56216.176  r NULL   1.208e+00   2.036e+00   0.59   99.000    5.000   99.000
OBS:  56216.191  z NULL  -5.117e+00   4.046e+00  -1.26   99.000    5.000   99.000
OBS:  56219.211  i NULL  -2.151e+00   2.987e+00  -0.72   99.000    5.000   99.000
OBS:  56221.148  g NULL   6.342e+00   1.591e+01   0.40   99.000    5.000   99.000
OBS:  56221.160  r NULL  -2.578e+00   6.048e+00  -0.43   99.000    5.000   99.000
OBS:  56221.176  z NULL   2.107e+01   1.540e+01   1.37   99.000    5.000   99.000
OBS:  56222.105  i NULL  -3.702e+00   9.190e+00  -0.40   99.000    5.000   99.000
OBS:  56222.312  g NULL   3.812e+00   4.101e+00   0.93   99.000    5.000   99.000
OBS:  56222.324  r NULL   1.056e+01   1.517e+01   0.70   99.000    5.000   99.000
OBS:  56222.340  z NULL   7.422e+01   4.088e+01   1.82   99.000    5.000   99.000
OBS:  56228.297  g NULL  -2.217e+00   1.503e+01  -0.15   99.000    5.000   99.000
OBS:  56228.305  r NULL  -2.087e+00   5.493e+00  -0.38   99.000    5.000   99.000
OBS:  56228.312  i NULL  -1.139e+01   9.414e+00  -1.21   99.000    5.000   99.000
OBS:  56228.320  z NULL  -1.379e+00   5.800e+00  -0.24   99.000    5.000   99.000
OBS:  56229.320  g NULL  -1.829e+01   1.406e+01  -1.30   99.000    5.000   99.000
OBS:  56229.332  r NULL   6.494e+00   7.252e+00   0.90   99.000    5.000   99.000
OBS:  56229.348  i NULL  -7.665e+00   1.295e+01  -0.59   99.000    5.000   99.000
OBS:  56230.070  z NULL   3.371e+00   7.133e+00   0.47   99.000    5.000   99.000
OBS:  56230.316  g NULL   4.714e+00   1.368e+01   0.34   99.000    5.000   99.000
OBS:  56230.328  r NULL  -1.301e+01   6.677e+00  -1.95   99.000    5.000   99.000
OBS:  56230.344  i NULL   5.503e+00   1.239e+01   0.44   99.000    5.000   99.000
OBS:  56231.301  g NULL   1.539e+01   1.166e+01   1.32   99.000    5.000   99.000
OBS:  56231.316  r NULL   4.113e+00   6.018e+00   0.68   99.000    5.000   99.000
OBS:  56231.328  i NULL   3.389e+00   1.047e+01   0.32   99.000    5.000   99.000
OBS:  56231.344  z NULL   6.581e+00   5.791e+00   1.14   99.000    5.000   99.000
OBS:  56235.297  g NULL   3.911e+00   9.637e+00   0.41   99.000    5.000   99.000
OBS:  56235.312  r NULL   4.461e+00   4.660e+00   0.96   99.000    5.000   99.000
OBS:  56235.324  i NULL  -2.378e+00   6.641e+00  -0.36   99.000    5.000   99.000
OBS:  56235.340  z NULL  -3.260e+00   6.749e+00  -0.48   99.000    5.000   99.000
OBS:  56236.312  g NULL  -8.184e-01   7.809e+00  -0.10   99.000    5.000   99.000
OBS:  56236.324  r NULL  -4.156e-01   3.728e+00  -0.11   99.000    5.000   99.000
OBS:  56236.340  i NULL   1.775e+00   6.080e+00   0.29   99.000    5.000   99.000
OBS:  56237.074  z NULL   2.179e+00   7.011e+00   0.31   99.000    5.000   99.000
OBS:  56237.340  g NULL   1.410e+01   1.182e+01   1.19   99.000    5.000   99.000
OBS:  56238.051  r NULL   3.887e+00   4.311e+00   0.90   26.026  101.974   47.438
OBS:  56238.059  i NULL  -1.341e+00   5.466e+00  -0.25  128.000    0.000   46.576
OBS:  56238.340  g NULL  -1.029e+01   1.062e+01  -0.97  128.000    0.000   45.158
OBS:  56243.047  z NULL  -6.634e+00   8.328e+00  -0.80  128.000    0.000   27.265
OBS:  56243.320  g NULL   1.960e+00   4.200e+00   0.47   26.769  101.231   29.947
OBS:  56243.336  r NULL  -2.973e+00   3.299e+00  -0.90  128.000    0.000   27.509
OBS:  56244.039  i NULL  -8.719e+00   7.035e+00  -1.24  128.000    0.000   27.081
OBS:  56244.309  g NULL   6.212e+00   4.124e+00   1.51   25.517    1.183   29.564
OBS:  56244.320  r NULL   3.876e+00   3.226e+00   1.20   26.029    1.937   27.129
OBS:  56245.047  z NULL  -3.793e+00   5.011e+00  -0.76  128.000    0.000   26.552
OBS:  56245.320  g NULL  -8.345e-01   4.229e+00  -0.20  128.000    0.000   29.251
OBS:  56246.055  r NULL   2.849e+00   2.385e+00   1.19   26.363    1.971   26.607
OBS:  56246.070  i NULL   3.079e+00   3.885e+00   0.79   26.279  101.721   26.445
OBS:  56247.223  g NULL   2.102e+00   2.981e+00   0.71   26.693  101.307   28.689
OBS:  56247.230  z NULL   4.019e+00   4.386e+00   0.92   25.990  102.010   25.974
OBS:  56248.305  r NULL   1.311e+00   2.377e+00   0.55   27.206  100.794   26.092
OBS:  56248.316  i NULL   4.806e+00   4.230e+00   1.14   25.796    2.304   25.877
OBS:  56258.152  g NULL   2.567e+00   1.264e+01   0.20   26.476  101.524   25.953
OBS:  56258.168  z NULL   1.461e+01   5.993e+00   2.44   24.589    0.575   23.999
OBS:  56258.273  r NULL   2.781e+01   7.802e+00   3.57   23.889    0.357   24.152
OBS:  56258.281  i NULL   1.458e+01   1.263e+01   1.15   24.591    2.186   24.044
OBS:  56261.266  g NULL   8.899e-02   1.009e+01   0.01   30.127   97.873   25.506
OBS:  56261.273  r NULL   2.887e+01   4.234e+00   6.82   23.849    0.172   23.864
OBS:  56261.281  i NULL   2.874e+01   7.058e+00   4.07   23.854    0.306   23.748
OBS:  56261.289  z NULL   2.866e+01   4.927e+00   5.82   23.857    0.205   23.718
OBS:  56275.152  g NULL   8.042e+00   3.328e+00   2.42   25.237    0.579   25.805
OBS:  56275.172  r NULL   3.033e+01   2.343e+00  12.94   23.795    0.088   23.753
OBS:  56275.191  i NULL   3.537e+01   4.559e+00   7.76   23.628    0.150   23.488
OBS:  56275.203  z NULL   4.487e+01   5.397e+00   8.31   23.370    0.139   23.385
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56283.203  g NULL  -2.339e+00   6.288e+00  -0.37  128.000    0.000   26.799
OBS:  56283.211  r NULL   1.651e+01   3.355e+00   4.92   24.456    0.247   24.219
OBS:  56283.215  i NULL   2.856e+01   5.853e+00   4.88   23.861    0.249   23.772
OBS:  56283.223  z NULL   4.869e+01   5.130e+00   9.49   23.281    0.120   23.579
OBS:  56288.199  g NULL   4.262e-01   1.179e+01   0.04   28.426   99.574   27.185
OBS:  56288.215  r NULL   1.066e+01   6.189e+00   1.72   24.931    0.944   24.579
OBS:  56289.109  i NULL   4.525e+01   7.137e+00   6.34   23.361    0.185   24.122
OBS:  56289.125  z NULL   2.463e+01   5.447e+00   4.52   24.021    0.272   23.840
