SURVEY: DES   
SNID:   183009   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   1.04515 +- 0.03860  (Helio, z_best) 
REDSHIFT_FINAL:   1.04515 +- 0.03860  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15222 
HOST_GALAXY_PHOTO-Z:   1.0452  +- 0.0386  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  1.0288  
SIM_HOSTLIB_TRUEZ:  1.0300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15222  
SIM_DLMU:      44.176346  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0687   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   98.56  24.85  23.93  23.81  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56287.308594  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.790e-06   
SIM_SALT2x1:    0.4009   
SIM_SALT2c:    -0.0769   
SIM_SALT2mB:   24.5211   
SIM_STRETCH:    1.401  
SIM_MAGDIM:    0.828  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.01   days 
SIM_TRESTMAX:    31.41   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56287.277  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 108 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56208.160  g NULL  -1.742e+00   2.972e+00  -0.59   99.000    5.000   98.564
OBS:  56208.176  r NULL   3.435e+00   2.429e+00   1.41   99.000    5.000   98.974
OBS:  56208.191  z NULL   3.300e-01   4.938e+00   0.07   99.000    5.000   99.005
OBS:  56210.156  i NULL   2.124e+00   7.024e+00   0.30   99.000    5.000   99.039
OBS:  56216.164  g NULL  -1.269e+00   2.686e+00  -0.47   99.000    5.000   98.564
OBS:  56216.176  r NULL   7.454e-01   2.036e+00   0.37   99.000    5.000   98.974
OBS:  56216.191  z NULL  -7.882e+00   4.047e+00  -1.95   99.000    5.000   99.005
OBS:  56219.211  i NULL  -4.647e+00   2.988e+00  -1.56   99.000    5.000   99.039
OBS:  56221.148  g NULL   1.842e+01   1.592e+01   1.16   99.000    5.000   98.564
OBS:  56221.160  r NULL   7.948e+00   6.049e+00   1.31   99.000    5.000   98.974
OBS:  56221.176  z NULL  -2.964e+00   1.539e+01  -0.19   99.000    5.000   99.005
OBS:  56222.105  i NULL   3.810e+00   9.190e+00   0.41   99.000    5.000   99.039
OBS:  56222.312  g NULL   1.059e-01   4.100e+00   0.03   99.000    5.000   98.564
OBS:  56222.324  r NULL  -6.618e+00   1.517e+01  -0.44   99.000    5.000   98.974
OBS:  56222.340  z NULL   2.523e+01   4.086e+01   0.62   99.000    5.000   99.005
OBS:  56228.297  g NULL   4.289e+01   1.505e+01   2.85   99.000    5.000   98.564
OBS:  56228.305  r NULL  -3.642e+00   5.493e+00  -0.66   99.000    5.000   98.974
OBS:  56228.312  i NULL  -3.910e+00   9.412e+00  -0.42   99.000    5.000   99.039
OBS:  56228.320  z NULL   2.693e+00   5.800e+00   0.46   99.000    5.000   99.005
OBS:  56229.320  g NULL   1.328e+01   1.406e+01   0.94   99.000    5.000   98.564
OBS:  56229.332  r NULL  -1.002e+01   7.254e+00  -1.38   99.000    5.000   98.974
OBS:  56229.348  i NULL  -1.417e+00   1.295e+01  -0.11   99.000    5.000   99.039
OBS:  56230.070  z NULL  -7.532e-01   7.133e+00  -0.11   99.000    5.000   99.005
OBS:  56230.316  g NULL  -1.650e+01   1.368e+01  -1.21   99.000    5.000   98.564
OBS:  56230.328  r NULL   2.248e+00   6.672e+00   0.34   99.000    5.000   98.974
OBS:  56230.344  i NULL  -1.909e+01   1.240e+01  -1.54   99.000    5.000   99.039
OBS:  56231.301  g NULL   3.112e+01   1.167e+01   2.67   99.000    5.000   98.564
OBS:  56231.316  r NULL   4.739e+00   6.018e+00   0.79   99.000    5.000   98.974
OBS:  56231.328  i NULL   2.117e+01   1.048e+01   2.02   99.000    5.000   99.039
OBS:  56231.344  z NULL  -2.304e+00   5.790e+00  -0.40   99.000    5.000   99.005
OBS:  56235.297  g NULL  -6.661e+00   9.637e+00  -0.69   99.000    5.000   98.564
OBS:  56235.312  r NULL  -1.053e+01   4.664e+00  -2.26   99.000    5.000   98.974
OBS:  56235.324  i NULL  -1.239e+00   6.640e+00  -0.19   99.000    5.000   99.039
OBS:  56235.340  z NULL   8.272e+00   6.751e+00   1.23   99.000    5.000   99.005
OBS:  56236.312  g NULL  -1.290e+01   7.813e+00  -1.65   99.000    5.000   98.564
OBS:  56236.324  r NULL   1.491e+00   3.728e+00   0.40   99.000    5.000   98.974
OBS:  56236.340  i NULL   4.148e+00   6.080e+00   0.68   99.000    5.000   99.039
OBS:  56237.074  z NULL   7.520e+00   7.012e+00   1.07   99.000    5.000   99.005
OBS:  56237.340  g NULL   6.837e+00   1.182e+01   0.58   99.000    5.000   98.564
OBS:  56238.051  r NULL   4.502e+00   4.311e+00   1.04   99.000    5.000   98.974
OBS:  56238.059  i NULL   4.299e-01   5.466e+00   0.08   99.000    5.000   99.039
OBS:  56238.340  g NULL   2.421e+00   1.062e+01   0.23   99.000    5.000   98.564
OBS:  56243.047  z NULL   7.240e+00   8.328e+00   0.87   99.000    5.000   99.005
OBS:  56243.320  g NULL   4.913e-02   4.199e+00   0.01   99.000    5.000   98.564
OBS:  56243.336  r NULL  -2.253e+00   3.298e+00  -0.68   99.000    5.000   98.974
OBS:  56244.039  i NULL   1.299e+00   7.032e+00   0.18   99.000    5.000   99.039
OBS:  56244.309  g NULL  -1.060e+00   4.123e+00  -0.26   99.000    5.000   98.564
OBS:  56244.320  r NULL   3.515e+00   3.225e+00   1.09   99.000    5.000   98.974
OBS:  56245.047  z NULL   4.014e+00   5.011e+00   0.80   99.000    5.000   99.005
OBS:  56245.320  g NULL   5.033e+00   4.229e+00   1.19   99.000    5.000   98.564
OBS:  56246.055  r NULL   5.041e-01   2.382e+00   0.21   99.000    5.000   98.974
OBS:  56246.070  i NULL  -3.028e+00   3.884e+00  -0.78   99.000    5.000   99.039
OBS:  56247.223  g NULL  -2.922e+00   2.980e+00  -0.98   99.000    5.000   98.564
OBS:  56247.230  z NULL   5.923e-01   4.385e+00   0.14   28.069   99.931   31.263
OBS:  56248.305  r NULL  -1.715e+00   2.373e+00  -0.72  128.000    0.000   30.890
OBS:  56248.316  i NULL  -3.709e+00   4.227e+00  -0.88  128.000    0.000   30.218
OBS:  56258.152  g NULL   5.464e+00   1.263e+01   0.43   99.000    5.000   98.564
OBS:  56258.168  z NULL   9.333e+00   5.985e+00   1.56   25.075    1.113   25.894
OBS:  56258.273  r NULL  -6.324e+00   7.779e+00  -0.81  128.000    0.000   26.745
OBS:  56258.281  i NULL   6.278e+00   1.262e+01   0.50   25.505  102.495   26.077
OBS:  56261.266  g NULL  -6.878e-01   1.009e+01  -0.07   99.000    5.000   98.564
OBS:  56261.273  r NULL   5.555e+00   4.187e+00   1.33   25.638    1.521   26.202
OBS:  56261.281  i NULL   7.152e+00   7.032e+00   1.02   25.364    4.434   25.517
OBS:  56261.289  z NULL   1.403e+00   4.893e+00   0.29   27.132  100.868   25.359
OBS:  56275.152  g NULL  -1.337e+00   3.310e+00  -0.40   99.000    5.000   98.564
OBS:  56275.172  r NULL   7.140e+00   2.257e+00   3.16   25.366    0.414   24.763
OBS:  56275.191  i NULL   2.181e+01   4.522e+00   4.82   24.153    0.253   24.030
OBS:  56275.203  z NULL   2.645e+01   5.352e+00   4.94   23.944    0.245   24.027
OBS:  56283.203  g NULL   8.314e+00   6.287e+00   1.32   99.000    5.000   98.564
OBS:  56283.211  r NULL   1.404e+01   3.345e+00   4.20   24.632    0.295   24.713
OBS:  56283.215  i NULL   3.081e+01   5.855e+00   5.26   23.778    0.229   23.904
OBS:  56283.223  z NULL   2.500e+01   5.070e+00   4.93   24.005    0.247   23.827
OBS:  56288.199  g NULL   2.785e+00   1.179e+01   0.24   99.000    5.000   98.564
OBS:  56288.215  r NULL   6.530e+00   6.186e+00   1.06   25.463    3.203   24.901
OBS:  56289.109  i NULL   2.411e+01   7.102e+00   3.40   24.044    0.379   23.950
OBS:  56289.125  z NULL   2.043e+01   5.441e+00   3.75   24.224    0.337   23.821
OBS:  56292.098  g NULL  -1.326e+01   1.165e+01  -1.14   99.000    5.000   98.564
OBS:  56292.102  r NULL   1.682e+01   4.846e+00   3.47   24.436    0.368   25.133
OBS:  56292.191  i NULL   1.734e+01   5.620e+00   3.09   24.402    0.426   24.014
OBS:  56292.199  z NULL   2.879e+01   5.191e+00   5.55   23.852    0.216   23.859
OBS:  56304.051  g NULL   6.667e-01   2.480e+00   0.27   99.000    5.000   98.564
OBS:  56304.055  r NULL   7.451e+00   1.670e+00   4.46   25.319    0.275   25.842
OBS:  56304.070  i NULL   1.723e+01   2.541e+00   6.78   24.409    0.173   24.472
OBS:  56304.086  z NULL   2.456e+01   3.966e+00   6.19   24.024    0.191   24.132
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56312.055  g NULL  -3.962e+00   7.568e+00  -0.52   99.000    5.000   98.564
OBS:  56312.066  r NULL   9.372e+00   2.969e+00   3.16   25.070    0.413   26.281
OBS:  56312.090  i NULL   1.490e+01   5.032e+00   2.96   24.567    0.447   24.882
OBS:  56312.113  z NULL   1.195e+01   5.436e+00   2.20   24.806    0.659   24.457
OBS:  56320.043  g NULL   1.067e+01   6.171e+00   1.73   99.000    5.000   98.564
OBS:  56320.051  r NULL   4.370e+00   2.492e+00   1.75   25.899    0.916   26.886
OBS:  56320.059  i NULL   3.653e+00   3.658e+00   1.00   26.093  101.907   25.363
OBS:  56320.070  z NULL   2.030e+01   4.412e+00   4.60   24.231    0.265   24.818
OBS:  56328.047  g NULL   7.885e-01   3.351e+00   0.24   99.000    5.000   98.564
OBS:  56328.055  r NULL   4.238e+00   2.405e+00   1.76   25.932    0.909   27.538
OBS:  56328.070  i NULL   1.904e+00   4.048e+00   0.47   26.801  101.199   25.851
OBS:  56328.086  z NULL  -1.142e+01   6.786e+00  -1.68  128.000    0.000   25.216
OBS:  56336.062  g NULL  -1.309e+00   3.700e+00  -0.35   99.000    5.000   98.564
OBS:  56336.082  r NULL  -8.565e-01   3.008e+00  -0.28  128.000    0.000   27.900
OBS:  56337.062  i NULL   4.501e+00   2.930e+00   1.54   25.867    1.142   26.421
OBS:  56337.078  z NULL   8.612e+00   3.751e+00   2.30   25.162    0.621   25.618
OBS:  56345.039  g NULL   1.118e+01   7.142e+00   1.57   99.000    5.000   98.564
OBS:  56345.055  r NULL   3.037e-01   3.770e+00   0.08   28.794   99.206   28.124
OBS:  56346.055  i NULL  -4.367e+00   5.988e+00  -0.73  128.000    0.000   26.709
OBS:  56348.027  z NULL   1.587e+00   5.020e+00   0.32   26.999  101.001   26.055
