SURVEY: DES   
SNID:   183363   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.96151 +- 0.02740  (Helio, z_best) 
REDSHIFT_FINAL:   0.96151 +- 0.02740  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14152 
HOST_GALAXY_PHOTO-Z:   0.9615  +- 0.0274  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  0  
SIM_REDSHIFT:  1.0093  
SIM_HOSTLIB_TRUEZ:  1.0100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14152  
SIM_DLMU:      44.125126  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0088   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.093  mag  (host extinction at 5510 A)
SIM_RV:         3.065   (CCM89 extinction parameter) 
SIM_PEAKMAG:   55.25  24.96  23.89  23.88  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56332.593750  days 
SIM_DELTA:     -0.375  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.375  
SIM_MAGDIM:    0.032  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -37.11   days 
SIM_TRESTMAX:     9.21   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56332.473  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 63 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.035  i NULL  -2.372e+00   9.885e+00  -0.24   99.000    5.000   99.000
OBS:  56258.066  z NULL  -4.194e+00   3.968e+00  -1.06   99.000    5.000   99.000
OBS:  56258.215  g NULL  -4.413e+00   4.948e+00  -0.89   99.000    5.000   99.000
OBS:  56258.227  r NULL  -3.321e-01   2.381e+00  -0.14   99.000    5.000   99.000
OBS:  56261.098  g NULL   2.145e+00   8.827e+00   0.24   99.000    5.000   99.000
OBS:  56261.102  r NULL   4.194e+00   3.395e+00   1.24   99.000    5.000   99.000
OBS:  56261.125  i NULL  -4.435e+00   3.854e+00  -1.15   99.000    5.000   99.000
OBS:  56261.156  z NULL  -1.392e+00   3.086e+00  -0.45   99.000    5.000   99.000
OBS:  56273.160  g NULL  -3.446e-01   1.752e+00  -0.20   99.000    5.000   99.000
OBS:  56273.176  r NULL   1.040e+00   1.213e+00   0.86   99.000    5.000   99.000
OBS:  56273.188  i NULL  -3.214e+00   2.024e+00  -1.59   99.000    5.000   99.000
OBS:  56273.219  z NULL   1.422e+00   2.251e+00   0.63   99.000    5.000   99.000
OBS:  56281.160  g NULL  -3.542e+00   2.075e+00  -1.71   99.000    5.000   99.000
OBS:  56281.184  r NULL  -1.006e+00   1.273e+00  -0.79   99.000    5.000   99.000
OBS:  56281.203  i NULL  -1.624e+00   1.799e+00  -0.90   99.000    5.000   99.000
OBS:  56281.227  z NULL  -5.957e-01   2.290e+00  -0.26   99.000    5.000   99.000
OBS:  56288.086  g NULL  -3.227e+00   4.849e+00  -0.67   99.000    5.000   99.000
OBS:  56288.094  r NULL  -2.218e+00   2.114e+00  -1.05   99.000    5.000   99.000
OBS:  56288.109  i NULL   1.664e+00   3.059e+00   0.54   99.000    5.000   99.000
OBS:  56288.141  z NULL  -8.204e-02   2.584e+00  -0.03   99.000    5.000   99.000
OBS:  56289.227  g NULL  -5.939e+00   6.492e+00  -0.91   99.000    5.000   99.000
OBS:  56289.242  r NULL  -3.430e+00   2.702e+00  -1.27   99.000    5.000   99.000
OBS:  56289.258  i NULL  -9.344e+00   5.087e+00  -1.84   99.000    5.000   99.000
OBS:  56292.035  z NULL   2.661e+00   2.062e+00   1.29   99.000    5.000   99.000
OBS:  56292.141  g NULL  -3.072e+00   3.054e+00  -1.01   99.000    5.000   99.000
OBS:  56292.156  r NULL   2.064e+00   1.735e+00   1.19   99.000    5.000   99.000
OBS:  56292.172  i NULL  -4.846e-01   2.653e+00  -0.18   99.000    5.000   99.000
OBS:  56303.039  g NULL   7.363e-01   1.371e+00   0.54   27.832  100.168   57.054
OBS:  56303.051  r NULL   1.307e+00   9.016e-01   1.45   27.209    1.272   26.770
OBS:  56303.070  i NULL   4.707e+00   1.418e+00   3.32   25.818    0.390   25.672
OBS:  56303.094  z NULL   3.543e+00   2.210e+00   1.60   26.127    1.062   25.812
OBS:  56311.043  g NULL  -3.849e-01   2.670e+00  -0.14  128.000    0.000   55.861
OBS:  56311.055  r NULL   1.046e+01   1.512e+00   6.91   24.952    0.169   25.399
OBS:  56311.074  i NULL   1.664e+01   2.412e+00   6.90   24.447    0.170   24.596
OBS:  56311.098  z NULL   1.129e+01   2.445e+00   4.62   24.868    0.265   24.667
OBS:  56317.125  g NULL   1.309e+00   4.216e+00   0.31   27.208  100.792   55.304
OBS:  56317.141  r NULL   1.113e+01   1.877e+00   5.93   24.884    0.201   24.779
OBS:  56318.109  i NULL   2.326e+01   2.820e+00   8.25   24.084    0.141   24.037
OBS:  56318.141  z NULL   2.416e+01   3.011e+00   8.03   24.042    0.144   24.154
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56321.090  g NULL   7.227e+00   6.628e+00   1.09   25.353    2.702   55.135
OBS:  56321.098  r NULL   1.467e+01   2.910e+00   5.04   24.584    0.240   24.550
OBS:  56321.109  i NULL   2.598e+01   3.446e+00   7.54   23.963    0.155   23.938
OBS:  56321.141  z NULL   2.444e+01   2.995e+00   8.16   24.030    0.142   24.007
OBS:  56332.039  g NULL  -1.958e+00   1.459e+00  -1.34  128.000    0.000   55.240
OBS:  56332.051  r NULL   1.071e+01   1.003e+00  10.68   24.926    0.107   24.933
OBS:  56332.070  i NULL   2.822e+01   1.679e+00  16.81   23.873    0.067   23.885
OBS:  56332.094  z NULL   2.455e+01   2.620e+00   9.37   24.025    0.123   23.876
OBS:  56340.043  g NULL  -8.854e-01   2.749e+00  -0.32  128.000    0.000   55.442
OBS:  56340.055  r NULL   6.709e+00   1.655e+00   4.05   25.433    0.308   25.310
OBS:  56340.074  i NULL   3.078e+01   2.786e+00  11.05   23.779    0.102   24.022
OBS:  56340.098  z NULL   2.861e+01   3.030e+00   9.44   23.859    0.121   23.950
OBS:  56348.055  g NULL   2.789e+00   3.249e+00   0.86   26.386  101.614   55.727
OBS:  56348.070  r NULL   7.812e+00   2.105e+00   3.71   25.268    0.340   25.773
OBS:  56349.004  i NULL   1.826e+01   2.384e+00   7.66   24.346    0.152   24.287
OBS:  56349.027  z NULL   2.397e+01   2.470e+00   9.70   24.051    0.118   24.147
OBS:  56350.043  g NULL   8.819e+00   3.839e+00   2.30   25.136    0.620   55.820
OBS:  56350.055  r NULL   2.151e+00   1.816e+00   1.18   26.669    2.025   25.870
OBS:  56350.070  i NULL   1.898e+01   3.183e+00   5.96   24.304    0.199   24.338
OBS:  56350.098  z NULL   2.352e+01   4.880e+00   4.82   24.072    0.252   24.175
OBS:  56351.043  g NULL   2.836e+00   3.351e+00   0.85   26.368  101.632   55.870
OBS:  56351.055  r NULL   4.334e+00   1.764e+00   2.46   25.908    0.568   25.922
OBS:  56351.070  i NULL   1.785e+01   3.080e+00   5.80   24.371    0.206   24.386
OBS:  56351.098  z NULL   1.809e+01   4.794e+00   3.77   24.357    0.335   24.206
END: 
