SURVEY: DES   
SNID:   186012   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.21224 +- 0.03140  (Helio, z_best) 
REDSHIFT_FINAL:   0.21224 +- 0.03140  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   17498 
HOST_GALAXY_PHOTO-Z:   0.2122  +- 0.0314  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.2241  
SIM_HOSTLIB_TRUEZ:  0.2200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  17498  
SIM_DLMU:      40.233868  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0108   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   21.03  20.86  20.88  21.44  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56150.167969  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   6.639e-05   
SIM_SALT2x1:    0.2821   
SIM_SALT2c:     0.0756   
SIM_SALT2mB:   21.0798   
SIM_STRETCH:    1.282  
SIM_MAGDIM:    1.329  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    21.26   days 
SIM_TRESTMAX:    69.37   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56148.715  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 64 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL   6.007e+01   4.931e+00  12.18   23.053    0.093   23.102
OBS:  56176.199  r NULL   1.756e+02   3.934e+00  44.65   21.888    0.025   21.874
OBS:  56176.215  i NULL   2.267e+02   5.289e+00  42.86   21.611    0.026   21.586
OBS:  56176.238  z NULL   1.567e+02   3.840e+00  40.81   22.012    0.027   21.992
OBS:  56179.188  g NULL   4.664e+01   2.775e+00  16.81   23.328    0.066   23.371
OBS:  56179.195  r NULL   1.574e+02   3.423e+00  45.98   22.008    0.024   22.014
OBS:  56179.234  i NULL   2.200e+02   4.579e+00  48.05   21.644    0.023   21.641
OBS:  56179.266  z NULL   1.683e+02   4.878e+00  34.50   21.935    0.032   21.959
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56180.266  g NULL   3.670e+01   2.690e+00  13.64   23.588    0.083   23.455
OBS:  56180.281  r NULL   1.507e+02   3.130e+00  48.16   22.054    0.023   22.062
OBS:  56180.297  i NULL   2.182e+02   5.510e+00  39.60   21.653    0.028   21.662
OBS:  56180.328  z NULL   1.598e+02   5.392e+00  29.64   21.991    0.037   21.981
OBS:  56188.160  g NULL   3.636e+01   5.755e+00   6.32   23.598    0.186   23.917
OBS:  56188.176  r NULL   1.135e+02   6.000e+00  18.92   22.362    0.059   22.428
OBS:  56188.211  i NULL   1.704e+02   5.559e+00  30.65   21.922    0.036   21.908
OBS:  56188.238  z NULL   1.367e+02   4.254e+00  32.12   22.161    0.034   22.170
OBS:  56189.254  g NULL   2.833e+01   2.384e+00  11.89   23.869    0.095   23.972
OBS:  56189.270  r NULL   1.012e+02   3.815e+00  26.53   22.487    0.042   22.489
OBS:  56189.281  i NULL   1.701e+02   9.621e+00  17.68   21.923    0.063   21.964
OBS:  56189.312  z NULL   1.387e+02   3.943e+00  35.18   22.145    0.031   22.159
OBS:  56194.258  g NULL   2.135e+01   2.697e+00   7.91   24.177    0.147   24.179
OBS:  56194.270  r NULL   8.027e+01   2.146e+00  37.40   22.739    0.030   22.722
OBS:  56194.285  i NULL   1.314e+02   3.387e+00  38.80   22.204    0.028   22.223
OBS:  56194.305  z NULL   1.380e+02   3.515e+00  39.26   22.150    0.027   22.197
OBS:  56202.160  g NULL   2.214e+01   4.820e+00   4.59   24.137    0.266   24.357
