SURVEY: DES   
SNID:   187309   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.97480 +- 0.01650  (Helio, z_best) 
REDSHIFT_FINAL:   0.97480 +- 0.01650  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15309 
HOST_GALAXY_PHOTO-Z:   0.9748  +- 0.0165  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.9706  
SIM_HOSTLIB_TRUEZ:  0.9700  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15309  
SIM_DLMU:      44.020149  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0190   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   28.65  25.24  24.05  24.01  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56201.570312  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.339e-06   
SIM_SALT2x1:   -0.6501   
SIM_SALT2c:    -0.0044   
SIM_SALT2mB:   24.7125   
SIM_STRETCH:    0.350  
SIM_MAGDIM:    1.175  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -12.38   days 
SIM_TRESTMAX:    67.73   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56203.871  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 128 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   1.792e+00   4.787e+00   0.37   99.000    5.000   98.906
OBS:  56177.188  r NULL  -8.339e+00   5.336e+00  -1.56  128.000    0.000   28.279
OBS:  56177.203  i NULL   1.327e-02   5.436e+00   0.00   32.193   95.807   25.867
OBS:  56177.234  z NULL   3.127e+00   4.691e+00   0.67   26.262  101.738   25.882
OBS:  56179.172  g NULL  -5.790e-01   2.238e+00  -0.26   99.000    5.000   98.906
OBS:  56179.312  r NULL  -1.863e+00   3.030e+00  -0.61  128.000    0.000   27.052
OBS:  56179.328  i NULL   5.757e+00   4.202e+00   1.37   25.600    1.422   25.469
OBS:  56179.359  z NULL   8.660e+00   3.521e+00   2.46   25.156    0.566   25.481
OBS:  56187.156  g NULL  -1.447e+00   1.702e+00  -0.85   99.000    5.000   98.906
OBS:  56187.172  r NULL   5.387e+00   1.260e+00   4.28   25.672    0.290   25.330
OBS:  56187.188  i NULL   1.547e+01   1.925e+00   8.04   24.526    0.144   24.462
OBS:  56187.211  z NULL   1.851e+01   2.205e+00   8.39   24.332    0.137   24.467
OBS:  56189.148  g NULL   2.190e+01   9.768e+00   2.24   99.000    5.000   98.906
OBS:  56189.160  r NULL   8.231e+00   3.882e+00   2.12   25.211    0.693   25.203
OBS:  56189.176  i NULL   1.816e+01   8.082e+00   2.25   24.352    0.640   24.333
OBS:  56189.203  z NULL   1.185e+01   4.698e+00   2.52   24.816    0.549   24.335
OBS:  56194.121  g NULL   6.273e+00   3.773e+00   1.66   25.506    0.998   29.206
OBS:  56194.129  r NULL   4.588e+00   2.355e+00   1.95   25.846    0.784   25.084
OBS:  56200.156  i NULL   2.303e+01   8.079e+00   2.85   24.094    0.469   24.046
OBS:  56200.180  z NULL   2.575e+01   5.657e+00   4.55   23.973    0.269   24.015
OBS:  56207.156  g NULL  -3.422e+00   2.281e+00  -1.50  128.000    0.000   28.470
OBS:  56207.172  r NULL   6.140e+00   1.610e+00   3.81   25.530    0.330   25.600
OBS:  56209.191  i NULL   1.880e+01   2.175e+00   8.65   24.315    0.134   24.207
OBS:  56209.215  z NULL   2.052e+01   2.236e+00   9.18   24.220    0.126   24.112
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56215.164  g NULL  -1.086e+00   1.596e+00  -0.68  128.000    0.000   29.782
OBS:  56215.180  r NULL   3.263e+00   1.100e+00   2.97   26.216    0.447   26.095
OBS:  56217.152  i NULL   1.513e+01   1.431e+00  10.57   24.551    0.108   24.569
OBS:  56217.191  z NULL   1.688e+01   1.847e+00   9.14   24.432    0.126   24.333
OBS:  56221.062  g NULL  -3.278e+00   4.489e+00  -0.73  128.000    0.000   30.069
OBS:  56221.074  r NULL   1.349e+00   3.582e+00   0.38   27.175  100.825   26.460
OBS:  56221.195  i NULL   1.018e+01   1.346e+01   0.76   24.981  103.019   24.793
OBS:  56221.227  z NULL   1.174e+01   4.021e+00   2.92   24.826    0.456   24.498
OBS:  56222.047  g NULL  -5.532e+00   6.420e+00  -0.86  128.000    0.000   29.985
