SURVEY: DES   
SNID:   187402   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   1.11401 +- 0.08510  (Helio, z_best) 
REDSHIFT_FINAL:   1.11401 +- 0.08510  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11460 
HOST_GALAXY_PHOTO-Z:   1.1140  +- 0.0851  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  1.0869  
SIM_HOSTLIB_TRUEZ:  1.0900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11460  
SIM_DLMU:      44.324059  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0082   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   99.59  26.12  24.91  24.49  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56355.238281  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   1.488e-06   
SIM_SALT2x1:    0.3972   
SIM_SALT2c:     0.0901   
SIM_SALT2mB:   25.2037   
SIM_STRETCH:    1.397  
SIM_MAGDIM:    1.363  
SIM_SEARCHEFF_MASK:  2  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.33   days 
SIM_TRESTMAX:    -1.98   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56356.141  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 55 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56273.160  g NULL   2.920e+00   1.753e+00   1.67   99.000    5.000   99.585
OBS:  56273.176  r NULL  -2.246e-01   1.213e+00  -0.19   99.000    5.000   99.210
OBS:  56273.188  i NULL   5.001e-01   2.023e+00   0.25   99.000    5.000   99.244
OBS:  56273.219  z NULL  -4.249e-01   2.251e+00  -0.19   99.000    5.000   99.195
OBS:  56281.160  g NULL   1.314e+00   2.074e+00   0.63   99.000    5.000   99.585
OBS:  56281.184  r NULL  -5.505e-01   1.273e+00  -0.43   99.000    5.000   99.210
OBS:  56281.203  i NULL  -1.534e+00   1.799e+00  -0.85   99.000    5.000   99.244
OBS:  56281.227  z NULL   3.105e+00   2.291e+00   1.36   99.000    5.000   99.195
OBS:  56288.086  g NULL   9.084e+00   4.852e+00   1.87   99.000    5.000   99.585
OBS:  56288.094  r NULL   6.366e-01   2.113e+00   0.30   99.000    5.000   99.210
OBS:  56288.109  i NULL  -1.779e+00   3.059e+00  -0.58   99.000    5.000   99.244
OBS:  56288.141  z NULL   1.950e+00   2.584e+00   0.75   99.000    5.000   99.195
OBS:  56289.227  g NULL   2.152e+00   6.491e+00   0.33   99.000    5.000   99.585
OBS:  56289.242  r NULL  -4.528e+00   2.702e+00  -1.68   99.000    5.000   99.210
OBS:  56289.258  i NULL  -3.785e-01   5.084e+00  -0.07   99.000    5.000   99.244
OBS:  56292.035  z NULL   1.785e+00   2.061e+00   0.87   99.000    5.000   99.195
OBS:  56292.141  g NULL  -7.419e+00   3.056e+00  -2.43   99.000    5.000   99.585
OBS:  56292.156  r NULL  -1.517e+00   1.735e+00  -0.87   99.000    5.000   99.210
OBS:  56292.172  i NULL  -2.189e+00   2.653e+00  -0.83   99.000    5.000   99.244
OBS:  56303.039  g NULL  -1.104e+00   1.371e+00  -0.81   99.000    5.000   99.585
OBS:  56303.051  r NULL   6.396e-01   8.995e-01   0.71   99.000    5.000   99.210
OBS:  56303.070  i NULL   7.365e-01   1.413e+00   0.52   99.000    5.000   99.244
OBS:  56303.094  z NULL   1.211e-01   2.208e+00   0.05   99.000    5.000   99.195
OBS:  56311.043  g NULL   1.671e+00   2.670e+00   0.63   99.000    5.000   99.585
OBS:  56311.055  r NULL   1.548e-01   1.496e+00   0.10   99.000    5.000   99.210
OBS:  56311.074  i NULL   3.784e+00   2.389e+00   1.58   99.000    5.000   99.244
OBS:  56311.098  z NULL  -1.927e+00   2.434e+00  -0.79   99.000    5.000   99.195
OBS:  56317.125  g NULL  -8.075e-01   4.216e+00  -0.19   99.000    5.000   99.585
OBS:  56317.141  r NULL   2.773e+00   1.860e+00   1.49   26.393    1.206   30.401
OBS:  56318.109  i NULL   9.586e-01   2.780e+00   0.34   27.546  100.454   29.212
OBS:  56318.141  z NULL   3.128e+00   2.976e+00   1.05   26.262    3.278   28.600
OBS:  56321.090  g NULL   9.171e-01   6.627e+00   0.14   99.000    5.000   99.585
OBS:  56321.098  r NULL   1.007e+00   2.887e+00   0.35   27.492  100.508   28.820
OBS:  56321.109  i NULL   2.046e-01   3.401e+00   0.06   29.223   98.777   28.117
OBS:  56321.141  z NULL   1.976e-01   2.957e+00   0.07   29.260   98.740   27.514
OBS:  56332.039  g NULL   6.062e-01   1.459e+00   0.42   99.000    5.000   99.585
OBS:  56332.051  r NULL   2.369e+00   9.764e-01   2.43   26.564    0.577   26.825
OBS:  56332.070  i NULL   3.220e+00   1.584e+00   2.03   26.230    0.736   25.938
OBS:  56332.094  z NULL   1.019e+01   2.584e+00   3.94   24.980    0.317   25.559
OBS:  56340.043  g NULL   3.686e+00   2.750e+00   1.34   99.000    5.000   99.585
OBS:  56340.055  r NULL   1.716e+00   1.649e+00   1.04   26.914    3.535   26.108
OBS:  56340.074  i NULL   9.500e+00   2.728e+00   3.48   25.056    0.367   25.091
OBS:  56340.098  z NULL   6.811e+00   2.984e+00   2.28   25.417    0.627   24.847
OBS:  56348.055  g NULL  -2.716e-01   3.249e+00  -0.08   99.000    5.000   99.585
OBS:  56348.070  r NULL   1.268e+00   2.100e+00   0.60   27.242  100.758   25.931
OBS:  56349.004  i NULL   1.249e+01   2.368e+00   5.27   24.759    0.228   24.875
OBS:  56349.027  z NULL   1.660e+01   2.448e+00   6.78   24.450    0.173   24.527
OBS:  56350.043  g NULL   4.248e+00   3.836e+00   1.11   99.000    5.000   99.585
OBS:  56350.055  r NULL   4.877e+00   1.818e+00   2.68   25.780    0.506   25.956
