SURVEY: DES   
SNID:   187941   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.61995 +- 0.01890  (Helio, z_best) 
REDSHIFT_FINAL:   0.61995 +- 0.01890  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16779 
HOST_GALAXY_PHOTO-Z:   0.6200  +- 0.0189  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      7   (non1a index) 
SIM_COMMENT:  SN Type = Ib , MODEL = CSP-2004gv  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.6161  
SIM_HOSTLIB_TRUEZ:  0.6200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16779  
SIM_DLMU:      42.808628  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0102   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   27.56  25.28  25.08  24.63  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56244.722656  days 
SIM_SALT2x0:   7.526e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.89   days 
SIM_TRESTMAX:    65.82   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56244.309  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 153 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56180.266  g NULL   2.482e-01   2.550e+00   0.10   99.000    5.000   99.041
OBS:  56180.281  r NULL  -5.031e-02   1.300e+00  -0.04   99.000    5.000   98.919
OBS:  56180.297  i NULL   4.952e+00   3.684e+00   1.34   99.000    5.000   99.019
OBS:  56180.328  z NULL  -6.542e+00   4.488e+00  -1.46   99.000    5.000   98.978
OBS:  56188.160  g NULL  -8.184e+00   5.685e+00  -1.44   99.000    5.000   99.041
OBS:  56188.176  r NULL   3.918e+00   5.569e+00   0.70   99.000    5.000   98.919
OBS:  56188.211  i NULL  -6.007e+00   4.520e+00  -1.33   99.000    5.000   99.019
OBS:  56188.238  z NULL   4.050e+00   3.400e+00   1.19   99.000    5.000   98.978
OBS:  56189.254  g NULL  -2.226e-01   2.284e+00  -0.10   99.000    5.000   99.041
OBS:  56189.270  r NULL   5.969e+00   3.269e+00   1.83   99.000    5.000   98.919
OBS:  56189.281  i NULL  -9.752e+00   9.047e+00  -1.08   99.000    5.000   99.019
OBS:  56189.312  z NULL   5.011e+00   2.966e+00   1.69   99.000    5.000   98.978
OBS:  56194.258  g NULL  -5.654e-01   2.636e+00  -0.21   99.000    5.000   99.041
OBS:  56194.270  r NULL  -2.668e+00   1.486e+00  -1.80   99.000    5.000   98.919
OBS:  56194.285  i NULL  -1.275e-01   2.291e+00  -0.06   99.000    5.000   99.019
OBS:  56194.305  z NULL   3.167e+00   2.385e+00   1.33   99.000    5.000   98.978
OBS:  56202.160  g NULL  -3.460e+00   4.791e+00  -0.72  128.000    0.000   37.903
OBS:  56202.176  r NULL  -1.927e+00   2.322e+00  -0.83  128.000    0.000   38.432
OBS:  56202.191  i NULL   3.658e+00   4.163e+00   0.88   26.092  101.908   38.841
OBS:  56202.215  z NULL   2.536e+00   2.711e+00   0.94   26.490  101.510   38.631
OBS:  56210.172  g NULL   1.756e+00   3.690e+00   0.48   26.889  101.111   29.606
OBS:  56210.188  r NULL   7.792e+00   3.218e+00   2.42   25.271    0.578   30.122
