SURVEY: DES   
SNID:   190766   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  22 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.32857 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.32857 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.32857 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   10004 
HOST_GALAXY_PHOTO-Z:   0.3244  +- 0.0378  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      32   (non1a index) 
SIM_COMMENT:  SN Type = II , MODEL = SDSS-018109  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.3230  
SIM_HOSTLIB_TRUEZ:  0.3200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  10004  
SIM_DLMU:      41.141125  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0680   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.44  23.31  23.20  23.13  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56318.917969  days 
SIM_SALT2x0:   3.496e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -33.08   days 
SIM_TRESTMAX:    24.27   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56318.625  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 44 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56275.152  g NULL   5.194e+00   3.311e+00   1.57   99.000    5.000   99.083
OBS:  56275.172  r NULL   2.592e+00   2.240e+00   1.16   99.000    5.000   98.988
OBS:  56275.191  i NULL   6.937e+00   4.493e+00   1.54   99.000    5.000   98.997
OBS:  56275.203  z NULL  -1.170e+00   5.325e+00  -0.22   99.000    5.000   98.927
OBS:  56283.203  g NULL   1.912e+00   6.285e+00   0.30   26.796  101.204   40.363
OBS:  56283.211  r NULL   2.771e-02   3.325e+00   0.01   31.394   96.606   41.133
OBS:  56283.215  i NULL  -4.237e-01   5.816e+00  -0.07  128.000    0.000   42.197
OBS:  56283.223  z NULL  -1.402e+00   5.043e+00  -0.28  128.000    0.000   50.113
OBS:  56288.199  g NULL  -2.262e+01   1.180e+01  -1.92  128.000    0.000   32.782
OBS:  56288.215  r NULL   2.664e+00   6.180e+00   0.43   26.436  101.564   32.197
OBS:  56289.109  i NULL  -5.341e-01   7.080e+00  -0.08  128.000    0.000   31.370
OBS:  56289.125  z NULL  -8.082e+00   5.424e+00  -1.49  128.000    0.000   33.537
OBS:  56292.098  g NULL   4.883e+00   1.165e+01   0.42   25.778  102.222   30.015
OBS:  56292.102  r NULL   2.433e-01   4.826e+00   0.05   29.035   98.965   28.946
OBS:  56292.191  i NULL  -6.763e+00   5.601e+00  -1.21  128.000    0.000   29.359
OBS:  56292.199  z NULL   4.385e+00   5.158e+00   0.85   25.895  102.105   29.799
OBS:  56304.051  g NULL   5.160e+01   2.858e+00  18.05   23.218    0.062   23.177
OBS:  56304.055  r NULL   5.246e+01   1.994e+00  26.31   23.200    0.042   23.193
OBS:  56304.070  i NULL   3.981e+01   2.648e+00  15.03   23.500    0.075   23.501
OBS:  56304.086  z NULL   3.337e+01   3.990e+00   8.36   23.691    0.138   23.769
OBS:  56312.055  g NULL   5.987e+01   7.734e+00   7.74   23.057    0.150   22.969
OBS:  56312.066  r NULL   5.618e+01   3.186e+00  17.63   23.126    0.063   23.112
OBS:  56312.090  i NULL   5.828e+01   5.160e+00  11.29   23.086    0.100   23.128
OBS:  56312.113  z NULL   3.873e+01   5.485e+00   7.06   23.530    0.167   23.253
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56320.043  g NULL   3.904e+01   6.273e+00   6.22   23.521    0.190   23.519
OBS:  56320.051  r NULL   4.714e+01   2.681e+00  17.58   23.316    0.063   23.337
OBS:  56320.059  i NULL   4.387e+01   3.775e+00  11.62   23.395    0.099   23.210
OBS:  56320.070  z NULL   5.637e+01   4.529e+00  12.45   23.122    0.091   23.123
OBS:  56328.047  g NULL   2.844e+01   3.467e+00   8.20   23.865    0.141   24.038
OBS:  56328.055  r NULL   3.628e+01   2.540e+00  14.28   23.601    0.080   23.471
OBS:  56328.070  i NULL   4.841e+01   4.171e+00  11.61   23.288    0.098   23.307
OBS:  56328.086  z NULL   6.303e+01   6.891e+00   9.15   23.001    0.125   23.085
OBS:  56336.062  g NULL   1.733e+01   3.755e+00   4.62   24.403    0.265   24.605
OBS:  56336.082  r NULL   3.611e+01   3.112e+00  11.61   23.606    0.098   23.587
OBS:  56337.062  i NULL   4.025e+01   3.052e+00  13.19   23.488    0.086   23.420
OBS:  56337.078  z NULL   5.810e+01   3.913e+00  14.85   23.090    0.076   23.087
OBS:  56345.039  g NULL   1.160e+01   7.153e+00   1.62   24.839    1.041   25.226
OBS:  56345.055  r NULL   2.906e+01   3.830e+00   7.59   23.842    0.154   23.738
OBS:  56346.055  i NULL   3.730e+01   6.041e+00   6.17   23.571    0.192   23.529
OBS:  56348.027  z NULL   5.549e+01   5.136e+00  10.80   23.140    0.105   23.140
OBS:  56350.023  g NULL   8.398e+00   6.840e+00   1.23   25.190    1.828   25.551
OBS:  56350.027  r NULL   2.808e+01   3.990e+00   7.04   23.879    0.167   23.831
OBS:  56350.035  i NULL   3.877e+01   6.734e+00   5.76   23.529    0.207   23.576
OBS:  56351.023  z NULL   4.002e+01   6.151e+00   6.51   23.494    0.182   23.162
END: 
