SURVEY: DES   
SNID:   193708   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.16118 +- 0.04090  (Helio, z_best) 
REDSHIFT_FINAL:   0.16118 +- 0.04090  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15287 
HOST_GALAXY_PHOTO-Z:   0.1612  +- 0.0409  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.2074  
SIM_HOSTLIB_TRUEZ:  0.2100  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15287  
SIM_DLMU:      40.044247  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0949   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.10  21.72  21.65  22.15  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56161.296875  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.226e-05   
SIM_SALT2x1:   -2.4555   
SIM_SALT2c:     0.1940   
SIM_SALT2mB:   21.5703   
SIM_MAGDIM:    2.009  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    14.03   days 
SIM_TRESTMAX:    69.59   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56159.875  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 65 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL   2.663e+01   1.052e+01   2.53   23.937    0.546   23.841
OBS:  56178.250  r NULL   1.082e+02   8.130e+00  13.31   22.414    0.085   22.446
OBS:  56178.266  i NULL   1.140e+02   9.575e+00  11.90   22.358    0.095   22.345
OBS:  56179.211  z NULL   9.861e+01   5.650e+00  17.45   22.515    0.064   22.493
OBS:  56180.219  g NULL   1.941e+01   3.286e+00   5.91   24.280    0.202   24.163
OBS:  56180.234  r NULL   9.694e+01   3.095e+00  31.33   22.534    0.035   22.533
OBS:  56180.250  i NULL   1.097e+02   4.820e+00  22.77   22.399    0.049   22.352
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56188.191  z NULL   1.061e+02   2.741e+01   3.87   22.436    0.325   22.429
OBS:  56188.340  g NULL   5.382e+01   2.562e+01   2.10   23.173    0.701   25.019
OBS:  56188.355  r NULL   6.073e+01   4.357e+00  13.94   23.042    0.081   23.022
OBS:  56189.195  i NULL   7.859e+01   3.103e+01   2.53   22.762    0.546   22.543
OBS:  56194.215  g NULL   1.176e+01   4.785e+00   2.46   24.824    0.567   25.368
OBS:  56194.223  r NULL   3.775e+01   5.488e+00   6.88   23.558    0.171   23.463
OBS:  56194.227  z NULL   8.370e+01   6.744e+00  12.41   22.693    0.092   22.599
OBS:  56200.234  i NULL   4.458e+01   1.202e+01   3.71   23.377    0.341   23.528
OBS:  56208.160  g NULL   7.140e+00   2.988e+00   2.39   25.366    0.588   25.915
OBS:  56208.176  r NULL   2.104e+01   2.483e+00   8.47   24.193    0.137   24.050
OBS:  56208.191  z NULL   4.509e+01   5.016e+00   8.99   23.365    0.128   23.481
OBS:  56210.156  i NULL   1.704e+01   7.041e+00   2.42   24.421    0.580   23.797
OBS:  56216.164  g NULL  -1.077e+00   2.701e+00  -0.40  128.000    0.000   25.869
OBS:  56216.176  r NULL   1.503e+01   2.073e+00   7.25   24.558    0.162   24.417
OBS:  56216.191  z NULL   3.213e+01   4.096e+00   7.84   23.733    0.148   23.765
OBS:  56219.211  i NULL   2.916e+01   3.053e+00   9.55   23.838    0.119   24.061
OBS:  56221.148  g NULL  -1.514e+01   1.593e+01  -0.95  128.000    0.000   25.716
OBS:  56221.160  r NULL   1.526e+01   6.069e+00   2.52   24.541    0.551   24.397
OBS:  56221.176  z NULL   3.180e+00   1.540e+01   0.21   26.244  101.756   24.048
OBS:  56222.105  i NULL   2.735e+01   9.212e+00   2.97   23.907    0.446   24.137
OBS:  56222.312  g NULL   5.104e+00   4.117e+00   1.24   25.730    1.784   25.737
OBS:  56222.324  r NULL   1.535e+01   1.518e+01   1.01   24.535    4.921   24.408
OBS:  56222.340  z NULL   1.650e+01   4.086e+01   0.40   24.456  103.544   24.007
OBS:  56228.297  g NULL  -2.770e+00   1.503e+01  -0.18  128.000    0.000   25.737
OBS:  56228.305  r NULL   7.352e+00   5.502e+00   1.34   25.334    1.503   24.408
OBS:  56228.312  i NULL   2.749e+01   9.430e+00   2.91   23.902    0.456   24.137
OBS:  56228.320  z NULL   1.320e+01   5.809e+00   2.27   24.698    0.631   24.007
OBS:  56229.320  g NULL   1.966e+01   1.406e+01   1.40   24.266    1.364   25.737
OBS:  56229.332  r NULL   1.859e+01   7.266e+00   2.56   24.327    0.538   24.408
OBS:  56229.348  i NULL   4.866e+00   1.295e+01   0.38   25.782  102.218   24.137
OBS:  56230.070  z NULL   2.787e+01   7.155e+00   3.89   23.887    0.322   24.007
OBS:  56230.316  g NULL  -1.061e+01   1.369e+01  -0.78  128.000    0.000   25.737
OBS:  56230.328  r NULL   1.859e+01   6.687e+00   2.78   24.327    0.484   24.408
OBS:  56230.344  i NULL  -3.399e+00   1.239e+01  -0.27  128.000    0.000   24.137
OBS:  56231.301  g NULL  -9.740e+00   1.166e+01  -0.84  128.000    0.000   25.737
OBS:  56231.316  r NULL   1.077e+01   6.029e+00   1.79   24.919    0.892   24.408
OBS:  56231.328  i NULL   3.356e+01   1.049e+01   3.20   23.685    0.406   24.137
OBS:  56231.344  z NULL   3.129e+01   5.823e+00   5.37   23.761    0.223   24.007
OBS:  56235.297  g NULL   5.550e+00   9.643e+00   0.58   25.639  102.361   25.737
OBS:  56235.312  r NULL   1.349e+01   4.676e+00   2.89   24.675    0.463   24.408
OBS:  56235.324  i NULL   1.824e+01   6.656e+00   2.74   24.347    0.493   24.137
OBS:  56235.340  z NULL   2.417e+01   6.768e+00   3.57   24.042    0.357   24.007
OBS:  56236.312  g NULL   8.427e+00   7.818e+00   1.08   25.186    2.850   25.737
OBS:  56236.324  r NULL   1.624e+01   3.752e+00   4.33   24.474    0.285   24.408
OBS:  56236.340  i NULL   1.939e+01   6.098e+00   3.18   24.281    0.410   24.137
OBS:  56237.074  z NULL   1.654e+01   7.021e+00   2.36   24.453    0.601   24.007
OBS:  56237.340  g NULL  -2.317e+00   1.182e+01  -0.20  128.000    0.000   25.737
OBS:  56238.051  r NULL   2.001e+01   4.337e+00   4.61   24.247    0.265   24.408
OBS:  56238.059  i NULL   1.646e+01   5.484e+00   3.00   24.459    0.441   24.137
OBS:  56238.340  g NULL   1.405e+01   1.063e+01   1.32   24.631    1.535   25.737
OBS:  56243.047  z NULL   3.563e+01   8.356e+00   4.26   23.620    0.290   24.007
OBS:  56243.320  g NULL   2.713e+00   4.211e+00   0.64   26.416  101.584   25.737
OBS:  56243.336  r NULL   1.553e+01   3.323e+00   4.67   24.522    0.262   24.408
OBS:  56244.039  i NULL   2.052e+01   7.050e+00   2.91   24.220    0.457   24.137
OBS:  56244.309  g NULL   9.230e+00   4.138e+00   2.23   25.087    0.645   25.737
OBS:  56244.320  r NULL   2.195e+01   3.263e+00   6.73   24.146    0.174   24.408
OBS:  56245.047  z NULL   1.964e+01   5.028e+00   3.91   24.267    0.322   24.007
OBS:  56245.320  g NULL   3.935e+00   4.246e+00   0.93   26.013  101.987   25.737
END: 
