SURVEY: DES   
SNID:   196675   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.72099 +- 0.03690  (Helio, z_best) 
REDSHIFT_FINAL:   0.72099 +- 0.03690  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14118 
HOST_GALAXY_PHOTO-Z:   0.7210  +- 0.0369  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.7271  
SIM_HOSTLIB_TRUEZ:  0.7300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14118  
SIM_DLMU:      43.247818  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0232   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   25.41  23.83  23.47  23.44  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56316.699219  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   4.642e-06   
SIM_SALT2x1:    1.2720   
SIM_SALT2c:     0.0704   
SIM_SALT2mB:   23.9683   
SIM_STRETCH:    2.272  
SIM_MAGDIM:    1.204  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.66   days 
SIM_TRESTMAX:    19.86   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56317.836  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 51 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56248.207  g NULL  -2.302e+00   1.752e+00  -1.31   99.000    5.000   98.846
OBS:  56248.215  r NULL  -1.965e-01   1.325e+00  -0.15   99.000    5.000   99.137
OBS:  56248.230  i NULL  -6.404e-02   2.206e+00  -0.03   99.000    5.000   99.149
OBS:  56248.250  z NULL  -2.983e+00   3.030e+00  -0.98   99.000    5.000   99.110
OBS:  56258.242  g NULL  -1.432e+01   8.085e+00  -1.77   99.000    5.000   98.846
OBS:  56258.258  r NULL   6.446e+00   4.420e+00   1.46   99.000    5.000   99.137
OBS:  56259.160  i NULL   1.008e+00   4.540e+00   0.22   99.000    5.000   99.149
OBS:  56259.180  z NULL  -5.666e-01   3.059e+00  -0.19   99.000    5.000   99.110
OBS:  56261.215  g NULL  -3.780e+00   3.959e+00  -0.95   99.000    5.000   98.846
OBS:  56261.230  r NULL   1.570e+00   1.853e+00   0.85   99.000    5.000   99.137
OBS:  56267.156  i NULL   6.603e-02   2.211e+00   0.03   99.000    5.000   99.149
OBS:  56267.180  z NULL  -3.738e+00   3.050e+00  -1.23   99.000    5.000   99.110
OBS:  56274.160  g NULL  -1.198e+00   2.033e+00  -0.59   99.000    5.000   98.846
OBS:  56274.176  r NULL   4.220e-01   1.444e+00   0.29   99.000    5.000   99.137
OBS:  56275.223  i NULL   5.134e-01   3.008e+00   0.17   99.000    5.000   99.149
OBS:  56276.191  z NULL   1.739e+00   3.402e+00   0.51   99.000    5.000   99.110
OBS:  56282.160  g NULL  -7.444e-01   3.403e+00  -0.22  128.000    0.000   37.684
OBS:  56282.184  r NULL  -3.231e+00   2.179e+00  -1.48  128.000    0.000   34.075
OBS:  56287.160  i NULL   2.389e+00   4.986e+00   0.48   26.555  101.445   26.704
OBS:  56287.191  z NULL   1.793e+00   3.894e+00   0.46   26.866  101.134   26.665
OBS:  56289.035  g NULL  -1.845e+01   1.190e+01  -1.55  128.000    0.000   27.521
OBS:  56289.043  r NULL   6.840e+00   4.185e+00   1.63   25.412    1.027   26.462
OBS:  56289.152  i NULL   5.797e+00   4.329e+00   1.34   25.592    1.490   25.966
OBS:  56289.176  z NULL   1.130e+00   4.464e+00   0.25   27.367  100.633   25.930
OBS:  56297.039  g NULL   3.928e+00   1.591e+00   2.47   26.015    0.564   25.892
OBS:  56297.047  r NULL   1.423e+01   1.256e+00  11.33   24.617    0.100   24.700
OBS:  56297.062  i NULL   1.336e+01   1.886e+00   7.08   24.686    0.166   24.384
OBS:  56297.090  z NULL   1.744e+01   2.147e+00   8.12   24.396    0.143   24.362
OBS:  56305.094  g NULL   8.413e+00   1.668e+00   5.05   25.188    0.240   25.226
OBS:  56305.102  r NULL   2.938e+01   1.427e+00  20.59   23.830    0.054   23.875
OBS:  56305.113  i NULL   3.794e+01   2.313e+00  16.41   23.552    0.067   23.698
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56306.043  z NULL   3.471e+01   2.790e+00  12.44   23.649    0.091   23.635
OBS:  56313.047  g NULL   8.263e+00   5.967e+00   1.38   25.207    1.390   25.246
OBS:  56313.055  r NULL   3.151e+01   2.601e+00  12.12   23.754    0.093   23.781
OBS:  56313.090  i NULL   4.565e+01   3.202e+00  14.25   23.352    0.078   23.485
OBS:  56317.066  z NULL   4.871e+01   4.347e+00  11.21   23.281    0.101   23.435
OBS:  56321.035  g NULL   7.520e+00   2.923e+00   2.57   25.310    0.534   25.661
OBS:  56321.043  r NULL   2.691e+01   1.468e+00  18.33   23.925    0.061   23.973
OBS:  56321.066  i NULL   4.116e+01   3.319e+00  12.40   23.464    0.091   23.512
OBS:  56326.039  z NULL   4.396e+01   2.736e+00  16.07   23.392    0.069   23.470
OBS:  56333.043  g NULL   2.418e+00   1.820e+00   1.33   26.541    1.517   26.629
OBS:  56333.051  r NULL   1.537e+01   1.421e+00  10.81   24.533    0.105   24.519
OBS:  56334.043  i NULL   2.855e+01   2.249e+00  12.69   23.861    0.089   23.886
OBS:  56335.043  z NULL   3.400e+01   3.442e+00   9.88   23.671    0.116   23.694
OBS:  56344.992  g NULL  -1.558e+00   4.327e+00  -0.36  128.000    0.000   27.985
OBS:  56345.000  r NULL   7.661e+00   1.870e+00   4.10   25.289    0.304   25.273
OBS:  56345.016  i NULL   2.229e+01   3.479e+00   6.41   24.130    0.184   24.430
OBS:  56345.992  z NULL   2.850e+01   3.738e+00   7.62   23.863    0.152   24.077
OBS:  56349.996  g NULL   5.559e+00   3.965e+00   1.40   25.638    1.355   28.261
OBS:  56350.004  r NULL   2.598e+00   2.060e+00   1.26   26.463    1.713   25.641
OBS:  56350.996  i NULL   1.347e+01   3.033e+00   4.44   24.677    0.277   24.775
END: 
