SURVEY: DES   
SNID:   196781   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.61493 +- 0.03540  (Helio, z_best) 
REDSHIFT_FINAL:   0.61493 +- 0.03540  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   11165 
HOST_GALAXY_PHOTO-Z:   0.6149  +- 0.0354  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.6239  
SIM_HOSTLIB_TRUEZ:  0.6200  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  11165  
SIM_DLMU:      42.842148  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0205   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.247  mag  (host extinction at 5510 A)
SIM_RV:         2.102   (CCM89 extinction parameter) 
SIM_PEAKMAG:   24.94  23.17  23.05  23.10  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56187.824219  days 
SIM_DELTA:     -0.368  mag  (MLCS lumi-par) 
SIM_STRETCH:    1.368  
SIM_MAGDIM:    0.191  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -6.56   days 
SIM_TRESTMAX:    67.28   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56188.512  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 112 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   1.566e+01   4.806e+00   3.26   24.513    0.398   24.628
OBS:  56177.188  r NULL   5.217e+01   5.429e+00   9.61   23.206    0.119   23.261
OBS:  56177.203  i NULL   4.402e+01   5.503e+00   8.00   23.391    0.145   23.279
OBS:  56177.234  z NULL   3.604e+01   4.742e+00   7.60   23.608    0.154   23.359
OBS:  56179.172  g NULL   1.612e+01   2.280e+00   7.07   24.481    0.166   24.480
OBS:  56179.312  r NULL   5.994e+01   3.245e+00  18.47   23.056    0.060   23.195
OBS:  56179.328  i NULL   5.260e+01   4.322e+00  12.17   23.198    0.093   23.157
OBS:  56179.359  z NULL   5.119e+01   3.648e+00  14.03   23.227    0.080   23.269
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56187.156  g NULL   6.612e+00   1.728e+00   3.83   25.449    0.331   24.896
OBS:  56187.172  r NULL   5.355e+01   1.628e+00  32.90   23.178    0.034   23.158
OBS:  56187.188  i NULL   5.988e+01   2.219e+00  26.98   23.057    0.041   23.053
OBS:  56187.211  z NULL   5.843e+01   2.439e+00  23.96   23.083    0.046   23.102
OBS:  56189.148  g NULL   4.052e+00   9.770e+00   0.41   25.981  102.019   24.963
OBS:  56189.160  r NULL   5.182e+01   4.016e+00  12.90   23.214    0.088   23.191
OBS:  56189.176  i NULL   6.273e+01   8.170e+00   7.68   23.006    0.151   23.052
OBS:  56189.203  z NULL   5.167e+01   4.794e+00  10.78   23.217    0.106   23.095
OBS:  56194.121  g NULL   1.493e+00   3.779e+00   0.40   27.065  100.935   25.310
OBS:  56194.129  r NULL   4.817e+01   2.535e+00  19.00   23.293    0.059   23.307
OBS:  56200.156  i NULL   5.082e+01   8.125e+00   6.26   23.235    0.189   23.240
OBS:  56200.180  z NULL   4.697e+01   5.705e+00   8.23   23.320    0.141   23.190
OBS:  56207.156  g NULL  -1.136e-01   2.283e+00  -0.05  128.000    0.000   26.355
OBS:  56207.172  r NULL   2.499e+01   1.681e+00  14.86   24.006    0.076   23.910
OBS:  56209.191  i NULL   3.970e+01   2.275e+00  17.45   23.503    0.064   23.587
OBS:  56209.215  z NULL   3.759e+01   2.314e+00  16.25   23.562    0.069   23.513
OBS:  56215.164  g NULL   6.659e-01   1.598e+00   0.42   27.941  100.059   27.268
