SURVEY: DES   
SNID:   203127   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      0.500000  deg 
DECL:    -43.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0111    MW E(B-V) 
REDSHIFT_HELIO:   0.24950 +- 0.04300  (Helio, z_best) 
REDSHIFT_FINAL:   0.24950 +- 0.04300  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16175 
HOST_GALAXY_PHOTO-Z:   0.2495  +- 0.0430  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  4  
SIM_REDSHIFT:  0.2367  
SIM_HOSTLIB_TRUEZ:  0.2400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16175  
SIM_DLMU:      40.367573  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        0.500000 deg  
SIM_DECL:      -43.000000 deg  
SIM_MWEBV:   0.0107   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.17  21.68  21.60  22.12  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56239.644531  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   3.173e-05   
SIM_SALT2x1:   -0.6295   
SIM_SALT2c:     0.2530   
SIM_SALT2mB:   21.8815   
SIM_STRETCH:    0.370  
SIM_MAGDIM:    1.997  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -36.90   days 
SIM_TRESTMAX:    63.39   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   -0.0 days 

SEARCH_PEAKMJD:   56240.398  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 77 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56194.012  g NULL   3.962e+00   6.200e+00   0.64   99.000    5.000   99.249
OBS:  56194.016  r NULL  -5.715e-02   3.584e+00  -0.02   99.000    5.000   99.207
OBS:  56194.023  i NULL  -3.996e-01   6.147e+00  -0.06   99.000    5.000   99.212
OBS:  56194.031  z NULL  -3.479e+00   1.508e+01  -0.23   99.000    5.000   99.252
OBS:  56198.992  g NULL   2.042e+00   1.868e+01   0.11   99.000    5.000   99.249
OBS:  56199.000  r NULL  -7.378e+00   9.049e+00  -0.82   99.000    5.000   99.207
OBS:  56199.008  i NULL  -1.263e+00   1.181e+01  -0.11   99.000    5.000   99.212
OBS:  56199.016  z NULL  -9.968e-01   7.694e+00  -0.13   99.000    5.000   99.252
OBS:  56199.039  g NULL  -3.507e+00   3.349e+01  -0.10   99.000    5.000   99.249
OBS:  56208.215  g NULL  -9.303e-01   2.656e+00  -0.35   99.000    5.000   99.249
OBS:  56208.223  r NULL  -3.862e+00   1.766e+00  -2.19   99.000    5.000   99.207
OBS:  56208.238  i NULL  -1.648e+00   2.955e+00  -0.56   99.000    5.000   99.212
OBS:  56209.160  z NULL  -2.275e+00   3.242e+00  -0.70   99.000    5.000   99.252
OBS:  56216.215  g NULL  -3.748e+00   2.468e+00  -1.52  128.000    0.000   28.432
OBS:  56216.223  r NULL  -2.219e+00   1.882e+00  -1.18  128.000    0.000   27.930
OBS:  56216.230  i NULL   2.108e+00   3.015e+00   0.70   26.690  101.310   27.713
OBS:  56218.152  z NULL   6.400e+00   2.676e+00   2.39   25.485    0.588   25.745
OBS:  56221.004  g NULL   9.799e+00   5.246e+00   1.87   25.022    0.832   25.067
OBS:  56221.016  r NULL   1.627e+01   3.600e+00   4.52   24.471    0.271   24.579
OBS:  56221.027  i NULL   1.811e+01   5.487e+00   3.30   24.355    0.392   24.375
OBS:  56221.035  z NULL   1.432e+01   5.413e+00   2.65   24.610    0.516   24.360
OBS:  56222.016  g NULL   1.369e+01   6.268e+00   2.18   24.659    0.664   24.700
OBS:  56222.027  r NULL   1.622e+01   3.645e+00   4.45   24.475    0.277   24.215
OBS:  56222.035  i NULL   2.697e+01   4.958e+00   5.44   23.923    0.220   24.015
OBS:  56228.012  z NULL   9.125e+01   5.815e+00  15.69   22.599    0.071   22.616
