SURVEY: DES   
SNID:   205791   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.61597 +- 0.02000  (Helio, z_best) 
REDSHIFT_FINAL:   0.61597 +- 0.02000  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   16962 
HOST_GALAXY_PHOTO-Z:   0.6160  +- 0.0200  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      2   (non1a index) 
SIM_COMMENT:  SN Type = IIn , MODEL = NUGENT2n  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.5916  
SIM_HOSTLIB_TRUEZ:  0.5900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  16962  
SIM_DLMU:      42.701706  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0246   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.91  23.74  23.90  23.94  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56153.664062  days 
SIM_SALT2x0:   8.305e-18   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    14.77   days 
SIM_TRESTMAX:    67.59   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56152.621  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 94 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56177.172  g NULL   2.073e+01   4.813e+00   4.31   24.208    0.286   24.516
OBS:  56177.188  r NULL   2.665e+01   5.360e+00   4.97   23.936    0.243   24.213
OBS:  56177.203  i NULL   1.717e+01   5.448e+00   3.15   24.413    0.415   24.300
OBS:  56177.234  z NULL   1.645e+01   4.702e+00   3.50   24.460    0.366   24.293
OBS:  56179.172  g NULL   1.097e+01   2.267e+00   4.84   24.899    0.252   24.585
OBS:  56179.312  r NULL   1.416e+01   3.048e+00   4.65   24.622    0.264   24.273
OBS:  56179.328  i NULL   2.134e+01   4.222e+00   5.06   24.177    0.239   24.352
OBS:  56179.359  z NULL   1.757e+01   3.534e+00   4.97   24.388    0.244   24.340
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56187.156  g NULL   1.140e+01   1.736e+00   6.57   24.857    0.179   24.923
OBS:  56187.172  r NULL   1.705e+01   1.301e+00  13.11   24.421    0.086   24.539
OBS:  56187.188  i NULL   1.254e+01   1.917e+00   6.54   24.755    0.181   24.582
OBS:  56187.211  z NULL   1.265e+01   2.190e+00   5.78   24.745    0.207   24.544
OBS:  56189.148  g NULL   1.480e+01   9.773e+00   1.51   24.574    1.172   25.028
OBS:  56189.160  r NULL   2.047e+01   3.901e+00   5.25   24.222    0.229   24.621
OBS:  56189.176  i NULL   3.169e+00   8.074e+00   0.39   26.248  101.752   24.652
OBS:  56189.203  z NULL   2.019e+01   4.708e+00   4.29   24.237    0.288   24.606
OBS:  56194.121  g NULL   1.338e+01   3.787e+00   3.53   24.684    0.360   25.350
OBS:  56194.129  r NULL   7.831e+00   2.359e+00   3.32   25.265    0.390   24.866
OBS:  56200.156  i NULL   7.355e+00   8.067e+00   0.91   25.334  102.666   25.112
OBS:  56200.180  z NULL  -1.042e+00   5.636e+00  -0.18  128.000    0.000   25.000
OBS:  56207.156  g NULL   3.626e+00   2.285e+00   1.59   26.101    1.079   26.269
OBS:  56207.172  r NULL   5.914e+00   1.610e+00   3.67   25.570    0.345   25.527
OBS:  56209.191  i NULL   9.002e+00   2.148e+00   4.19   25.114    0.296   25.479
OBS:  56209.215  z NULL   3.937e+00   2.202e+00   1.79   26.012    0.892   25.311
OBS:  56215.164  g NULL   2.331e+00   1.600e+00   1.46   26.581    1.258   26.816
OBS:  56215.180  r NULL   4.751e+00   1.103e+00   4.31   25.808    0.287   25.943
OBS:  56217.152  i NULL   4.847e+00   1.401e+00   3.46   25.786    0.370   25.821
OBS:  56217.191  z NULL   6.269e+00   1.821e+00   3.44   25.507    0.372   25.601
OBS:  56221.062  g NULL  -2.736e+00   4.489e+00  -0.61  128.000    0.000   27.309
OBS:  56221.074  r NULL   1.083e-01   3.582e+00   0.03   29.914   98.086   26.287
OBS:  56221.195  i NULL   3.233e+01   1.347e+01   2.40   23.726    0.584   26.014
OBS:  56221.227  z NULL   7.775e+00   4.016e+00   1.94   25.273    0.789   25.760
OBS:  56222.047  g NULL   2.004e+00   6.420e+00   0.31   26.745  101.255   27.421
OBS:  56222.062  r NULL   3.930e+00   3.127e+00   1.26   26.014    1.724   26.353
OBS:  56222.191  i NULL   2.746e+00   9.792e+00   0.28   26.403  101.597   26.063
OBS:  56222.211  z NULL   4.210e+00   4.836e+00   0.87   25.939  102.061   25.799
OBS:  56228.031  g NULL  -9.554e+00   2.612e+01  -0.37  128.000    0.000   28.241
OBS:  56228.047  r NULL   1.199e+01   1.164e+01   1.03   24.803    3.836   26.763
OBS:  56228.156  i NULL   5.500e+00   5.180e+00   1.06   25.649    3.083   26.363
OBS:  56228.188  z NULL   1.566e+00   2.843e+00   0.55   27.013  100.987   26.043
OBS:  56229.031  g NULL   2.384e+01   3.075e+01   0.78   24.057  103.943   28.410
OBS:  56229.156  r NULL  -4.605e+00   3.596e+00  -1.28  128.000    0.000   26.842
OBS:  56229.172  i NULL   1.043e-01   7.053e+00   0.01   29.954   98.046   26.414
OBS:  56229.199  z NULL   5.565e+00   2.928e+00   1.90   25.636    0.810   26.085
OBS:  56230.035  g NULL  -1.347e+00   9.315e+00  -0.14  128.000    0.000   28.596
OBS:  56230.043  r NULL  -1.621e-01   3.864e+00  -0.04  128.000    0.000   26.906
OBS:  56230.191  i NULL   3.764e+00   6.318e+00   0.60   26.061  101.939   26.465
OBS:  56230.215  z NULL   3.475e+00   2.922e+00   1.19   26.148    1.996   26.127
OBS:  56231.035  g NULL   5.856e+00   7.695e+00   0.76   25.581  102.419   28.774
OBS:  56231.156  r NULL   3.237e+00   2.655e+00   1.22   26.225    1.862   26.983
OBS:  56231.172  i NULL   4.236e+00   4.791e+00   0.88   25.933  102.067   26.514
OBS:  56231.191  z NULL   3.761e+00   3.018e+00   1.25   26.062    1.761   26.167
OBS:  56235.145  g NULL   1.812e+00   3.787e+00   0.48   26.855  101.145   29.537
OBS:  56235.160  r NULL   3.716e+00   1.758e+00   2.11   26.075    0.695   27.253
OBS:  56235.172  i NULL  -1.616e+00   3.201e+00  -0.50  128.000    0.000   26.707
OBS:  56235.195  z NULL   4.555e+00   2.937e+00   1.55   25.854    1.124   26.328
OBS:  56236.160  g NULL   1.416e+00   2.000e+00   0.71   27.122  100.878   29.708
OBS:  56236.172  r NULL   5.005e-01   1.875e+00   0.27   28.252   99.748   27.316
OBS:  56236.188  i NULL   8.052e-01   2.784e+00   0.29   27.735  100.265   26.753
OBS:  56236.207  z NULL   7.075e+00   3.193e+00   2.22   25.376    0.651   26.367
OBS:  56237.176  g NULL  -2.631e+00   3.439e+00  -0.77  128.000    0.000   29.854
OBS:  56237.188  r NULL   1.329e+00   2.253e+00   0.59   27.191  100.809   27.373
OBS:  56237.207  i NULL   4.385e+00   2.863e+00   1.53   25.895    1.148   26.797
OBS:  56237.238  z NULL   2.541e+00   3.868e+00   0.66   26.487  101.513   26.406
OBS:  56238.188  g NULL  -2.183e+00   2.971e+00  -0.73  128.000    0.000   29.990
OBS:  56238.199  r NULL   3.967e+00   2.024e+00   1.96   26.004    0.775   27.428
OBS:  56238.219  i NULL   5.929e+00   3.237e+00   1.83   25.568    0.857   26.840
OBS:  56238.250  z NULL  -1.232e+00   4.862e+00  -0.25  128.000    0.000   26.445
OBS:  56243.203  g NULL   1.760e+00   1.689e+00   1.04   26.886    3.481   30.078
OBS:  56243.211  r NULL   9.090e-01   1.224e+00   0.74   27.604  100.396   27.589
OBS:  56243.223  i NULL  -2.954e+00   1.850e+00  -1.60  128.000    0.000   27.008
OBS:  56243.250  z NULL  -3.326e+00   2.417e+00  -1.38  128.000    0.000   26.613
OBS:  56244.180  g NULL  -3.727e-01   1.782e+00  -0.21  128.000    0.000   29.981
OBS:  56244.188  r NULL   1.342e+00   1.374e+00   0.98   27.180  100.820   27.598
OBS:  56244.203  i NULL   1.871e+00   1.987e+00   0.94   26.820  101.180   27.032
OBS:  56244.223  z NULL  -1.244e+00   2.231e+00  -0.56  128.000    0.000   26.642
OBS:  56245.191  g NULL   1.180e+00   4.785e+00   0.25   27.320  100.680   29.817
OBS:  56245.199  r NULL  -1.016e+00   1.175e+00  -0.87  128.000    0.000   27.594
OBS:  56245.219  i NULL   1.732e+00   2.077e+00   0.83   26.904  101.096   27.051
OBS:  56245.246  z NULL   1.890e+00   5.918e+00   0.32   26.809  101.191   26.669
OBS:  56246.234  g NULL  -2.612e+00   2.000e+00  -1.31  128.000    0.000   29.627
OBS:  56246.246  r NULL   5.587e+00   3.169e+00   1.76   25.632    0.909   27.584
OBS:  56246.262  i NULL   6.865e+00   5.642e+00   1.22   25.408    1.872   27.067
