SURVEY: DES   
SNID:   206829   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.98234 +- 0.02070  (Helio, z_best) 
REDSHIFT_FINAL:   0.98234 +- 0.02070  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   19163 
HOST_GALAXY_PHOTO-Z:   0.9823  +- 0.0207  



SIM_MODEL:  SALT2.K09_LAMOPEN  6  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = SALT2.K09_LAMOPEN  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.9949  
SIM_HOSTLIB_TRUEZ:  0.9900  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  19163  
SIM_DLMU:      44.086620  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0092   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   29.03  25.75  24.17  24.21  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56335.714844  days 
SIM_SALT2alpha:    0.110   
SIM_SALT2beta:     3.200   
SIM_SALT2x0:   2.044e-06   
SIM_SALT2x1:   -1.9775   
SIM_SALT2c:    -0.0250   
SIM_SALT2mB:   24.8590   
SIM_MAGDIM:    1.255  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -38.94   days 
SIM_TRESTMAX:     7.71   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56335.309  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 63 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56258.035  i NULL   4.573e+00   9.885e+00   0.46   99.000    5.000   99.104
OBS:  56258.066  z NULL  -4.538e+00   3.968e+00  -1.14   99.000    5.000   99.124
OBS:  56258.215  g NULL   4.031e+00   4.948e+00   0.81   99.000    5.000   98.828
OBS:  56258.227  r NULL  -8.847e-02   2.381e+00  -0.04   99.000    5.000   99.180
OBS:  56261.098  g NULL  -1.479e+01   8.832e+00  -1.67   99.000    5.000   98.828
OBS:  56261.102  r NULL   6.379e+00   3.396e+00   1.88   99.000    5.000   99.180
OBS:  56261.125  i NULL  -1.317e+00   3.853e+00  -0.34   99.000    5.000   99.104
OBS:  56261.156  z NULL   2.692e+00   3.086e+00   0.87   99.000    5.000   99.124
OBS:  56273.160  g NULL  -4.671e-01   1.752e+00  -0.27   99.000    5.000   98.828
OBS:  56273.176  r NULL   2.544e+00   1.214e+00   2.10   99.000    5.000   99.180
OBS:  56273.188  i NULL  -3.143e-01   2.023e+00  -0.16   99.000    5.000   99.104
OBS:  56273.219  z NULL   6.260e-01   2.251e+00   0.28   99.000    5.000   99.124
OBS:  56281.160  g NULL  -9.653e-01   2.074e+00  -0.47   99.000    5.000   98.828
OBS:  56281.184  r NULL  -4.055e-01   1.273e+00  -0.32   99.000    5.000   99.180
OBS:  56281.203  i NULL  -9.154e-01   1.798e+00  -0.51   99.000    5.000   99.104
OBS:  56281.227  z NULL   1.676e+00   2.291e+00   0.73   99.000    5.000   99.124
OBS:  56288.086  g NULL  -6.653e+00   4.851e+00  -1.37   99.000    5.000   98.828
OBS:  56288.094  r NULL  -1.525e+00   2.114e+00  -0.72   99.000    5.000   99.180
OBS:  56288.109  i NULL  -3.889e+00   3.059e+00  -1.27   99.000    5.000   99.104
OBS:  56288.141  z NULL  -7.795e-01   2.584e+00  -0.30   99.000    5.000   99.124
OBS:  56289.227  g NULL  -5.113e+00   6.491e+00  -0.79   99.000    5.000   98.828
OBS:  56289.242  r NULL   3.435e-01   2.701e+00   0.13   99.000    5.000   99.180
OBS:  56289.258  i NULL  -6.106e+00   5.085e+00  -1.20   99.000    5.000   99.104
OBS:  56292.035  z NULL  -3.424e+00   2.062e+00  -1.66   99.000    5.000   99.124
OBS:  56292.141  g NULL  -2.531e+00   3.054e+00  -0.83   99.000    5.000   98.828
