SURVEY: DES   
SNID:   209973   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  -9 
FILTERS: griz 
RA:      52.500000  deg 
DECL:    -27.500000  deg 
MAGTYPE: LOG10  
MAGREF:    
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0097    MW E(B-V) 
REDSHIFT_HELIO:   0.64471 +- 0.04740  (Helio, z_best) 
REDSHIFT_FINAL:   0.64471 +- 0.04740  (CMB) 
REDSHIFT_SPEC:    -9.00000 +- 9.00000  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15832 
HOST_GALAXY_PHOTO-Z:   0.6447  +- 0.0474  



SIM_MODEL:  mlcs2k2.SNchallenge  3  (name index) 
SIM_NON1a:      0   (non1a index) 
SIM_COMMENT:  SN Type = Ia , MODEL = mlcs2k2.SNchallenge  
SIM_LIBID:  0  
SIM_REDSHIFT:  0.6312  
SIM_HOSTLIB_TRUEZ:  0.6300  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15832  
SIM_DLMU:      42.872814  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        52.500000 deg  
SIM_DECL:      -27.500000 deg  
SIM_MWEBV:   0.0086   (MilkyWay E(B-V)) 
SIM_AVTAU:        0.250   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.006  mag  (host extinction at 5510 A)
SIM_RV:         2.325   (CCM89 extinction parameter) 
SIM_PEAKMAG:   24.90  23.25  23.17  23.25  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56208.800781  days 
SIM_DELTA:      0.427  mag  (MLCS lumi-par) 
SIM_STRETCH:    0.573  
SIM_MAGDIM:    0.408  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -19.99   days 
SIM_TRESTMAX:    68.87   days 
SIM_RISETIME_SHIFT:   -0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56208.941  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 141 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56176.191  g NULL  -6.676e+00   4.765e+00  -1.40  128.000    0.000   51.259
OBS:  56176.199  r NULL  -1.473e+00   2.129e+00  -0.69  128.000    0.000   50.757
OBS:  56176.215  i NULL  -1.353e+00   3.145e+00  -0.43  128.000    0.000   50.118
OBS:  56176.238  z NULL  -2.232e+00   2.483e+00  -0.90  128.000    0.000   49.562
OBS:  56179.188  g NULL  -1.761e+00   2.584e+00  -0.68  128.000    0.000   30.795
OBS:  56179.195  r NULL   1.331e+00   1.709e+00   0.78   27.189  100.811   29.481
OBS:  56179.234  i NULL  -1.904e+00   1.984e+00  -0.96  128.000    0.000   29.459
OBS:  56179.266  z NULL  -1.550e+00   3.729e+00  -0.42  128.000    0.000   29.003
OBS:  56180.266  g NULL   1.484e+00   2.550e+00   0.58   27.071  100.929   29.911
OBS:  56180.281  r NULL   1.431e+00   1.301e+00   1.10   27.111    2.603   28.801
OBS:  56180.297  i NULL   1.953e+00   3.683e+00   0.53   26.773  101.227   28.816
OBS:  56180.328  z NULL   7.409e-01   4.486e+00   0.17   27.826  100.174   28.361
OBS:  56188.160  g NULL  -9.936e-01   5.685e+00  -0.17  128.000    0.000   27.562
OBS:  56188.176  r NULL   4.866e+00   5.571e+00   0.87   25.782  102.218   26.183
OBS:  56188.211  i NULL  -5.346e+00   4.521e+00  -1.18  128.000    0.000   26.068
OBS:  56188.238  z NULL   9.482e+00   3.404e+00   2.79   25.058    0.482   25.830
OBS:  56189.254  g NULL   2.788e+00   2.286e+00   1.22   26.387    1.861   27.393
OBS:  56189.270  r NULL   4.942e+00   3.271e+00   1.51   25.765    1.177   25.810
OBS:  56189.281  i NULL  -3.595e-01   9.047e+00  -0.04  128.000    0.000   25.683
OBS:  56189.312  z NULL   2.440e+00   2.965e+00   0.82   26.531  101.469   25.528
OBS:  56194.258  g NULL  -6.864e-01   2.640e+00  -0.26  128.000    0.000   26.282
OBS:  56194.270  r NULL   1.703e+01   1.531e+00  11.13   24.422    0.102   24.421
OBS:  56194.285  i NULL   1.973e+01   2.328e+00   8.48   24.262    0.136   24.293
OBS:  56194.305  z NULL   2.028e+01   2.416e+00   8.39   24.232    0.137   24.347
OBS:  56202.160  g NULL   1.140e+01   4.803e+00   2.37   24.858    0.594   24.790
OBS:  56202.176  r NULL   4.328e+01   2.472e+00  17.51   23.409    0.064   23.415
OBS:  56202.191  i NULL   4.749e+01   4.263e+00  11.14   23.309    0.102   23.332
OBS:  56202.215  z NULL   4.047e+01   2.817e+00  14.36   23.482    0.078   23.476
