SURVEY: DES   
SNID:   210877   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  33 
FILTERS: griz 
RA:      34.500000  deg 
DECL:    -5.500000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0227    MW E(B-V) 
REDSHIFT_HELIO:   0.28229 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.28229 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.28229 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   15175 
HOST_GALAXY_PHOTO-Z:   0.3091  +- 0.0322  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      16   (non1a index) 
SIM_COMMENT:  SN Type = Ic , MODEL = SDSS-004012  
SIM_LIBID:  1  
SIM_REDSHIFT:  0.2811  
SIM_HOSTLIB_TRUEZ:  0.2800  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  15175  
SIM_DLMU:      40.793285  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        34.500000 deg  
SIM_DECL:      -5.500000 deg  
SIM_MWEBV:   0.0297   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   23.38  23.22  22.93  23.11  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56325.906250  days 
SIM_SALT2x0:   4.816e-17   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -39.56   days 
SIM_TRESTMAX:    19.58   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56325.395  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 37 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56275.223  i NULL  -1.157e+00   3.008e+00  -0.38   99.000    5.000   98.913
OBS:  56276.191  z NULL  -2.849e-02   3.402e+00  -0.01   99.000    5.000   99.051
OBS:  56282.160  g NULL   5.095e+00   3.404e+00   1.50   99.000    5.000   98.976
OBS:  56282.184  r NULL  -1.881e+00   2.178e+00  -0.86   99.000    5.000   99.018
OBS:  56287.160  i NULL   3.879e+00   4.986e+00   0.78   99.000    5.000   98.913
OBS:  56287.191  z NULL   8.160e+00   3.897e+00   2.09   99.000    5.000   99.051
OBS:  56289.035  g NULL   1.419e+01   1.190e+01   1.19   99.000    5.000   98.976
OBS:  56289.043  r NULL  -3.760e+00   4.183e+00  -0.90   99.000    5.000   99.018
OBS:  56289.152  i NULL  -3.166e+00   4.327e+00  -0.73   99.000    5.000   98.913
OBS:  56289.176  z NULL   4.276e-01   4.464e+00   0.10   99.000    5.000   99.051
OBS:  56297.039  g NULL  -2.563e+00   1.580e+00  -1.62  128.000    0.000   63.099
OBS:  56297.047  r NULL   4.855e-01   1.219e+00   0.40   28.285   99.715   65.137
OBS:  56297.062  i NULL   1.187e+00   1.862e+00   0.64   27.314  100.686   70.155
OBS:  56297.090  z NULL   2.322e-01   2.119e+00   0.11   29.085   98.915   70.463
OBS:  56305.094  g NULL   1.118e-02   1.644e+00   0.01   32.378   95.622   39.621
OBS:  56305.102  r NULL   7.153e-01   1.300e+00   0.55   27.864  100.136   42.188
OBS:  56305.113  i NULL  -7.739e-01   2.190e+00  -0.35  128.000    0.000   43.920
OBS:  56306.043  z NULL   1.847e+00   2.710e+00   0.68   26.834  101.166   44.784
OBS:  56313.047  g NULL   9.580e+00   5.965e+00   1.61   25.047    1.057   26.174
OBS:  56313.055  r NULL  -1.433e+00   2.524e+00  -0.57  128.000    0.000   27.817
OBS:  56313.090  i NULL   5.742e+00   3.080e+00   1.86   25.602    0.834   27.427
OBS:  56317.066  z NULL   1.622e+01   4.261e+00   3.81   24.475    0.332   24.100
OBS:  56321.035  g NULL   5.171e+01   3.121e+00  16.57   23.216    0.067   23.322
OBS:  56321.043  r NULL   4.893e+01   1.664e+00  29.40   23.276    0.037   23.298
OBS:  56321.066  i NULL   5.839e+01   3.414e+00  17.10   23.084    0.065   23.087
OBS:  56326.039  z NULL   5.527e+01   2.808e+00  19.68   23.144    0.057   23.113
OBS:  56333.043  g NULL   2.436e+01   1.916e+00  12.71   24.033    0.089   24.035
OBS:  56333.051  r NULL   4.052e+01   1.597e+00  25.37   23.481    0.044   23.457
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56334.043  i NULL   5.731e+01   2.443e+00  23.46   23.104    0.048   23.005
OBS:  56335.043  z NULL   4.678e+01   3.495e+00  13.38   23.325    0.085   23.186
OBS:  56344.992  g NULL   9.142e+00   4.335e+00   2.11   25.097    0.698   25.384
OBS:  56345.000  r NULL   2.132e+01   1.914e+00  11.14   24.178    0.103   23.945
OBS:  56345.016  i NULL   4.867e+01   3.576e+00  13.61   23.282    0.083   23.351
OBS:  56345.992  z NULL   3.761e+01   3.768e+00   9.98   23.562    0.115   23.487
OBS:  56349.996  g NULL   6.527e+00   3.969e+00   1.64   25.463    1.017   25.772
OBS:  56350.004  r NULL   2.081e+01   2.101e+00   9.90   24.204    0.115   24.226
OBS:  56350.996  i NULL   3.690e+01   3.106e+00  11.88   23.582    0.095   23.594
END: 
