SURVEY: DES   
SNID:   210909   
IAUC:    UNKNOWN 
PHOTOMETRY_VERSION: DES 
SNTYPE:  23 
FILTERS: griz 
RA:      48.000000  deg 
DECL:    0.000000  deg 
MAGTYPE: LOG10  
MAGREF:  AB  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:   0.0713    MW E(B-V) 
REDSHIFT_HELIO:   0.13574 +- 0.00500  (Helio, z_best) 
REDSHIFT_FINAL:   0.13574 +- 0.00500  (CMB) 
REDSHIFT_SPEC:    0.13574 +- 0.00500  
REDSHIFT_STATUS: OK 
 
HOST_GALAXY_GALID:   14382 
HOST_GALAXY_PHOTO-Z:   0.1806  +- 0.0418  



SIM_MODEL:  NONIA  10  (name index) 
SIM_NON1a:      4   (non1a index) 
SIM_COMMENT:  SN Type = IIL , MODEL = NUGENT2L  
SIM_LIBID:  3  
SIM_REDSHIFT:  0.1438  
SIM_HOSTLIB_TRUEZ:  0.1400  (actual Z of hostlib) 
SIM_HOSTLIB_GALID:  14382  
SIM_DLMU:      39.165657  mag   [ -5*log10(10pc/dL) ]  
SIM_RA:        48.000000 deg  
SIM_DECL:      0.000000 deg  
SIM_MWEBV:   0.0607   (MilkyWay E(B-V)) 
SIM_PEAKMAG:   22.88  22.44  22.25  22.35  (griz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (griz obs)
SIM_PEAKMJD:   56195.800781  days 
SIM_SALT2x0:   2.156e-16   
SIM_MAGDIM:    0.000  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,humans) 
SIM_SEARCHEFF:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -15.36   days 
SIM_TRESTMAX:    69.42   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SEARCH_PEAKMJD:   56195.402  


# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 83 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR   SNR    MAG     MAGERR  SIM_MAG
OBS:  56178.234  g NULL  -5.153e-02   1.049e+01  -0.00  128.000    0.000   24.872
OBS:  56178.250  r NULL   1.693e+00   7.845e+00   0.22   26.928  101.072   24.933
OBS:  56178.266  i NULL   1.003e+01   9.316e+00   1.08   24.997    2.875   24.756
OBS:  56179.211  z NULL   1.912e+01   5.342e+00   3.58   24.296    0.355   24.603
OBS:  56180.219  g NULL   1.772e+01   3.288e+00   5.39   24.379    0.224   24.068
OBS:  56180.234  r NULL   3.160e+01   2.517e+00  12.56   23.751    0.089   24.089
OBS:  56180.250  i NULL   3.119e+01   4.363e+00   7.15   23.765    0.163   23.875
OBS:  56188.191  z NULL   1.644e+02   2.752e+01   5.98   21.960    0.199   21.904
OBS:  56188.340  g NULL   1.399e+02   2.617e+01   5.35   22.135    0.225   22.065
OBS:  56188.355  r NULL   1.837e+02   5.505e+00  33.38   21.839    0.033   21.844
DETECTION:  6 MJDs satisfy g+r+i+z 
OBS:  56189.195  i NULL   2.356e+02   3.135e+01   7.52   21.570    0.155   21.679
OBS:  56194.215  g NULL   7.560e+01   5.142e+00  14.70   22.804    0.077   22.736
OBS:  56194.223  r NULL   1.170e+02   5.935e+00  19.72   22.329    0.056   22.343
OBS:  56194.227  z NULL   1.216e+02   6.948e+00  17.51   22.287    0.064   22.257
OBS:  56200.234  i NULL   1.038e+02   1.215e+01   8.54   22.459    0.135   22.531
OBS:  56208.160  g NULL   2.274e+01   3.073e+00   7.40   24.108    0.158   24.071
OBS:  56208.176  r NULL   5.551e+01   2.688e+00  20.65   23.139    0.054   23.168
OBS:  56208.191  z NULL   6.816e+01   5.110e+00  13.34   22.916    0.084   23.005
OBS:  56210.156  i NULL   6.770e+01   7.155e+00   9.46   22.923    0.121   23.049
OBS:  56216.164  g NULL   2.035e+01   2.779e+00   7.32   24.228    0.159   24.251
OBS:  56216.176  r NULL   4.132e+01   2.219e+00  18.62   23.460    0.060   23.419
OBS:  56216.191  z NULL   5.746e+01   4.196e+00  13.69   23.102    0.082   23.084
